
                                              MFCS/win                    Report printed:                2025-02-06 12:53:26
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                   0

21-01-2025 10:20:51             0.500                  .50
21-01-2025 10:50:51             1.000                  1.00
21-01-2025 11:20:51             1.500                  1.50

21-01-2025 11:50:51             2.000                  2.00
21-01-2025 12:20:51             2.500                  2.50
21-01-2025 12:50:51             3.000                  3.00

21-01-2025 13:20:51             3.500                  3.50
21-01-2025 13:50:51             4.000                  4.00

21-01-2025 14:20:51             4.500                  4.50
21-01-2025 14:50:51             5.000                  5.00
21-01-2025 15:20:51             5.500                  5.50

21-01-2025 15:50:51             6.000                  6.00
21-01-2025 16:20:51             6.500                  6.50

21-01-2025 16:50:51             7.000                  7.00
21-01-2025 17:20:51             7.500                  7.50
21-01-2025 17:50:51             8.000                  8.00

21-01-2025 18:20:51             8.500                  8.50
21-01-2025 18:50:51             9.000                  9.00

21-01-2025 19:20:51             9.500                  9.50
21-01-2025 19:50:51            10.000                 10.00
21-01-2025 20:20:51            10.500                 10.50

21-01-2025 20:50:51            11.000                 11.00
21-01-2025 21:20:51            11.500                 11.50
21-01-2025 21:50:51            12.000                 12.00

21-01-2025 22:20:51            12.500                 12.50
21-01-2025 22:50:51            13.000                 13.00

21-01-2025 23:20:51            13.500                 13.50
21-01-2025 23:50:51            14.000                 14.00
22-01-2025 00:20:51            14.500                 14.50

22-01-2025 00:50:51            15.000                 15.00
22-01-2025 01:20:51            15.500                 15.50

22-01-2025 01:50:51            16.000                 16.00
22-01-2025 02:20:51            16.500                 16.50
22-01-2025 02:50:51            17.000                 17.00

22-01-2025 03:20:51            17.500                 17.50


22-01-2025 03:50:51            18.000                 18.00
22-01-2025 04:20:51            18.500                 18.50

22-01-2025 04:50:51            19.000                 19.00
22-01-2025 05:20:51            19.500                 19.50
22-01-2025 05:50:51            20.000                 20.00

22-01-2025 06:20:51            20.500                 20.50
22-01-2025 06:50:51            21.000                 21.00

22-01-2025 07:20:51            21.500                 21.50
22-01-2025 07:50:51            22.000                 22.00
22-01-2025 08:20:51            22.500                 22.50

22-01-2025 08:50:51            23.000                 23.00
22-01-2025 09:20:51            23.500                 23.50

22-01-2025 09:50:51            24.000                 24.00
22-01-2025 10:20:51            24.500                 24.50
22-01-2025 10:50:51            25.000                 25.00

22-01-2025 11:20:51            25.500                 25.50
22-01-2025 11:50:51            26.000                 26.00
22-01-2025 12:20:51            26.500                 26.50

22-01-2025 12:50:51            27.000                 27.00
22-01-2025 13:20:51            27.500                 27.50

22-01-2025 13:50:51            28.000                 28.00
22-01-2025 14:20:51            28.500                 28.50
22-01-2025 14:50:51            29.000                 29.00

22-01-2025 15:20:51            29.500                 29.50
22-01-2025 15:50:51            30.000                 30.00

22-01-2025 16:20:51            30.500                 30.50
22-01-2025 16:50:51            31.000                 31.00
22-01-2025 17:20:51            31.500                 31.50

22-01-2025 17:50:51            32.000                 32.00
22-01-2025 18:20:51            32.500                 32.50

22-01-2025 18:50:51            33.000                 33.00
22-01-2025 19:20:51            33.500                 33.50
22-01-2025 19:50:51            34.000                 34.00

22-01-2025 20:20:51            34.500                 34.50
22-01-2025 20:50:51            35.000                 35.00
22-01-2025 21:20:51            35.500                 35.50

22-01-2025 21:50:51            36.000                 36.00
22-01-2025 22:20:51            36.500                 36.50

22-01-2025 22:50:51            37.000                 37.00
22-01-2025 23:20:51            37.500                 37.50
22-01-2025 23:50:51            38.000                 38.00

23-01-2025 00:20:51            38.500                 38.50
23-01-2025 00:50:51            39.000                 39.00

23-01-2025 01:20:51            39.500                 39.50
23-01-2025 01:50:51            40.000                 40.00
23-01-2025 02:20:52            40.501                 40.50

23-01-2025 02:50:52            41.001                 41.00
23-01-2025 03:20:52            41.501                 41.50

23-01-2025 03:50:52            42.001                 42.00
23-01-2025 04:20:52            42.501                 42.50
23-01-2025 04:50:52            43.001                 43.00

23-01-2025 05:20:52            43.501                 43.50

23-01-2025 05:50:52            44.001                 44.00
23-01-2025 06:20:53            44.501                 44.50

23-01-2025 06:50:53            45.001                 45.00
23-01-2025 07:20:53            45.501                 45.50
23-01-2025 07:50:53            46.001                 46.00

23-01-2025 08:20:53            46.501                 46.50
23-01-2025 08:50:53            47.001                 47.00

23-01-2025 09:20:53            47.501                 47.50
23-01-2025 09:50:53            48.001                 48.00
23-01-2025 10:20:53            48.501                 48.50

23-01-2025 10:50:53            49.001                 49.00
23-01-2025 11:20:53            49.501                 49.50

23-01-2025 11:50:53            50.001                 50.00
23-01-2025 12:20:53            50.501                 50.50
23-01-2025 12:50:53            51.001                 51.00

23-01-2025 13:20:53            51.501                 51.50
23-01-2025 13:50:53            52.001                 52.00
23-01-2025 14:20:53            52.501                 52.50

23-01-2025 14:50:53            53.001                 53.00
23-01-2025 15:20:53            53.501                 53.50

23-01-2025 15:50:53            54.001                 54.00
23-01-2025 16:20:53            54.501                 54.50
23-01-2025 16:50:53            55.001                 55.00

23-01-2025 17:20:53            55.501                 55.50
23-01-2025 17:50:53            56.001                 56.00

23-01-2025 18:20:53            56.501                 56.50
23-01-2025 18:50:53            57.001                 57.00
23-01-2025 19:20:53            57.501                 57.50

23-01-2025 19:50:53            58.001                 58.00
23-01-2025 20:20:53            58.501                 58.50

23-01-2025 20:50:53            59.001                 59.00
23-01-2025 21:20:53            59.501                 59.50
23-01-2025 21:50:53            60.001                 60.00

23-01-2025 22:20:53            60.501                 60.50
23-01-2025 22:50:53            61.001                 61.00
23-01-2025 23:20:53            61.501                 61.50

23-01-2025 23:50:53            62.001                 62.00
24-01-2025 00:20:53            62.501                 62.50

24-01-2025 00:50:53            63.001                 63.00
24-01-2025 01:20:53            63.501                 63.50
24-01-2025 01:50:53            64.001                 64.00

24-01-2025 02:20:53            64.501                 64.50
24-01-2025 02:50:53            65.001                 65.00

24-01-2025 03:20:53            65.501                 65.50
24-01-2025 03:50:53            66.001                 66.00
24-01-2025 04:20:53            66.501                 66.50

24-01-2025 04:50:53            67.001                 67.00
24-01-2025 05:20:53            67.501                 67.50

24-01-2025 05:50:53            68.001                 68.00
24-01-2025 06:20:53            68.501                 68.50
24-01-2025 06:50:53            69.001                 69.00

24-01-2025 07:20:53            69.501                 69.50

24-01-2025 07:50:53            70.001                 70.00
24-01-2025 08:20:53            70.501                 70.50

24-01-2025 08:50:53            71.001                 71.00
24-01-2025 08:54:28            71.061                 71.06
