
                                              MFCS/win                    Report printed:                2025-02-06 12:53:15
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                   0

21-01-2025 09:51:51             0.017                   0
21-01-2025 09:52:06             0.021                  130
21-01-2025 09:52:21             0.025                  401

21-01-2025 10:20:51             0.500                  401
21-01-2025 10:50:51             1.000                  401
21-01-2025 11:20:51             1.500                  401

21-01-2025 11:50:51             2.000                  401
21-01-2025 12:20:51             2.500                  401

21-01-2025 12:50:51             3.000                  401
21-01-2025 13:20:51             3.500                  401
21-01-2025 13:27:24             3.609                  402

21-01-2025 13:27:39             3.614                  405
21-01-2025 13:27:54             3.618                  407

21-01-2025 13:28:09             3.622                  410
21-01-2025 13:28:24             3.626                  412
21-01-2025 13:28:39             3.630                  416

21-01-2025 13:28:54             3.634                  417
21-01-2025 13:29:09             3.639                  420

21-01-2025 13:31:24             3.676                  420
21-01-2025 13:31:39             3.680                  416
21-01-2025 13:32:54             3.701                  414

21-01-2025 13:33:09             3.705                  412
21-01-2025 13:34:54             3.734                  413
21-01-2025 13:35:09             3.739                  416

21-01-2025 13:39:24             3.809                  416
21-01-2025 13:39:39             3.814                  412

21-01-2025 13:43:24             3.876                  410
21-01-2025 13:43:39             3.880                  409
21-01-2025 13:43:54             3.884                  411

21-01-2025 13:44:09             3.889                  412
21-01-2025 13:44:54             3.901                  410

21-01-2025 13:45:09             3.905                  409
21-01-2025 13:50:51             4.000                  409
21-01-2025 13:54:54             4.068                  411

21-01-2025 13:55:09             4.072                  412


21-01-2025 13:56:54             4.101                  412
21-01-2025 13:57:09             4.105                  409

21-01-2025 14:08:54             4.301                  410
21-01-2025 14:09:09             4.305                  412
21-01-2025 14:09:24             4.309                  409

21-01-2025 14:19:09             4.472                  409
21-01-2025 14:19:24             4.476                  412

21-01-2025 14:20:51             4.500                  412
21-01-2025 14:21:24             4.509                  412
21-01-2025 14:21:39             4.514                  409

21-01-2025 14:22:39             4.530                  409
21-01-2025 14:22:54             4.534                  405

21-01-2025 14:26:09             4.589                  407
21-01-2025 14:26:24             4.593                  409
21-01-2025 14:27:55             4.618                  409

21-01-2025 14:28:10             4.622                  405
21-01-2025 14:28:40             4.631                  403
21-01-2025 14:28:55             4.635                  401

21-01-2025 14:50:40             4.997                  402
21-01-2025 14:50:51             5.000                  405

21-01-2025 14:52:10             5.022                  405
21-01-2025 14:52:26             5.027                  402
21-01-2025 14:58:11             5.123                  403

21-01-2025 14:58:26             5.127                  405
21-01-2025 15:08:12             5.289                  405

21-01-2025 15:08:27             5.294                  409
21-01-2025 15:10:57             5.335                  408
21-01-2025 15:11:12             5.339                  405

21-01-2025 15:11:27             5.344                  405
21-01-2025 15:11:42             5.348                  408

21-01-2025 15:20:51             5.500                  409
21-01-2025 15:25:13             5.573                  409
21-01-2025 15:25:28             5.577                  412

21-01-2025 15:29:28             5.644                  410
21-01-2025 15:29:43             5.648                  409
21-01-2025 15:31:43             5.681                  411

21-01-2025 15:31:58             5.686                  412
21-01-2025 15:45:13             5.906                  413

21-01-2025 15:45:28             5.911                  416
21-01-2025 15:47:28             5.944                  414
21-01-2025 15:47:43             5.948                  412

21-01-2025 15:49:13             5.973                  412
21-01-2025 15:49:28             5.977                  416

21-01-2025 15:50:51             6.000                  416
21-01-2025 15:56:13             6.090                  418
21-01-2025 15:56:28             6.094                  419

21-01-2025 15:58:28             6.127                  419
21-01-2025 15:58:43             6.131                  416

21-01-2025 15:59:58             6.152                  419
21-01-2025 16:00:13             6.156                  420
21-01-2025 16:05:58             6.252                  420

21-01-2025 16:06:13             6.256                  424

21-01-2025 16:08:43             6.298                  424
21-01-2025 16:08:58             6.302                  420

21-01-2025 16:10:13             6.323                  422
21-01-2025 16:10:28             6.327                  424
21-01-2025 16:13:28             6.377                  424

21-01-2025 16:13:43             6.381                  427
21-01-2025 16:17:58             6.452                  426

21-01-2025 16:18:13             6.456                  424
21-01-2025 16:19:13             6.473                  424
21-01-2025 16:19:28             6.477                  428

21-01-2025 16:20:51             6.500                  428
21-01-2025 16:22:58             6.536                  430

21-01-2025 16:23:13             6.540                  431
21-01-2025 16:26:58             6.602                  429
21-01-2025 16:27:13             6.606                  428

21-01-2025 16:29:43             6.648                  430
21-01-2025 16:29:58             6.652                  431
21-01-2025 16:30:28             6.661                  431

21-01-2025 16:30:43             6.665                  435
21-01-2025 16:31:14             6.673                  435

21-01-2025 16:31:29             6.677                  431
21-01-2025 16:36:30             6.761                  432
21-01-2025 16:36:45             6.765                  435

21-01-2025 16:41:00             6.836                  435
21-01-2025 16:41:15             6.840                  431

21-01-2025 16:42:30             6.861                  429
21-01-2025 16:42:45             6.865                  428
21-01-2025 16:48:30             6.961                  428

21-01-2025 16:48:45             6.965                  424
21-01-2025 16:50:51             7.000                  424

21-01-2025 16:52:30             7.028                  424
21-01-2025 16:52:45             7.032                  428
21-01-2025 16:54:15             7.057                  428

21-01-2025 16:54:30             7.061                  424
21-01-2025 16:58:30             7.128                  424
21-01-2025 16:58:45             7.132                  428

21-01-2025 17:17:15             7.440                  430
21-01-2025 17:17:30             7.444                  431

21-01-2025 17:20:51             7.500                  431
21-01-2025 17:22:45             7.532                  432
21-01-2025 17:23:00             7.536                  435

21-01-2025 17:24:46             7.566                  435
21-01-2025 17:25:01             7.570                  431

21-01-2025 17:27:17             7.607                  431
21-01-2025 17:27:32             7.612                  435
21-01-2025 17:36:03             7.754                  435

21-01-2025 17:36:18             7.758                  438
21-01-2025 17:44:03             7.887                  440

21-01-2025 17:44:18             7.891                  442
21-01-2025 17:45:33             7.912                  442
21-01-2025 17:45:48             7.916                  439

21-01-2025 17:48:04             7.954                  441

21-01-2025 17:48:19             7.958                  442
21-01-2025 17:50:51             8.000                  442

21-01-2025 17:58:36             8.129                  445
21-01-2025 17:58:51             8.134                  446
21-01-2025 18:09:36             8.313                  446

21-01-2025 18:09:51             8.317                  450
21-01-2025 18:19:21             8.475                  450

21-01-2025 18:19:36             8.479                  453
21-01-2025 18:20:51             8.500                  454
21-01-2025 18:23:21             8.542                  452

21-01-2025 18:23:36             8.546                  451
21-01-2025 18:24:21             8.559                  453

21-01-2025 18:24:36             8.563                  454
21-01-2025 18:25:21             8.575                  454
21-01-2025 18:25:36             8.579                  458

21-01-2025 18:25:51             8.584                  456
21-01-2025 18:26:06             8.588                  454
21-01-2025 18:29:36             8.646                  454

21-01-2025 18:29:51             8.650                  458
21-01-2025 18:30:51             8.667                  455

21-01-2025 18:31:06             8.671                  454
21-01-2025 18:31:36             8.679                  455
21-01-2025 18:31:51             8.684                  458

21-01-2025 18:32:06             8.688                  454
21-01-2025 18:33:21             8.709                  454

21-01-2025 18:33:36             8.713                  457
21-01-2025 18:39:36             8.813                  458
21-01-2025 18:39:51             8.817                  461

21-01-2025 18:41:06             8.838                  459
21-01-2025 18:41:21             8.842                  458

21-01-2025 18:43:22             8.876                  458
21-01-2025 18:43:37             8.880                  461
21-01-2025 18:47:52             8.951                  460

21-01-2025 18:48:07             8.955                  458
21-01-2025 18:48:37             8.963                  460
21-01-2025 18:48:52             8.967                  461

21-01-2025 18:49:52             8.984                  464
21-01-2025 18:50:07             8.988                  465

21-01-2025 18:50:37             8.996                  463
21-01-2025 18:50:51             9.000                  462
21-01-2025 18:52:52             9.034                  462

21-01-2025 18:53:07             9.038                  465
21-01-2025 18:55:37             9.080                  463

21-01-2025 18:55:52             9.084                  461
21-01-2025 18:56:37             9.096                  464
21-01-2025 18:56:52             9.101                  465

21-01-2025 19:00:22             9.159                  462
21-01-2025 19:00:37             9.163                  462

21-01-2025 19:01:07             9.171                  462
21-01-2025 19:01:22             9.176                  465
21-01-2025 19:03:07             9.205                  465

21-01-2025 19:03:22             9.209                  469

21-01-2025 19:05:07             9.238                  466
21-01-2025 19:05:22             9.242                  465

21-01-2025 19:07:37             9.280                  466
21-01-2025 19:07:52             9.284                  469
21-01-2025 19:08:52             9.301                  469

21-01-2025 19:09:07             9.305                  465
21-01-2025 19:09:52             9.317                  466

21-01-2025 19:10:07             9.321                  469
21-01-2025 19:15:08             9.405                  471
21-01-2025 19:15:23             9.409                  472

21-01-2025 19:15:38             9.413                  472
21-01-2025 19:15:53             9.417                  469

21-01-2025 19:18:23             9.459                  470
21-01-2025 19:18:38             9.463                  472
21-01-2025 19:20:51             9.500                  472

21-01-2025 19:28:54             9.634                  474
21-01-2025 19:29:09             9.639                  476
21-01-2025 19:29:39             9.647                  476

21-01-2025 19:29:54             9.651                  473
21-01-2025 19:33:24             9.709                  474

21-01-2025 19:33:39             9.714                  476
21-01-2025 19:37:40             9.781                  474
21-01-2025 19:37:55             9.785                  472

21-01-2025 19:38:55             9.801                  475
21-01-2025 19:39:10             9.806                  476

21-01-2025 19:43:10             9.872                  478
21-01-2025 19:43:25             9.876                  480
21-01-2025 19:44:40             9.897                  477

21-01-2025 19:44:55             9.901                  477
21-01-2025 19:46:10             9.922                  476

21-01-2025 19:46:25             9.926                  480
21-01-2025 19:50:51            10.000                  480
21-01-2025 19:56:41            10.098                  480

21-01-2025 19:56:56            10.102                  483
21-01-2025 19:59:41            10.148                  482
21-01-2025 19:59:56            10.152                  480

21-01-2025 20:01:56            10.185                  482
21-01-2025 20:02:11            10.189                  484

21-01-2025 20:04:11            10.222                  484
21-01-2025 20:04:26            10.227                  480
21-01-2025 20:05:11            10.239                  482

21-01-2025 20:05:26            10.243                  484
21-01-2025 20:08:56            10.302                  485

21-01-2025 20:09:11            10.306                  488
21-01-2025 20:10:41            10.331                  487
21-01-2025 20:10:56            10.335                  484

21-01-2025 20:12:26            10.360                  487
21-01-2025 20:12:41            10.364                  488

21-01-2025 20:17:11            10.439                  490
21-01-2025 20:17:26            10.443                  491
21-01-2025 20:17:41            10.447                  490

21-01-2025 20:17:56            10.452                  488

21-01-2025 20:20:26            10.493                  488
21-01-2025 20:20:41            10.497                  484

21-01-2025 20:20:51            10.500                  484
21-01-2025 20:21:11            10.506                  484
21-01-2025 20:21:26            10.510                  488

21-01-2025 20:28:11            10.622                  490
21-01-2025 20:28:26            10.627                  491

21-01-2025 20:44:56            10.902                  491
21-01-2025 20:45:11            10.906                  495
21-01-2025 20:46:11            10.922                  495

21-01-2025 20:46:26            10.927                  499
21-01-2025 20:46:41            10.931                  499

21-01-2025 20:46:56            10.935                  496
21-01-2025 20:49:26            10.977                  497
21-01-2025 20:49:41            10.981                  499

21-01-2025 20:50:11            10.989                  499
21-01-2025 20:50:26            10.993                  495
21-01-2025 20:50:51            11.000                  495

21-01-2025 20:52:56            11.035                  496
21-01-2025 20:53:11            11.039                  499

21-01-2025 20:54:42            11.064                  497
21-01-2025 20:54:57            11.069                  496
21-01-2025 20:58:12            11.123                  497

21-01-2025 20:58:27            11.127                  499
21-01-2025 21:08:58            11.302                  501

21-01-2025 21:09:13            11.306                  502
21-01-2025 21:13:58            11.386                  502
21-01-2025 21:14:13            11.390                  499

21-01-2025 21:15:13            11.406                  501
21-01-2025 21:15:28            11.411                  502

21-01-2025 21:16:43            11.431                  502
21-01-2025 21:16:58            11.436                  499
21-01-2025 21:17:28            11.444                  499

21-01-2025 21:17:43            11.448                  502
21-01-2025 21:20:51            11.500                  502
21-01-2025 21:23:43            11.548                  504

21-01-2025 21:23:58            11.552                  506
21-01-2025 21:24:28            11.561                  503

21-01-2025 21:24:43            11.565                  502
21-01-2025 21:26:43            11.598                  505
21-01-2025 21:26:58            11.602                  506

21-01-2025 21:28:13            11.623                  504
21-01-2025 21:28:28            11.627                  502

21-01-2025 21:32:43            11.698                  505
21-01-2025 21:32:58            11.702                  506
21-01-2025 21:37:28            11.777                  507

21-01-2025 21:37:43            11.781                  510
21-01-2025 21:38:43            11.798                  508

21-01-2025 21:38:58            11.802                  506
21-01-2025 21:40:28            11.827                  504
21-01-2025 21:40:43            11.831                  502

21-01-2025 21:41:13            11.840                  503

21-01-2025 21:41:28            11.844                  506
21-01-2025 21:43:43            11.881                  507

21-01-2025 21:43:58            11.886                  510
21-01-2025 21:44:28            11.894                  510
21-01-2025 21:44:43            11.898                  506

21-01-2025 21:46:58            11.936                  506
21-01-2025 21:47:13            11.940                  510

21-01-2025 21:49:58            11.986                  508
21-01-2025 21:50:13            11.990                  506
21-01-2025 21:50:51            12.000                  506

21-01-2025 21:52:28            12.027                  509
21-01-2025 21:52:43            12.031                  510

21-01-2025 21:54:28            12.061                  508
21-01-2025 21:54:43            12.065                  506
21-01-2025 21:55:43            12.081                  508

21-01-2025 21:55:58            12.086                  510
21-01-2025 21:56:13            12.090                  506
21-01-2025 21:56:58            12.102                  508

21-01-2025 21:57:13            12.106                  510
21-01-2025 22:10:45            12.332                  513

21-01-2025 22:11:00            12.336                  514
21-01-2025 22:13:15            12.374                  512
21-01-2025 22:13:30            12.378                  510

21-01-2025 22:15:45            12.415                  512
21-01-2025 22:16:00            12.419                  514

21-01-2025 22:18:00            12.453                  511
21-01-2025 22:18:15            12.457                  510
21-01-2025 22:18:45            12.465                  510

21-01-2025 22:19:00            12.469                  514
21-01-2025 22:20:51            12.500                  514

21-01-2025 22:21:46            12.516                  516
21-01-2025 22:22:01            12.520                  517
21-01-2025 22:23:16            12.541                  516

21-01-2025 22:23:31            12.545                  514
21-01-2025 22:24:16            12.557                  512
21-01-2025 22:24:31            12.561                  510

21-01-2025 22:26:01            12.586                  510
21-01-2025 22:26:16            12.591                  514

21-01-2025 22:30:17            12.658                  516
21-01-2025 22:30:32            12.662                  518
21-01-2025 22:34:17            12.724                  515

21-01-2025 22:34:32            12.728                  514
21-01-2025 22:36:17            12.758                  516

21-01-2025 22:36:32            12.762                  518
21-01-2025 22:50:51            13.000                  518
21-01-2025 22:52:33            13.029                  519

21-01-2025 22:52:48            13.033                  521
21-01-2025 22:53:48            13.049                  521

21-01-2025 22:54:03            13.054                  518
21-01-2025 22:57:03            13.104                  520
21-01-2025 22:57:18            13.108                  521

21-01-2025 22:58:48            13.133                  519

21-01-2025 22:59:03            13.137                  518
21-01-2025 23:00:33            13.162                  519

21-01-2025 23:00:48            13.166                  521
21-01-2025 23:02:03            13.187                  521
21-01-2025 23:02:18            13.191                  518

21-01-2025 23:03:33            13.212                  518
21-01-2025 23:03:48            13.216                  521

21-01-2025 23:12:18            13.358                  522
21-01-2025 23:12:33            13.362                  524
21-01-2025 23:13:03            13.370                  522

21-01-2025 23:13:18            13.374                  521
21-01-2025 23:16:03            13.420                  521

21-01-2025 23:16:18            13.424                  525
21-01-2025 23:18:03            13.454                  523
21-01-2025 23:18:18            13.458                  521

21-01-2025 23:19:48            13.483                  523
21-01-2025 23:20:03            13.487                  524
21-01-2025 23:20:18            13.491                  524

21-01-2025 23:20:33            13.495                  521
21-01-2025 23:20:51            13.500                  521

21-01-2025 23:23:48            13.549                  524
21-01-2025 23:24:03            13.554                  525
21-01-2025 23:24:48            13.566                  522

21-01-2025 23:25:03            13.570                  522
21-01-2025 23:27:48            13.616                  524

21-01-2025 23:28:03            13.620                  525
21-01-2025 23:29:48            13.649                  524
21-01-2025 23:30:03            13.654                  522

21-01-2025 23:32:33            13.695                  524
21-01-2025 23:32:48            13.699                  525

21-01-2025 23:35:48            13.749                  523
21-01-2025 23:36:03            13.754                  521
21-01-2025 23:36:33            13.762                  524

21-01-2025 23:36:48            13.766                  525
21-01-2025 23:50:51            14.000                  525
21-01-2025 23:52:33            14.029                  528

21-01-2025 23:52:48            14.033                  529
21-01-2025 23:54:33            14.062                  526

21-01-2025 23:54:49            14.066                  525
21-01-2025 23:56:19            14.091                  528
21-01-2025 23:56:34            14.096                  529

22-01-2025 00:00:20            14.158                  526
22-01-2025 00:00:35            14.162                  525

22-01-2025 00:05:05            14.238                  527
22-01-2025 00:05:20            14.242                  529
22-01-2025 00:10:05            14.321                  529

22-01-2025 00:10:20            14.325                  532
22-01-2025 00:11:20            14.342                  530

22-01-2025 00:11:35            14.346                  529
22-01-2025 00:12:35            14.362                  528
22-01-2025 00:12:50            14.367                  525

22-01-2025 00:13:05            14.371                  529

22-01-2025 00:19:35            14.479                  531
22-01-2025 00:19:50            14.483                  532

22-01-2025 00:20:20            14.492                  532
22-01-2025 00:20:35            14.496                  529
22-01-2025 00:20:51            14.500                  529

22-01-2025 00:27:20            14.608                  531
22-01-2025 00:27:35            14.613                  532

22-01-2025 00:33:50            14.717                  530
22-01-2025 00:34:05            14.721                  529
22-01-2025 00:38:50            14.800                  530

22-01-2025 00:39:05            14.804                  532
