
                                              MFCS/win                    Report printed:                2025-02-06 12:53:18
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                  5.74

21-01-2025 09:56:06             0.088                  5.64
21-01-2025 09:56:21             0.092                  5.64
21-01-2025 10:20:51             0.500                  5.58

21-01-2025 10:50:51             1.000                  5.57
21-01-2025 11:20:51             1.500                  5.56
21-01-2025 11:50:51             2.000                  5.65

21-01-2025 12:20:51             2.500                  5.59
21-01-2025 12:50:51             3.000                  5.57

21-01-2025 13:20:51             3.500                  5.62
21-01-2025 13:50:51             4.000                  5.66
21-01-2025 14:09:09             4.305                  5.56

21-01-2025 14:09:24             4.309                  5.56
21-01-2025 14:20:51             4.500                  5.58

21-01-2025 14:50:51             5.000                  5.54
21-01-2025 14:51:25             5.010                  5.54
21-01-2025 14:51:40             5.014                  5.65

21-01-2025 15:01:41             5.181                  5.55
21-01-2025 15:01:56             5.185                  5.55

21-01-2025 15:19:43             5.481                  5.53
21-01-2025 15:19:58             5.486                  5.66
21-01-2025 15:20:51             5.500                  5.64

21-01-2025 15:27:43             5.615                  5.54
21-01-2025 15:27:58             5.619                  5.53
21-01-2025 15:28:13             5.623                  5.53

21-01-2025 15:28:28             5.627                  5.65
21-01-2025 15:34:28             5.727                  5.55

21-01-2025 15:34:43             5.731                  5.55
21-01-2025 15:35:58             5.752                  5.53
21-01-2025 15:36:13             5.756                  5.65

21-01-2025 15:42:13             5.856                  5.55
21-01-2025 15:42:28             5.861                  5.55

21-01-2025 15:43:43             5.881                  5.53
21-01-2025 15:43:58             5.886                  5.66
21-01-2025 15:49:43             5.981                  5.57

21-01-2025 15:49:58             5.986                  5.56


21-01-2025 15:50:51             6.000                  5.55
21-01-2025 15:52:13             6.023                  5.52

21-01-2025 15:52:28             6.027                  5.66
21-01-2025 15:57:58             6.119                  5.56
21-01-2025 15:58:13             6.123                  5.56

21-01-2025 15:59:43             6.148                  5.53
21-01-2025 15:59:58             6.152                  5.67

21-01-2025 16:05:13             6.240                  5.57
21-01-2025 16:05:28             6.244                  5.57
21-01-2025 16:20:51             6.500                  5.53

21-01-2025 16:20:58             6.502                  5.52
21-01-2025 16:21:13             6.506                  5.65

21-01-2025 16:25:58             6.586                  5.55
21-01-2025 16:26:13             6.590                  5.54
21-01-2025 16:32:29             6.694                  5.52

21-01-2025 16:32:44             6.698                  5.67
21-01-2025 16:37:00             6.769                  5.58
21-01-2025 16:37:15             6.774                  5.57

21-01-2025 16:50:51             7.000                  5.54
21-01-2025 16:51:15             7.007                  5.52

21-01-2025 16:51:30             7.011                  5.68
21-01-2025 16:55:00             7.069                  5.58
21-01-2025 16:55:15             7.074                  5.57

21-01-2025 17:20:51             7.500                  5.55
21-01-2025 17:26:32             7.595                  5.63

21-01-2025 17:26:47             7.599                  5.66
21-01-2025 17:30:32             7.662                  5.57
21-01-2025 17:30:47             7.666                  5.56

21-01-2025 17:32:32             7.695                  5.51
21-01-2025 17:32:47             7.699                  5.67

21-01-2025 17:36:48             7.766                  5.57
21-01-2025 17:37:03             7.770                  5.57
21-01-2025 17:38:48             7.799                  5.66

21-01-2025 17:39:03             7.804                  5.67
21-01-2025 17:42:18             7.858                  5.57
21-01-2025 17:42:33             7.862                  5.57

21-01-2025 17:44:03             7.887                  5.52
21-01-2025 17:44:18             7.891                  5.68

21-01-2025 17:47:33             7.945                  5.59
21-01-2025 17:47:48             7.949                  5.58
21-01-2025 17:49:49             7.983                  5.51

21-01-2025 17:50:04             7.987                  5.74
21-01-2025 17:50:51             8.000                  5.71

21-01-2025 17:54:20             8.058                  5.61
21-01-2025 17:54:36             8.063                  5.60
21-01-2025 18:20:51             8.500                  5.62

21-01-2025 18:23:36             8.546                  5.53
21-01-2025 18:23:51             8.550                  5.52

21-01-2025 18:24:06             8.554                  5.67
21-01-2025 18:26:51             8.600                  5.58
21-01-2025 18:27:06             8.604                  5.57

21-01-2025 18:45:52             8.917                  5.52

21-01-2025 18:46:07             8.921                  5.67
21-01-2025 18:48:37             8.963                  5.58

21-01-2025 18:48:52             8.967                  5.57
21-01-2025 18:50:51             9.000                  5.62
21-01-2025 18:53:22             9.042                  5.53

21-01-2025 18:53:37             9.046                  5.52
21-01-2025 18:53:52             9.051                  5.52

21-01-2025 18:54:07             9.055                  5.67
21-01-2025 18:56:52             9.101                  5.58
21-01-2025 18:57:07             9.105                  5.57

21-01-2025 19:20:51             9.500                  5.52
21-01-2025 19:20:53             9.501                  5.52

21-01-2025 19:21:08             9.505                  5.64
21-01-2025 19:23:39             9.547                  5.54
21-01-2025 19:23:54             9.551                  5.53

21-01-2025 19:24:24             9.559                  5.51
21-01-2025 19:24:39             9.564                  5.67
21-01-2025 19:26:54             9.601                  5.58

21-01-2025 19:27:09             9.605                  5.57
21-01-2025 19:35:25             9.743                  5.52

21-01-2025 19:35:40             9.747                  5.67
21-01-2025 19:37:55             9.785                  5.58
21-01-2025 19:38:10             9.789                  5.57

21-01-2025 19:43:25             9.876                  5.54
21-01-2025 19:43:40             9.881                  5.68

21-01-2025 19:45:55             9.918                  5.59
21-01-2025 19:46:10             9.922                  5.58
21-01-2025 19:50:51            10.000                  5.55

21-01-2025 20:20:51            10.500                  5.63
21-01-2025 20:22:56            10.535                  5.54

21-01-2025 20:23:11            10.539                  5.53
21-01-2025 20:23:41            10.547                  5.50
21-01-2025 20:23:56            10.552                  5.63

