
                                              MFCS/win                    Report printed:                2025-02-06 12:53:21
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                   0

21-01-2025 10:20:51             0.500                   0
21-01-2025 10:50:51             1.000                   0
21-01-2025 11:20:51             1.500                   0

21-01-2025 11:50:51             2.000                   0
21-01-2025 12:20:51             2.500                   0
21-01-2025 12:50:51             3.000                   0

21-01-2025 13:20:51             3.500                   0
21-01-2025 13:50:51             4.000                   0

21-01-2025 14:20:51             4.500                   0
21-01-2025 14:50:51             5.000                   .2
21-01-2025 15:20:51             5.500                   0

21-01-2025 15:50:51             6.000                   .1
21-01-2025 16:20:51             6.500                   .6

21-01-2025 16:50:51             7.000                   .3
21-01-2025 17:20:51             7.500                   .1
21-01-2025 17:32:17             7.691                   .9

21-01-2025 17:32:32             7.695                  1.2
21-01-2025 17:32:47             7.699                   0

21-01-2025 17:50:51             8.000                   0
21-01-2025 18:20:51             8.500                   0
21-01-2025 18:41:06             8.838                   .8

21-01-2025 18:41:21             8.842                  1.1
21-01-2025 18:41:36             8.846                   0
21-01-2025 18:50:51             9.000                   0

21-01-2025 19:20:51             9.500                   .7
21-01-2025 19:50:51            10.000                   0

21-01-2025 20:05:56            10.252                   .7
21-01-2025 20:06:11            10.256                  1.0
21-01-2025 20:06:26            10.260                  1.4

21-01-2025 20:06:41            10.264                   0
21-01-2025 20:20:51            10.500                   0

21-01-2025 20:23:26            10.543                   .8
21-01-2025 20:23:41            10.547                  1.2
21-01-2025 20:23:56            10.552                   0

21-01-2025 20:33:56            10.718                   .7


21-01-2025 20:34:11            10.722                  1.0
21-01-2025 20:34:26            10.727                   0

21-01-2025 20:44:56            10.902                   .8
21-01-2025 20:45:11            10.906                  1.2
21-01-2025 20:45:26            10.910                   0

21-01-2025 20:47:41            10.948                   .7
21-01-2025 20:47:56            10.952                  1.0

21-01-2025 20:48:11            10.956                  1.4
21-01-2025 20:48:26            10.960                   0
21-01-2025 20:50:51            11.000                   .1

21-01-2025 21:20:51            11.500                   0
21-01-2025 21:23:28            11.544                  1.0

21-01-2025 21:23:43            11.548                  1.3
21-01-2025 21:23:58            11.552                   0
21-01-2025 21:28:43            11.631                   .8

21-01-2025 21:28:58            11.636                  1.2
21-01-2025 21:29:13            11.640                   0
21-01-2025 21:39:13            11.806                   .7

