
                                              MFCS/win                    Report printed:                2025-02-06 12:53:22
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_control                Batch created:            2025-01-21 09:50:50

 Experiment Start:          2025-01-21 09:50:50                 Experiment Stop:          2025-01-24 08:54:29

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:50:51             0.000                 14.56

21-01-2025 09:54:06             0.054                 14.56
21-01-2025 09:54:21             0.059                 14.90
21-01-2025 09:57:36             0.113                 14.91

21-01-2025 09:57:51             0.117                 15.64
21-01-2025 09:58:06             0.121                 15.02
21-01-2025 10:20:51             0.500                 14.95

21-01-2025 10:50:51             1.000                 14.80
21-01-2025 11:05:51             1.250                 14.80

21-01-2025 11:06:06             1.254                 16.31
21-01-2025 11:06:21             1.259                 14.82
21-01-2025 11:20:51             1.500                 14.77

21-01-2025 11:50:51             2.000                 14.77
21-01-2025 12:20:51             2.500                 14.78

21-01-2025 12:50:51             3.000                 14.81
21-01-2025 13:20:51             3.500                 14.89
21-01-2025 13:24:39             3.564                 14.69

21-01-2025 13:24:54             3.568                 14.68
21-01-2025 13:50:51             4.000                 14.71

21-01-2025 14:20:51             4.500                 14.69
21-01-2025 14:50:51             5.000                 14.69
21-01-2025 15:20:51             5.500                 14.72

21-01-2025 15:50:51             6.000                 14.57
21-01-2025 16:20:51             6.500                 14.59
21-01-2025 16:50:51             7.000                 14.60

21-01-2025 17:20:51             7.500                 14.63
21-01-2025 17:50:51             8.000                 14.65

21-01-2025 18:20:51             8.500                 14.65
21-01-2025 18:50:51             9.000                 14.64
21-01-2025 19:20:51             9.500                 14.64

21-01-2025 19:50:51            10.000                 14.65
21-01-2025 20:20:51            10.500                 14.67

21-01-2025 20:50:51            11.000                 14.68
21-01-2025 21:20:51            11.500                 14.66
21-01-2025 21:50:51            12.000                 14.68

21-01-2025 22:20:51            12.500                 14.66


21-01-2025 22:50:51            13.000                 14.68
21-01-2025 23:20:51            13.500                 14.68

21-01-2025 23:50:51            14.000                 14.66
22-01-2025 00:20:51            14.500                 14.67
22-01-2025 00:50:51            15.000                 14.68

22-01-2025 01:20:51            15.500                 14.69
22-01-2025 01:50:51            16.000                 14.68

22-01-2025 02:20:51            16.500                 14.68
22-01-2025 02:50:51            17.000                 14.69
22-01-2025 03:20:51            17.500                 14.68

22-01-2025 03:50:51            18.000                 14.69
22-01-2025 04:20:51            18.500                 14.69

22-01-2025 04:50:51            19.000                 14.69
22-01-2025 05:20:51            19.500                 14.68
22-01-2025 05:50:51            20.000                 14.68

22-01-2025 06:20:51            20.500                 14.68
22-01-2025 06:50:51            21.000                 14.67
22-01-2025 07:20:51            21.500                 14.67

22-01-2025 07:50:51            22.000                 14.67
22-01-2025 08:20:51            22.500                 14.62

22-01-2025 08:50:51            23.000                 14.60
22-01-2025 09:20:51            23.500                 14.59
22-01-2025 09:50:51            24.000                 14.59

22-01-2025 10:20:51            24.500                 14.59
22-01-2025 10:50:51            25.000                 14.59

22-01-2025 11:20:51            25.500                 14.58
22-01-2025 11:50:51            26.000                 14.59
22-01-2025 12:20:51            26.500                 14.60

22-01-2025 12:50:51            27.000                 14.60
