
                                              MFCS/win                    Report printed:                2025-02-06 12:54:17
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_oscillations3          Batch created:            2025-01-21 09:51:06

 Experiment Start:          2025-01-21 09:51:06                 Experiment Stop:          2025-01-24 08:53:59

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:51:06             0.000                  5.63

21-01-2025 09:55:51             0.079                  5.62
21-01-2025 09:56:06             0.083                  5.78
21-01-2025 10:21:06             0.500                  5.74

21-01-2025 10:51:06             1.000                  5.70
21-01-2025 11:21:06             1.500                  5.66
21-01-2025 11:51:06             2.000                  5.61

21-01-2025 12:21:06             2.500                  5.56
21-01-2025 12:51:07             3.000                  5.63

21-01-2025 13:21:07             3.500                  5.60
21-01-2025 13:51:07             4.000                  5.64
21-01-2025 14:21:07             4.500                  5.67

21-01-2025 14:35:45             4.744                  5.57
21-01-2025 14:36:00             4.748                  5.56

21-01-2025 14:51:07             5.000                  5.64
21-01-2025 15:01:31             5.174                  5.55
21-01-2025 15:01:46             5.178                  5.54

21-01-2025 15:21:07             5.500                  5.53
21-01-2025 15:29:18             5.637                  5.53

21-01-2025 15:29:33             5.641                  5.65
21-01-2025 15:38:48             5.795                  5.55
21-01-2025 15:39:03             5.799                  5.55

21-01-2025 15:40:18             5.820                  5.53
21-01-2025 15:40:33             5.824                  5.65
21-01-2025 15:49:03             5.966                  5.55

21-01-2025 15:49:18             5.970                  5.55
21-01-2025 15:51:07             6.000                  5.64

21-01-2025 15:58:48             6.128                  5.54
21-01-2025 15:59:03             6.133                  5.54
21-01-2025 16:06:49             6.262                  5.53

21-01-2025 16:07:04             6.266                  5.67
21-01-2025 16:15:05             6.400                  5.57

21-01-2025 16:15:20             6.404                  5.57
21-01-2025 16:21:07             6.500                  5.59
21-01-2025 16:51:07             7.000                  5.56

21-01-2025 16:52:38             7.026                  5.53


21-01-2025 16:52:53             7.030                  5.66
21-01-2025 16:59:23             7.138                  5.56

21-01-2025 16:59:38             7.142                  5.56
21-01-2025 17:21:07             7.500                  5.54
21-01-2025 17:21:53             7.513                  5.62

21-01-2025 17:22:08             7.517                  5.65
21-01-2025 17:28:08             7.617                  5.55

21-01-2025 17:28:23             7.621                  5.55
21-01-2025 17:34:08             7.717                  5.63
21-01-2025 17:34:23             7.721                  5.65

21-01-2025 17:39:53             7.813                  5.56
21-01-2025 17:40:08             7.817                  5.55

21-01-2025 17:51:07             8.000                  5.56
21-01-2025 18:19:40             8.476                  5.53
21-01-2025 18:19:55             8.480                  5.67

21-01-2025 18:21:07             8.500                  5.65
21-01-2025 18:25:56             8.581                  5.55
21-01-2025 18:26:11             8.585                  5.55

21-01-2025 18:36:56             8.764                  5.64
21-01-2025 18:37:11             8.768                  5.65

21-01-2025 18:42:12             8.852                  5.56
21-01-2025 18:42:27             8.856                  5.55
21-01-2025 18:51:07             9.000                  5.61

21-01-2025 19:18:43             9.460                  5.52
21-01-2025 19:18:58             9.464                  5.51

21-01-2025 19:21:07             9.500                  5.57
21-01-2025 19:51:07            10.000                  5.56
21-01-2025 20:21:07            10.500                  5.57

21-01-2025 20:51:07            11.000                  5.59
21-01-2025 21:21:07            11.500                  5.56

21-01-2025 21:51:07            12.000                  5.57
21-01-2025 22:21:07            12.500                  5.58
21-01-2025 22:51:07            13.000                  5.53

21-01-2025 22:55:35            13.075                  5.63
21-01-2025 22:55:50            13.079                  5.63
21-01-2025 23:10:06            13.317                  5.54

21-01-2025 23:10:21            13.321                  5.53
21-01-2025 23:19:36            13.475                  5.52

21-01-2025 23:19:51            13.479                  5.67
21-01-2025 23:21:07            13.500                  5.64
21-01-2025 23:25:07            13.567                  5.55

21-01-2025 23:25:22            13.571                  5.54
21-01-2025 23:51:07            14.000                  5.60

22-01-2025 00:21:07            14.500                  5.55
22-01-2025 00:36:54            14.763                  5.60
22-01-2025 00:37:09            14.767                  5.68

22-01-2025 00:41:24            14.838                  5.59
22-01-2025 00:41:39            14.843                  5.58

22-01-2025 00:51:07            15.000                  5.56
22-01-2025 01:06:10            15.251                  5.59
22-01-2025 01:06:25            15.255                  5.67

22-01-2025 01:11:25            15.339                  5.57

22-01-2025 01:11:40            15.343                  5.56
22-01-2025 01:21:07            15.500                  5.61

22-01-2025 01:51:07            16.000                  5.58
22-01-2025 02:21:07            16.500                  5.53
22-01-2025 02:21:14            16.502                  5.62

22-01-2025 02:21:29            16.506                  5.63
22-01-2025 02:25:59            16.581                  5.53

22-01-2025 02:26:14            16.586                  5.52
22-01-2025 02:37:15            16.769                  5.53
22-01-2025 02:37:30            16.773                  5.63

22-01-2025 02:42:15            16.852                  5.54
22-01-2025 02:42:30            16.857                  5.53

22-01-2025 02:42:45            16.861                  5.52
22-01-2025 02:43:00            16.865                  5.63
22-01-2025 02:48:16            16.953                  5.54

22-01-2025 02:48:31            16.957                  5.53
22-01-2025 02:51:07            17.000                  5.56
22-01-2025 03:07:01            17.265                  5.52

22-01-2025 03:07:16            17.269                  5.68
22-01-2025 03:12:32            17.357                  5.58

22-01-2025 03:12:47            17.361                  5.57
22-01-2025 03:21:07            17.500                  5.52
22-01-2025 03:21:18            17.503                  5.63

22-01-2025 03:26:48            17.595                  5.54
22-01-2025 03:27:03            17.599                  5.53

22-01-2025 03:27:33            17.607                  5.52
22-01-2025 03:27:48            17.612                  5.64
22-01-2025 03:32:48            17.695                  5.55

22-01-2025 03:33:03            17.699                  5.54
22-01-2025 03:45:49            17.912                  5.64

22-01-2025 03:46:04            17.916                  5.64
22-01-2025 03:50:50            17.996                  5.55
22-01-2025 03:51:05            18.000                  5.54

22-01-2025 03:51:07            18.000                  5.54
22-01-2025 03:51:35            18.008                  5.53
22-01-2025 03:51:50            18.012                  5.65

22-01-2025 03:57:21            18.104                  5.55
22-01-2025 03:57:36            18.108                  5.55

22-01-2025 04:09:52            18.313                  5.52
22-01-2025 04:10:07            18.317                  5.67
22-01-2025 04:15:22            18.404                  5.57

22-01-2025 04:15:37            18.409                  5.57
22-01-2025 04:21:07            18.500                  5.59

22-01-2025 04:51:07            19.000                  5.53
22-01-2025 04:51:09            19.001                  5.53
22-01-2025 04:51:24            19.005                  5.63

22-01-2025 05:03:55            19.214                  5.54
22-01-2025 05:04:10            19.218                  5.53

22-01-2025 05:04:25            19.222                  5.53
22-01-2025 05:04:40            19.226                  5.66
22-01-2025 05:09:55            19.314                  5.56

22-01-2025 05:10:10            19.318                  5.56

22-01-2025 05:21:07            19.500                  5.60
22-01-2025 05:51:07            20.000                  5.54

22-01-2025 05:51:26            20.006                  5.54
22-01-2025 05:51:41            20.010                  5.65
22-01-2025 05:56:41            20.093                  5.55

22-01-2025 05:56:56            20.097                  5.55
22-01-2025 06:04:56            20.231                  5.64

22-01-2025 06:05:11            20.235                  5.66
22-01-2025 06:10:11            20.318                  5.57
22-01-2025 06:10:26            20.322                  5.56

22-01-2025 06:21:07            20.500                  5.61
22-01-2025 06:51:07            21.000                  5.53

22-01-2025 06:51:29            21.006                  5.61
22-01-2025 06:51:44            21.011                  5.63
22-01-2025 06:56:29            21.090                  5.54

22-01-2025 06:56:44            21.094                  5.53
22-01-2025 06:57:29            21.106                  5.62
22-01-2025 06:57:44            21.111                  5.75

22-01-2025 07:03:14            21.202                  5.65
22-01-2025 07:03:29            21.206                  5.65

22-01-2025 07:08:29            21.290                  5.56
22-01-2025 07:08:44            21.294                  5.54
22-01-2025 07:13:44            21.377                  5.53

22-01-2025 07:13:59            21.381                  5.67
22-01-2025 07:18:44            21.461                  5.57

22-01-2025 07:18:59            21.465                  5.56
22-01-2025 07:21:07            21.500                  5.59
22-01-2025 07:51:07            22.000                  5.57

22-01-2025 08:21:07            22.500                  5.54
22-01-2025 08:21:45            22.511                  5.58

22-01-2025 08:22:00            22.515                  5.64
22-01-2025 08:28:45            22.627                  5.55
22-01-2025 08:29:00            22.632                  5.54

22-01-2025 08:29:30            22.640                  5.52
22-01-2025 08:29:45            22.644                  5.65
22-01-2025 08:36:45            22.761                  5.56

22-01-2025 08:37:00            22.765                  5.55
22-01-2025 08:38:00            22.782                  5.52

22-01-2025 08:38:15            22.786                  5.66
22-01-2025 08:45:00            22.898                  5.57
22-01-2025 08:45:15            22.902                  5.55

22-01-2025 08:46:30            22.923                  5.53
22-01-2025 08:46:45            22.928                  5.66

22-01-2025 08:51:07            23.000                  5.58
22-01-2025 09:12:01            23.349                  5.63
22-01-2025 09:12:16            23.353                  5.71

22-01-2025 09:18:01            23.449                  5.61
22-01-2025 09:18:16            23.453                  5.60

22-01-2025 09:21:07            23.500                  5.57
22-01-2025 09:51:07            24.000                  5.54
22-01-2025 09:51:48            24.012                  5.53

22-01-2025 09:52:03            24.016                  5.65

22-01-2025 09:57:48            24.112                  5.55
22-01-2025 09:58:03            24.116                  5.54

22-01-2025 09:59:03            24.133                  5.62
22-01-2025 09:59:18            24.137                  5.68
22-01-2025 10:07:33            24.274                  5.59

22-01-2025 10:07:48            24.278                  5.58
22-01-2025 10:21:07            24.500                  5.62

22-01-2025 10:51:07            25.000                  5.57
22-01-2025 11:10:20            25.321                  5.53
22-01-2025 11:10:35            25.325                  5.68

22-01-2025 11:18:05            25.450                  5.58
22-01-2025 11:18:20            25.454                  5.58

22-01-2025 11:21:07            25.500                  5.66
22-01-2025 11:27:05            25.600                  5.56
22-01-2025 11:27:20            25.604                  5.56

22-01-2025 11:33:51            25.712                  5.65
22-01-2025 11:34:06            25.717                  5.66
22-01-2025 11:38:51            25.796                  5.56

22-01-2025 11:39:06            25.800                  5.56
22-01-2025 11:41:21            25.837                  5.52

22-01-2025 11:41:36            25.842                  5.67
22-01-2025 11:51:07            26.000                  5.63
22-01-2025 12:21:07            26.500                  5.60

22-01-2025 12:51:07            27.000                  5.66
22-01-2025 12:59:09            27.134                  5.56

22-01-2025 12:59:24            27.138                  5.55
22-01-2025 13:21:07            27.500                  5.56
22-01-2025 13:51:07            28.000                  5.54

22-01-2025 14:07:14            28.269                  5.53
22-01-2025 14:07:29            28.273                  5.66

22-01-2025 14:13:29            28.373                  5.56
22-01-2025 14:13:44            28.377                  5.56
22-01-2025 14:21:07            28.500                  5.55

22-01-2025 14:51:07            29.000                  5.57
22-01-2025 15:21:07            29.500                  5.57
22-01-2025 15:51:07            30.000                  5.59

22-01-2025 16:21:07            30.500                  5.53
22-01-2025 16:51:07            31.000                  5.58

22-01-2025 17:21:07            31.500                  5.58
22-01-2025 17:51:07            32.000                  5.54
22-01-2025 18:21:07            32.500                  5.54

22-01-2025 18:51:07            33.000                  5.54
22-01-2025 19:21:07            33.500                  5.59

22-01-2025 19:51:07            34.000                  5.57
22-01-2025 20:21:07            34.500                  5.56
22-01-2025 20:51:07            35.000                  5.57

22-01-2025 21:21:07            35.500                  5.58
22-01-2025 21:51:07            36.000                  5.55

22-01-2025 22:21:07            36.500                  5.57
22-01-2025 22:51:07            37.000                  5.56
22-01-2025 23:21:07            37.500                  5.56

22-01-2025 23:51:07            38.000                  5.56

23-01-2025 00:21:07            38.500                  5.56
23-01-2025 00:51:07            39.000                  5.54

23-01-2025 01:21:07            39.500                  5.57
23-01-2025 01:51:07            40.000                  5.55
23-01-2025 02:21:07            40.500                  5.54

23-01-2025 02:51:07            41.000                  5.54
23-01-2025 03:21:07            41.500                  5.55

23-01-2025 03:51:07            42.000                  5.54
23-01-2025 04:21:07            42.500                  5.55
23-01-2025 04:51:07            43.000                  5.54

23-01-2025 05:21:07            43.500                  5.55
23-01-2025 05:51:07            44.000                  5.55

23-01-2025 06:21:07            44.500                  5.55
23-01-2025 06:51:07            45.000                  5.55
