
                                              MFCS/win                    Report printed:                2025-02-06 12:54:26
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_31_oscillations3          Batch created:            2025-01-21 09:51:06

 Experiment Start:          2025-01-21 09:51:06                 Experiment Stop:          2025-01-24 08:53:59

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

21-01-2025 09:51:06             0.000                 14.58

21-01-2025 09:55:36             0.075                 14.63
21-01-2025 09:55:51             0.079                 15.23
21-01-2025 09:56:06             0.083                 14.93

21-01-2025 10:19:52             0.479                 14.77
21-01-2025 10:20:07             0.484                 14.68
21-01-2025 10:21:06             0.500                 14.70

21-01-2025 10:51:06             1.000                 14.71
21-01-2025 11:21:06             1.500                 14.69

21-01-2025 11:51:06             2.000                 14.69
21-01-2025 12:21:06             2.500                 14.69
21-01-2025 12:51:07             3.000                 14.71

21-01-2025 13:21:07             3.500                 14.68
21-01-2025 13:24:44             3.561                 14.66

21-01-2025 13:24:59             3.565                 17.51
21-01-2025 13:25:14             3.569                 14.67
21-01-2025 13:51:07             4.000                 14.65

21-01-2025 14:21:07             4.500                 14.66
21-01-2025 14:51:07             5.000                 14.66

21-01-2025 15:21:03             5.499                 14.77
21-01-2025 15:21:07             5.500                 14.92
21-01-2025 15:51:07             6.000                 14.83

21-01-2025 16:21:07             6.500                 14.84
21-01-2025 16:51:07             7.000                 14.86
21-01-2025 17:21:07             7.500                 14.89

21-01-2025 17:51:07             8.000                 14.90
21-01-2025 18:21:07             8.500                 14.90

21-01-2025 18:51:07             9.000                 14.89
21-01-2025 19:21:07             9.500                 14.89
21-01-2025 19:51:07            10.000                 14.89

21-01-2025 20:21:07            10.500                 14.92
21-01-2025 20:51:07            11.000                 14.92

21-01-2025 21:21:07            11.500                 14.90
21-01-2025 21:51:07            12.000                 14.92
21-01-2025 22:21:07            12.500                 14.90

21-01-2025 22:51:07            13.000                 14.91


21-01-2025 23:21:07            13.500                 14.91
21-01-2025 23:51:07            14.000                 14.90

22-01-2025 00:21:07            14.500                 14.90
22-01-2025 00:51:07            15.000                 14.90
22-01-2025 01:21:07            15.500                 14.90

22-01-2025 01:51:07            16.000                 14.90
22-01-2025 02:21:07            16.500                 14.90

22-01-2025 02:51:07            17.000                 14.89
22-01-2025 03:21:07            17.500                 14.88
22-01-2025 03:51:07            18.000                 14.88

22-01-2025 04:21:07            18.500                 14.88
22-01-2025 04:51:07            19.000                 14.87

22-01-2025 05:21:07            19.500                 14.88
22-01-2025 05:51:07            20.000                 14.88
22-01-2025 06:21:07            20.500                 14.87

22-01-2025 06:51:07            21.000                 14.87
22-01-2025 07:21:07            21.500                 14.87
22-01-2025 07:51:07            22.000                 14.86

22-01-2025 08:21:07            22.500                 14.80
22-01-2025 08:51:07            23.000                 14.80

22-01-2025 09:21:07            23.500                 14.80
22-01-2025 09:51:07            24.000                 14.83
22-01-2025 10:21:07            24.500                 14.81

22-01-2025 10:51:07            25.000                 14.81
22-01-2025 11:21:07            25.500                 14.81

22-01-2025 11:51:07            26.000                 14.80
22-01-2025 12:21:07            26.500                 14.80
22-01-2025 12:51:07            27.000                 14.81

22-01-2025 13:21:07            27.500                 14.81
22-01-2025 13:51:07            28.000                 14.82

22-01-2025 14:21:07            28.500                 14.81
22-01-2025 14:51:07            29.000                 14.81
22-01-2025 15:21:07            29.500                 14.80

22-01-2025 15:51:07            30.000                 14.74
22-01-2025 16:21:07            30.500                 14.83
22-01-2025 16:51:07            31.000                 14.87

22-01-2025 17:21:07            31.500                 14.90
22-01-2025 17:51:07            32.000                 14.89

22-01-2025 18:21:07            32.500                 14.87
22-01-2025 18:51:07            33.000                 14.90
22-01-2025 19:21:07            33.500                 14.88

22-01-2025 19:51:07            34.000                 14.89
22-01-2025 20:21:07            34.500                 14.91

22-01-2025 20:51:07            35.000                 14.90
22-01-2025 21:21:07            35.500                 14.92
22-01-2025 21:51:07            36.000                 14.90

22-01-2025 22:21:07            36.500                 14.92
22-01-2025 22:51:07            37.000                 14.91

22-01-2025 23:21:07            37.500                 14.92
22-01-2025 23:51:07            38.000                 14.92
23-01-2025 00:21:07            38.500                 14.91

23-01-2025 00:51:07            39.000                 14.90

23-01-2025 01:21:07            39.500                 14.90
23-01-2025 01:51:07            40.000                 14.90

23-01-2025 02:21:07            40.500                 14.89
23-01-2025 02:51:07            41.000                 14.89
23-01-2025 03:21:07            41.500                 14.89

23-01-2025 03:51:07            42.000                 14.90
23-01-2025 04:21:07            42.500                 14.89

23-01-2025 04:51:07            43.000                 14.90
23-01-2025 05:21:07            43.500                 14.88
23-01-2025 05:51:07            44.000                 14.89

23-01-2025 06:21:07            44.500                 14.89
23-01-2025 06:51:07            45.000                 14.88

23-01-2025 07:21:07            45.500                 14.87
23-01-2025 07:51:07            46.000                 14.89
23-01-2025 08:21:07            46.500                 14.87

23-01-2025 08:51:07            47.000                 14.87
23-01-2025 09:21:07            47.500                 14.86
