Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2025-01-28 18:07:54;2025-01-28 10:07:54;0.04074;20.94965;1.01553;0.04074;20.94965;1.01553;;0.21794;7.04662;24.94926;1.01651;0.0411;20.95905;
2025-01-28 18:07:59;2025-01-28 10:07:59;0.04074;20.94965;1.01553;0.04074;20.94965;1.01553;;0.21794;7.04662;24.94926;1.01651;0.0411;20.95905;
2025-01-28 18:08:04;2025-01-28 10:08:04;0.04073;20.94991;1.01552;0.04073;20.94991;1.01552;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:09;2025-01-28 10:08:09;0.04073;20.94991;1.01552;0.04073;20.94991;1.01552;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:14;2025-01-28 10:08:14;0.04065;20.95042;0.30581;9.49569;25.51537;1.01549;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:19;2025-01-28 10:08:19;0.04065;20.95042;0.30581;9.49569;25.51537;1.01549;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:24;2025-01-28 10:08:24;0.04087;20.94995;1.01549;0.04087;20.94995;1.01549;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:29;2025-01-28 10:08:29;0.04087;20.94995;1.01549;0.04087;20.94995;1.01549;;0.21902;6.98711;24.93591;1.01653;0.04119;20.95918;
2025-01-28 18:08:34;2025-01-28 10:08:34;0.041;20.95444;1.01544;0.041;20.95444;1.01544;;0.21902;6.97185;24.93591;1.0165;0.04108;20.95906;
2025-01-28 18:08:39;2025-01-28 10:08:39;0.041;20.95444;1.01544;0.041;20.95444;1.01544;;0.21902;6.97185;24.93591;1.0165;0.04108;20.95906;
2025-01-28 18:08:44;2025-01-28 10:08:44;0.04079;20.96038;1.01543;0.04079;20.96038;1.01543;;1.01653;0.04098;20.95849;1.01653;0.04098;20.95849;
2025-01-28 18:08:49;2025-01-28 10:08:49;0.04079;20.96038;1.01543;0.04079;20.96038;1.01543;;1.01653;0.04098;20.95849;1.01653;0.04098;20.95849;
2025-01-28 18:08:54;2025-01-28 10:08:54;0.04083;20.96222;0.37691;11.82422;25.51537;1.01545;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:08:59;2025-01-28 10:08:59;0.04083;20.96222;0.37691;11.82422;25.51537;1.01545;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:09:04;2025-01-28 10:09:04;0.04132;20.97601;0.47691;15.22087;25.51537;1.01545;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:09:09;2025-01-28 10:09:09;0.04132;20.97601;0.47691;15.22087;25.51537;1.01545;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:09:14;2025-01-28 10:09:14;0.04333;20.97307;0.58513;17.70199;25.51537;1.01546;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:09:19;2025-01-28 10:09:19;0.04333;20.97307;0.58513;17.70199;25.51537;1.01546;;1.01653;0.04126;20.95953;1.01653;0.04126;20.95953;
2025-01-28 18:09:24;2025-01-28 10:09:24;0.0449;20.95529;0.66379;20.2533;25.50202;1.01546;;1.01654;0.04189;20.96905;1.01654;0.04189;20.96905;
2025-01-28 18:09:29;2025-01-28 10:09:29;0.0449;20.95529;0.66379;20.2533;25.50202;1.01546;;1.01654;0.04189;20.96905;1.01654;0.04189;20.96905;
2025-01-28 18:09:34;2025-01-28 10:09:34;0.0449;20.95529;0.66379;20.2533;25.50202;1.01546;;1.01653;0.0424;20.97633;1.01653;0.0424;20.97633;
2025-01-28 18:09:39;2025-01-28 10:09:39;0.0449;20.95529;0.66379;20.2533;25.50202;1.01546;;1.01653;0.0424;20.97633;1.01653;0.0424;20.97633;
