
                                              MFCS/win                    Report printed:                2025-02-07 15:48:55
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                     Setpoint


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                  25.0

28-01-2025 10:36:34             0.482                  25.0
28-01-2025 11:06:34             0.982                  25.0
28-01-2025 11:36:34             1.482                  25.0

28-01-2025 12:06:35             1.982                  25.0
28-01-2025 12:36:35             2.482                  25.0
28-01-2025 13:06:35             2.982                  25.0

28-01-2025 13:36:35             3.482                  25.0
28-01-2025 14:06:35             3.982                  25.0

28-01-2025 14:36:35             4.482                  25.0
28-01-2025 15:06:35             4.982                  25.0
28-01-2025 15:36:35             5.482                  25.0

28-01-2025 16:06:35             5.982                  25.0
28-01-2025 16:36:35             6.482                  25.0

28-01-2025 17:06:35             6.982                  25.0
28-01-2025 17:36:35             7.482                  25.0
28-01-2025 18:06:35             7.982                  25.0

28-01-2025 18:36:35             8.482                  25.0
28-01-2025 19:06:35             8.982                  25.0

28-01-2025 19:36:35             9.482                  25.0
28-01-2025 20:06:35             9.982                  25.0
28-01-2025 20:36:35            10.482                  25.0

28-01-2025 21:06:35            10.982                  25.0
28-01-2025 21:36:35            11.482                  25.0
28-01-2025 22:06:35            11.982                  25.0

28-01-2025 22:36:35            12.482                  25.0
28-01-2025 23:06:35            12.982                  25.0

28-01-2025 23:36:35            13.482                  25.0
29-01-2025 00:06:35            13.982                  25.0
29-01-2025 00:36:35            14.482                  25.0

29-01-2025 01:06:35            14.982                  25.0
29-01-2025 01:36:35            15.482                  25.0

29-01-2025 02:06:35            15.982                  25.0
29-01-2025 02:36:35            16.482                  25.0
29-01-2025 03:06:35            16.982                  25.0

29-01-2025 03:36:36            17.482                  25.0


29-01-2025 04:06:36            17.982                  25.0
29-01-2025 04:36:36            18.482                  25.0

29-01-2025 05:06:36            18.982                  25.0
29-01-2025 05:36:36            19.482                  25.0
29-01-2025 06:06:36            19.982                  25.0

29-01-2025 06:36:36            20.482                  25.0
29-01-2025 07:06:36            20.982                  25.0

29-01-2025 07:36:36            21.482                  25.0
29-01-2025 08:06:36            21.982                  25.0
29-01-2025 08:36:36            22.482                  25.0

29-01-2025 09:06:36            22.982                  25.0
29-01-2025 09:36:36            23.482                  25.0

29-01-2025 10:06:36            23.982                  25.0
29-01-2025 10:36:36            24.482                  25.0
