
                                              MFCS/win                    Report printed:                2025-02-07 15:48:56
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                  600

28-01-2025 10:10:25             0.046                  600
28-01-2025 10:10:40             0.050                  400
28-01-2025 10:36:34             0.482                  400

28-01-2025 11:06:34             0.982                  400
28-01-2025 11:36:34             1.482                  400
28-01-2025 12:06:35             1.982                  400

28-01-2025 12:36:35             2.482                  400
28-01-2025 13:06:35             2.982                  400

28-01-2025 13:26:13             3.309                  403
28-01-2025 13:26:28             3.313                  403
28-01-2025 13:36:35             3.482                  405

28-01-2025 13:38:44             3.518                  402
28-01-2025 13:38:59             3.522                  402

28-01-2025 13:41:29             3.564                  404
28-01-2025 13:41:44             3.568                  405
28-01-2025 13:57:29             3.830                  402

28-01-2025 13:57:44             3.834                  402
28-01-2025 14:06:35             3.982                  400

28-01-2025 14:36:35             4.482                  400
28-01-2025 15:06:35             4.982                  403
28-01-2025 15:16:02             5.139                  406

28-01-2025 15:16:17             5.144                  406
28-01-2025 15:20:02             5.206                  404
28-01-2025 15:20:17             5.210                  403

28-01-2025 15:22:32             5.248                  405
28-01-2025 15:22:47             5.252                  406

28-01-2025 15:31:32             5.398                  408
28-01-2025 15:31:47             5.402                  409
28-01-2025 15:36:35             5.482                  412

28-01-2025 15:45:03             5.623                  409
28-01-2025 15:45:18             5.627                  408

28-01-2025 15:50:33             5.715                  410
28-01-2025 15:50:48             5.719                  411
28-01-2025 15:57:48             5.836                  413

28-01-2025 15:58:03             5.840                  414


28-01-2025 16:06:35             5.982                  417
28-01-2025 16:12:33             6.081                  419

28-01-2025 16:12:48             6.086                  420
28-01-2025 16:15:03             6.123                  417
28-01-2025 16:15:18             6.127                  416

28-01-2025 16:17:18             6.161                  416
28-01-2025 16:17:33             6.165                  403

28-01-2025 16:17:48             6.169                  408
28-01-2025 16:18:03             6.173                  421
28-01-2025 16:18:48             6.186                  423

28-01-2025 16:19:03             6.190                  429
28-01-2025 16:19:18             6.194                  436

28-01-2025 16:19:33             6.198                  442
28-01-2025 16:19:48             6.202                  448
28-01-2025 16:20:33             6.215                  446

28-01-2025 16:20:48             6.219                  443
28-01-2025 16:21:03             6.223                  438
28-01-2025 16:21:18             6.227                  434

28-01-2025 16:21:33             6.231                  430
28-01-2025 16:21:48             6.236                  427

28-01-2025 16:22:03             6.240                  423
28-01-2025 16:22:18             6.244                  421
28-01-2025 16:22:33             6.248                  419

28-01-2025 16:23:18             6.261                  416
28-01-2025 16:23:33             6.265                  416

28-01-2025 16:24:48             6.286                  419
28-01-2025 16:25:03             6.290                  420
28-01-2025 16:25:33             6.298                  422

28-01-2025 16:25:48             6.302                  423
28-01-2025 16:36:35             6.482                  422

28-01-2025 16:38:48             6.519                  425
28-01-2025 16:39:03             6.523                  425
28-01-2025 16:46:18             6.644                  428

28-01-2025 16:46:33             6.648                  428
28-01-2025 17:00:03             6.873                  431
28-01-2025 17:00:18             6.877                  431

28-01-2025 17:06:35             6.982                  433
28-01-2025 17:14:33             7.115                  436

28-01-2025 17:14:48             7.119                  436
28-01-2025 17:23:03             7.256                  439
28-01-2025 17:23:18             7.261                  439

28-01-2025 17:26:48             7.319                  436
28-01-2025 17:27:03             7.323                  436

28-01-2025 17:29:03             7.356                  439
28-01-2025 17:29:18             7.361                  440
28-01-2025 17:30:18             7.377                  443

28-01-2025 17:30:33             7.381                  443
28-01-2025 17:32:18             7.411                  440

28-01-2025 17:32:33             7.415                  440
28-01-2025 17:36:18             7.477                  442
28-01-2025 17:36:33             7.481                  443

28-01-2025 17:36:35             7.482                  443

28-01-2025 17:47:33             7.665                  446
28-01-2025 17:47:48             7.669                  446

28-01-2025 17:58:34             7.848                  448
28-01-2025 17:58:49             7.852                  449
28-01-2025 18:06:35             7.982                  452

28-01-2025 18:16:49             8.153                  455
28-01-2025 18:17:04             8.157                  455

28-01-2025 18:24:49             8.286                  457
28-01-2025 18:25:04             8.290                  458
28-01-2025 18:35:20             8.461                  461

28-01-2025 18:35:35             8.465                  461
28-01-2025 18:36:35             8.482                  462

28-01-2025 18:48:21             8.678                  465
28-01-2025 18:48:36             8.682                  466
28-01-2025 18:59:22             8.862                  468

28-01-2025 18:59:37             8.866                  469
28-01-2025 19:06:35             8.982                  472
28-01-2025 19:15:37             9.133                  473

28-01-2025 19:15:52             9.137                  475
28-01-2025 19:25:07             9.291                  478

28-01-2025 19:25:22             9.295                  478
28-01-2025 19:36:35             9.482                  477
28-01-2025 19:38:07             9.508                  479

28-01-2025 19:38:22             9.512                  480
28-01-2025 19:47:37             9.666                  483

28-01-2025 19:47:52             9.670                  483
28-01-2025 19:57:52             9.837                  486
28-01-2025 19:58:07             9.841                  487

28-01-2025 20:05:08             9.958                  488
28-01-2025 20:05:23             9.962                  490

28-01-2025 20:06:35             9.982                  489
28-01-2025 20:08:53            10.020                  491
28-01-2025 20:09:08            10.024                  492

28-01-2025 20:22:08            10.241                  494
28-01-2025 20:22:23            10.245                  495
28-01-2025 20:29:09            10.358                  497

28-01-2025 20:29:24            10.362                  498
28-01-2025 20:36:35            10.482                  499

28-01-2025 20:41:09            10.558                  501
28-01-2025 20:41:24            10.562                  502
28-01-2025 20:41:54            10.571                  500

28-01-2025 20:42:09            10.575                  498
28-01-2025 20:44:39            10.616                  501

28-01-2025 20:44:54            10.621                  501
28-01-2025 20:59:25            10.863                  504
28-01-2025 20:59:40            10.867                  504

28-01-2025 21:06:35            10.982                  505
28-01-2025 21:16:57            11.155                  508

28-01-2025 21:17:12            11.159                  508
28-01-2025 21:29:12            11.359                  511
28-01-2025 21:29:27            11.363                  512

28-01-2025 21:36:35            11.482                  512

28-01-2025 21:48:13            11.676                  515
28-01-2025 21:48:28            11.680                  515

28-01-2025 21:54:44            11.784                  517
28-01-2025 21:54:59            11.789                  518
28-01-2025 22:06:35            11.982                  520

28-01-2025 22:21:29            12.230                  523
28-01-2025 22:21:44            12.234                  524

28-01-2025 22:34:00            12.439                  526
28-01-2025 22:34:15            12.443                  527
28-01-2025 22:36:35            12.482                  527

28-01-2025 22:50:31            12.714                  530
28-01-2025 22:50:46            12.718                  530

28-01-2025 22:52:31            12.748                  533
28-01-2025 22:52:46            12.752                  534
28-01-2025 22:54:16            12.777                  531

28-01-2025 22:54:31            12.781                  531
28-01-2025 23:01:01            12.889                  533
28-01-2025 23:01:16            12.893                  534

28-01-2025 23:06:35            12.982                  534
28-01-2025 23:13:01            13.089                  537

28-01-2025 23:13:16            13.093                  538
28-01-2025 23:14:32            13.114                  535
28-01-2025 23:14:47            13.119                  535

28-01-2025 23:17:02            13.156                  537
28-01-2025 23:17:17            13.160                  538

28-01-2025 23:18:47            13.185                  535
28-01-2025 23:19:02            13.189                  535
28-01-2025 23:28:17            13.344                  538

28-01-2025 23:28:32            13.348                  538
28-01-2025 23:36:35            13.482                  538

28-01-2025 23:43:02            13.589                  541
28-01-2025 23:43:17            13.594                  541
28-01-2025 23:56:47            13.819                  543

28-01-2025 23:57:02            13.823                  544
28-01-2025 23:59:18            13.861                  542
28-01-2025 23:59:33            13.865                  541

29-01-2025 00:01:03            13.890                  543
29-01-2025 00:01:18            13.894                  544

29-01-2025 00:06:35            13.982                  544
29-01-2025 00:26:04            14.307                  547
29-01-2025 00:26:19            14.311                  549

29-01-2025 00:34:35            14.449                  546
29-01-2025 00:34:50            14.453                  546

29-01-2025 00:36:05            14.474                  548
29-01-2025 00:36:20            14.478                  549
29-01-2025 00:36:35            14.482                  549

29-01-2025 00:47:50            14.669                  552
29-01-2025 00:48:05            14.674                  552

29-01-2025 00:50:21            14.711                  550
29-01-2025 00:50:36            14.716                  549
29-01-2025 00:58:37            14.849                  552

29-01-2025 00:58:52            14.853                  552

29-01-2025 01:00:07            14.874                  554
29-01-2025 01:00:22            14.878                  556

29-01-2025 01:02:22            14.912                  553
29-01-2025 01:02:37            14.916                  553
29-01-2025 01:06:35            14.982                  554

29-01-2025 01:18:07            15.174                  555
29-01-2025 01:18:22            15.178                  557

29-01-2025 01:26:08            15.308                  554
29-01-2025 01:26:23            15.312                  553
29-01-2025 01:28:23            15.345                  556

29-01-2025 01:28:38            15.349                  557
29-01-2025 01:36:35            15.482                  557

29-01-2025 01:44:40            15.617                  559
29-01-2025 01:44:55            15.621                  560
29-01-2025 01:47:11            15.659                  558

29-01-2025 01:47:26            15.663                  557
29-01-2025 01:50:11            15.709                  560
29-01-2025 01:50:26            15.713                  560

29-01-2025 02:06:35            15.982                  561
29-01-2025 02:15:13            16.126                  561

29-01-2025 02:15:28            16.130                  564
29-01-2025 02:32:43            16.418                  566
29-01-2025 02:32:58            16.422                  567

29-01-2025 02:36:13            16.476                  564
29-01-2025 02:36:28            16.480                  563

29-01-2025 02:36:35            16.482                  563
29-01-2025 02:39:29            16.530                  566
29-01-2025 02:39:44            16.534                  566

29-01-2025 02:40:59            16.555                  563
29-01-2025 02:41:14            16.559                  562

29-01-2025 02:44:44            16.618                  565
29-01-2025 02:44:59            16.622                  565
29-01-2025 02:54:45            16.785                  568

29-01-2025 02:55:00            16.789                  568
29-01-2025 02:57:16            16.827                  567
29-01-2025 02:57:31            16.831                  565

29-01-2025 02:58:46            16.852                  567
29-01-2025 02:59:01            16.856                  568

29-01-2025 03:06:35            16.982                  570
29-01-2025 03:07:47            17.002                  568
29-01-2025 03:08:02            17.006                  567

29-01-2025 03:13:02            17.089                  569
29-01-2025 03:13:17            17.094                  570

29-01-2025 03:14:47            17.119                  567
29-01-2025 03:15:02            17.123                  567
29-01-2025 03:28:17            17.344                  565

29-01-2025 03:28:32            17.348                  564
29-01-2025 03:33:32            17.431                  561

29-01-2025 03:33:47            17.435                  560
29-01-2025 03:34:17            17.444                  558
29-01-2025 03:34:32            17.448                  557

29-01-2025 03:36:36            17.482                  556

29-01-2025 03:48:17            17.677                  554
29-01-2025 03:48:32            17.681                  553

29-01-2025 04:03:02            17.923                  556
29-01-2025 04:03:17            17.927                  556
29-01-2025 04:06:36            17.982                  554

29-01-2025 04:08:47            18.019                  556
29-01-2025 04:09:02            18.023                  557

29-01-2025 04:10:32            18.048                  555
29-01-2025 04:10:47            18.052                  554
29-01-2025 04:36:36            18.482                  555

29-01-2025 04:45:48            18.636                  557
29-01-2025 04:46:03            18.640                  558

29-01-2025 04:55:03            18.790                  555
29-01-2025 04:55:18            18.794                  555
29-01-2025 04:56:03            18.806                  557

29-01-2025 04:56:18            18.811                  558
29-01-2025 05:06:36            18.982                  556
29-01-2025 05:18:50            19.186                  559

29-01-2025 05:19:05            19.190                  560
29-01-2025 05:24:50            19.286                  557

29-01-2025 05:25:05            19.290                  557
29-01-2025 05:36:36            19.482                  558
29-01-2025 05:45:50            19.636                  561

29-01-2025 05:46:05            19.640                  561
29-01-2025 05:53:20            19.761                  558

29-01-2025 05:53:35            19.765                  558
29-01-2025 05:55:06            19.791                  561
29-01-2025 05:55:21            19.795                  561

29-01-2025 06:00:21            19.878                  559
29-01-2025 06:00:36            19.882                  558

29-01-2025 06:03:36            19.932                  561
29-01-2025 06:03:51            19.936                  561
29-01-2025 06:06:36            19.982                  559

29-01-2025 06:13:21            20.095                  561
29-01-2025 06:13:36            20.099                  563
29-01-2025 06:36:36            20.482                  562

29-01-2025 06:44:51            20.620                  560
29-01-2025 06:45:06            20.624                  559

29-01-2025 06:52:06            20.741                  562
29-01-2025 06:52:21            20.745                  562
29-01-2025 06:53:21            20.761                  560

29-01-2025 06:53:36            20.766                  559
29-01-2025 06:55:06            20.791                  562

29-01-2025 06:55:21            20.795                  562
29-01-2025 06:58:06            20.841                  560
29-01-2025 06:58:21            20.845                  559

29-01-2025 07:06:36            20.982                  560
29-01-2025 07:07:21            20.995                  562

29-01-2025 07:07:36            20.999                  563
29-01-2025 07:08:51            21.020                  560
29-01-2025 07:09:06            21.024                  560

29-01-2025 07:35:36            21.466                  557

29-01-2025 07:35:51            21.470                  557
29-01-2025 07:36:36            21.482                  559

29-01-2025 07:40:21            21.545                  561
29-01-2025 07:40:36            21.549                  562
29-01-2025 07:41:21            21.561                  559

29-01-2025 07:41:36            21.566                  559
29-01-2025 07:43:36            21.599                  556

29-01-2025 07:43:51            21.603                  556
