
                                              MFCS/win                    Report printed:                2025-02-07 15:48:56
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                   0

28-01-2025 10:36:34             0.482                  .48
28-01-2025 11:06:34             0.982                  .98
28-01-2025 11:36:34             1.482                  1.48

28-01-2025 12:06:35             1.982                  1.98
28-01-2025 12:36:35             2.482                  2.48
28-01-2025 13:06:35             2.982                  2.98

28-01-2025 13:36:35             3.482                  3.48
28-01-2025 14:06:35             3.982                  3.98

28-01-2025 14:36:35             4.482                  4.48
28-01-2025 15:06:35             4.982                  4.98
28-01-2025 15:36:35             5.482                  5.48

28-01-2025 16:06:35             5.982                  5.98
28-01-2025 16:36:35             6.482                  6.48

28-01-2025 17:06:35             6.982                  6.98
28-01-2025 17:36:35             7.482                  7.48
28-01-2025 18:06:35             7.982                  7.98

28-01-2025 18:36:35             8.482                  8.48
28-01-2025 19:06:35             8.982                  8.98

28-01-2025 19:36:35             9.482                  9.48
28-01-2025 20:06:35             9.982                  9.98
28-01-2025 20:36:35            10.482                 10.48

28-01-2025 21:06:35            10.982                 10.98
28-01-2025 21:36:35            11.482                 11.48
28-01-2025 22:06:35            11.982                 11.98

28-01-2025 22:36:35            12.482                 12.48
28-01-2025 23:06:35            12.982                 12.98

28-01-2025 23:36:35            13.482                 13.48
29-01-2025 00:06:35            13.982                 13.98
29-01-2025 00:36:35            14.482                 14.48

29-01-2025 01:06:35            14.982                 14.98
29-01-2025 01:36:35            15.482                 15.48

29-01-2025 02:06:35            15.982                 15.98
29-01-2025 02:36:35            16.482                 16.48
29-01-2025 03:06:35            16.982                 16.98

29-01-2025 03:36:36            17.482                 17.48


29-01-2025 04:06:36            17.982                 17.98
29-01-2025 04:36:36            18.482                 18.48

29-01-2025 05:06:36            18.982                 18.98
29-01-2025 05:36:36            19.482                 19.48
29-01-2025 06:06:36            19.982                 19.98

29-01-2025 06:36:36            20.482                 20.48
29-01-2025 07:06:36            20.982                 20.98

29-01-2025 07:36:36            21.482                 21.48
29-01-2025 08:06:36            21.982                 21.98
29-01-2025 08:36:36            22.482                 22.48

29-01-2025 09:06:36            22.982                 22.98
29-01-2025 09:36:36            23.482                 23.48

29-01-2025 10:06:36            23.982                 23.98
29-01-2025 10:36:36            24.482                 24.48
29-01-2025 11:06:36            24.982                 24.98

29-01-2025 11:36:36            25.482                 25.48
29-01-2025 12:06:36            25.982                 25.98
29-01-2025 12:36:36            26.482                 26.48

29-01-2025 13:06:36            26.982                 26.98
29-01-2025 13:36:36            27.482                 27.48

29-01-2025 14:06:36            27.982                 27.98
29-01-2025 14:36:36            28.482                 28.48
29-01-2025 15:06:36            28.982                 28.98

29-01-2025 15:36:36            29.482                 29.48
29-01-2025 16:06:36            29.982                 29.98

29-01-2025 16:36:36            30.482                 30.48
29-01-2025 17:06:36            30.982                 30.98
29-01-2025 17:36:36            31.482                 31.48

29-01-2025 18:06:36            31.982                 31.98
29-01-2025 18:36:36            32.482                 32.48

29-01-2025 19:06:36            32.982                 32.98
29-01-2025 19:36:36            33.482                 33.48
29-01-2025 20:06:36            33.982                 33.98

29-01-2025 20:36:36            34.482                 34.48
29-01-2025 21:06:36            34.982                 34.98
29-01-2025 21:36:36            35.482                 35.48

29-01-2025 22:06:36            35.982                 35.98
29-01-2025 22:36:36            36.482                 36.48

29-01-2025 23:06:36            36.982                 36.98
29-01-2025 23:36:36            37.482                 37.48
30-01-2025 00:06:36            37.982                 37.98

30-01-2025 00:36:36            38.482                 38.48
30-01-2025 01:06:36            38.982                 38.98

30-01-2025 01:36:36            39.482                 39.48
30-01-2025 02:06:36            39.982                 39.98
30-01-2025 02:36:36            40.482                 40.48

30-01-2025 03:06:36            40.982                 40.98
30-01-2025 03:36:36            41.482                 41.48

30-01-2025 04:06:36            41.982                 41.98
30-01-2025 04:36:36            42.482                 42.48
30-01-2025 05:06:36            42.982                 42.98

30-01-2025 05:36:36            43.482                 43.48

30-01-2025 06:06:36            43.982                 43.98
30-01-2025 06:36:36            44.482                 44.48

30-01-2025 07:06:36            44.982                 44.98
30-01-2025 07:36:36            45.482                 45.48
30-01-2025 08:06:36            45.982                 45.98

30-01-2025 08:36:36            46.482                 46.48
30-01-2025 09:06:36            46.982                 46.98

30-01-2025 09:36:36            47.482                 47.48
30-01-2025 10:06:36            47.982                 47.98
30-01-2025 10:36:36            48.482                 48.48

30-01-2025 11:06:36            48.982                 48.98
30-01-2025 11:36:36            49.482                 49.48

30-01-2025 12:06:36            49.982                 49.98
30-01-2025 12:36:36            50.482                 50.48
30-01-2025 13:06:36            50.982                 50.98

30-01-2025 13:36:36            51.482                 51.48
30-01-2025 14:06:36            51.982                 51.98
30-01-2025 14:36:36            52.482                 52.48

30-01-2025 15:06:36            52.982                 52.98
30-01-2025 15:36:36            53.482                 53.48

30-01-2025 16:06:36            53.982                 53.98
30-01-2025 16:36:36            54.482                 54.48
30-01-2025 17:06:37            54.983                 54.98

30-01-2025 17:36:37            55.483                 55.48
30-01-2025 18:06:37            55.982                 55.98

30-01-2025 18:36:38            56.483                 56.48
30-01-2025 19:06:38            56.983                 56.98
30-01-2025 19:36:38            57.483                 57.48

30-01-2025 20:06:38            57.983                 57.98
30-01-2025 20:36:38            58.483                 58.48

30-01-2025 21:06:38            58.983                 58.98
30-01-2025 21:36:38            59.483                 59.48
30-01-2025 22:06:38            59.983                 59.98

30-01-2025 22:36:38            60.483                 60.48
30-01-2025 23:06:38            60.983                 60.98
30-01-2025 23:36:38            61.483                 61.48

31-01-2025 00:06:38            61.983                 61.98
31-01-2025 00:36:38            62.483                 62.48

31-01-2025 01:06:38            62.983                 62.98
31-01-2025 01:36:38            63.483                 63.48
31-01-2025 02:06:38            63.983                 63.98

31-01-2025 02:36:38            64.483                 64.48
31-01-2025 03:06:38            64.983                 64.98

31-01-2025 03:36:38            65.483                 65.48
31-01-2025 04:06:38            65.983                 65.98
31-01-2025 04:36:38            66.483                 66.48

31-01-2025 05:06:38            66.983                 66.98
31-01-2025 05:36:38            67.483                 67.48

31-01-2025 06:06:38            67.983                 67.98
31-01-2025 06:36:38            68.483                 68.48
31-01-2025 07:06:38            68.983                 68.98

31-01-2025 07:36:38            69.483                 69.48

31-01-2025 08:06:38            69.983                 69.98
31-01-2025 08:36:38            70.483                 70.48

31-01-2025 09:06:38            70.983                 70.98
31-01-2025 09:36:38            71.483                 71.48
31-01-2025 10:06:39            71.983                 71.98

31-01-2025 10:36:39            72.483                 72.48
31-01-2025 11:06:39            72.983                 72.98

31-01-2025 11:21:48            73.236                 73.23
