
                                              MFCS/win                    Report printed:                2025-02-07 15:48:48
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                  600

28-01-2025 10:10:25             0.046                  600
28-01-2025 10:10:40             0.050                  450
28-01-2025 10:10:55             0.054                  401

28-01-2025 10:36:34             0.482                  401
28-01-2025 11:06:34             0.982                  400
28-01-2025 11:36:34             1.482                  401

28-01-2025 12:06:35             1.982                  400
28-01-2025 12:36:35             2.482                  401

28-01-2025 13:06:35             2.982                  401
28-01-2025 13:26:28             3.313                  404
28-01-2025 13:26:43             3.318                  405

28-01-2025 13:27:43             3.334                  405
28-01-2025 13:27:58             3.338                  401

28-01-2025 13:30:13             3.376                  402
28-01-2025 13:30:28             3.380                  405
28-01-2025 13:31:13             3.393                  402

28-01-2025 13:31:28             3.397                  401
28-01-2025 13:31:43             3.401                  405

28-01-2025 13:36:35             3.482                  405
28-01-2025 13:38:29             3.514                  405
28-01-2025 13:38:44             3.518                  401

28-01-2025 13:40:44             3.551                  401
28-01-2025 13:40:59             3.555                  404
28-01-2025 13:48:29             3.680                  405

28-01-2025 13:48:44             3.684                  408
28-01-2025 13:49:29             3.697                  408

28-01-2025 13:49:44             3.701                  405
28-01-2025 13:51:44             3.734                  405
28-01-2025 13:51:59             3.739                  402

28-01-2025 13:55:29             3.797                  401
28-01-2025 13:55:44             3.801                  405

28-01-2025 13:57:14             3.826                  405
28-01-2025 13:57:29             3.830                  401
28-01-2025 14:06:35             3.982                  401

28-01-2025 14:36:35             4.482                  401


28-01-2025 15:06:35             4.982                  401
28-01-2025 15:09:17             5.027                  402

28-01-2025 15:09:32             5.031                  405
28-01-2025 15:12:17             5.077                  404
28-01-2025 15:12:32             5.081                  402

28-01-2025 15:15:02             5.123                  404
28-01-2025 15:15:17             5.127                  405

28-01-2025 15:20:32             5.214                  402
28-01-2025 15:20:47             5.219                  401
28-01-2025 15:21:02             5.223                  402

28-01-2025 15:21:17             5.227                  405
28-01-2025 15:23:02             5.256                  405

28-01-2025 15:23:17             5.260                  408
28-01-2025 15:25:47             5.302                  408
28-01-2025 15:26:02             5.306                  405

28-01-2025 15:28:47             5.352                  407
28-01-2025 15:29:02             5.356                  409
28-01-2025 15:34:32             5.448                  408

28-01-2025 15:34:47             5.452                  405
28-01-2025 15:35:02             5.456                  405

28-01-2025 15:35:17             5.460                  409
28-01-2025 15:36:17             5.477                  409
28-01-2025 15:36:32             5.481                  412

28-01-2025 15:36:35             5.482                  412
28-01-2025 15:38:47             5.519                  410

28-01-2025 15:39:02             5.523                  409
28-01-2025 15:42:48             5.586                  409
28-01-2025 15:43:03             5.590                  412

28-01-2025 15:44:18             5.611                  410
28-01-2025 15:44:33             5.615                  409

28-01-2025 15:45:33             5.631                  408
28-01-2025 15:45:48             5.636                  405
28-01-2025 15:46:48             5.652                  405

28-01-2025 15:47:03             5.656                  409
28-01-2025 15:51:03             5.723                  410
28-01-2025 15:51:18             5.727                  412

28-01-2025 15:55:48             5.802                  410
28-01-2025 15:56:03             5.806                  409

28-01-2025 15:56:48             5.819                  409
28-01-2025 15:57:03             5.823                  412
28-01-2025 15:59:48             5.869                  415

28-01-2025 16:00:03             5.873                  416
28-01-2025 16:01:33             5.898                  415

28-01-2025 16:01:48             5.902                  413
28-01-2025 16:06:33             5.981                  416
28-01-2025 16:06:35             5.982                  416

28-01-2025 16:13:03             6.090                  419
28-01-2025 16:13:18             6.094                  420

28-01-2025 16:14:18             6.111                  420
28-01-2025 16:14:33             6.115                  416
28-01-2025 16:15:33             6.131                  415

28-01-2025 16:15:48             6.136                  412

28-01-2025 16:16:33             6.148                  413
28-01-2025 16:16:48             6.152                  416

28-01-2025 16:17:03             6.156                  414
28-01-2025 16:17:18             6.161                  330
28-01-2025 16:17:33             6.165                   60

28-01-2025 16:17:48             6.169                  405
28-01-2025 16:18:03             6.173                  416

28-01-2025 16:18:18             6.177                  424
28-01-2025 16:18:33             6.181                  127
28-01-2025 16:18:48             6.186                   0

28-01-2025 16:19:03             6.190                   20
28-01-2025 16:19:18             6.194                  432

28-01-2025 16:19:33             6.198                  438
28-01-2025 16:19:48             6.202                  446
28-01-2025 16:20:03             6.206                  449

28-01-2025 16:20:33             6.215                  446
28-01-2025 16:20:48             6.219                  444
28-01-2025 16:21:03             6.223                  438

28-01-2025 16:21:18             6.227                  435
28-01-2025 16:21:33             6.231                  431

28-01-2025 16:21:48             6.236                  428
28-01-2025 16:22:03             6.240                  424
28-01-2025 16:22:18             6.244                  421

28-01-2025 16:22:33             6.248                  419
28-01-2025 16:22:48             6.252                  416

28-01-2025 16:25:03             6.290                  418
28-01-2025 16:25:18             6.294                  420
28-01-2025 16:25:48             6.302                  423

28-01-2025 16:26:03             6.306                  424
28-01-2025 16:29:03             6.356                  421

28-01-2025 16:29:18             6.361                  420
28-01-2025 16:32:18             6.411                  423
28-01-2025 16:32:33             6.415                  423

28-01-2025 16:33:03             6.423                  422
28-01-2025 16:33:18             6.427                  420
28-01-2025 16:36:35             6.482                  420

28-01-2025 16:36:48             6.486                  421
28-01-2025 16:37:03             6.490                  423

28-01-2025 16:44:48             6.619                  426
28-01-2025 16:45:03             6.623                  427
28-01-2025 16:55:33             6.798                  429

28-01-2025 16:55:48             6.802                  430
28-01-2025 17:06:35             6.982                  431

28-01-2025 17:08:18             7.011                  432
28-01-2025 17:08:33             7.015                  434
28-01-2025 17:09:33             7.031                  432

28-01-2025 17:09:48             7.036                  431
28-01-2025 17:11:48             7.069                  433

28-01-2025 17:12:03             7.073                  434
28-01-2025 17:16:33             7.148                  434
28-01-2025 17:16:48             7.152                  431

28-01-2025 17:17:03             7.156                  431

28-01-2025 17:17:18             7.161                  435
28-01-2025 17:22:33             7.248                  436

28-01-2025 17:22:48             7.252                  438
28-01-2025 17:26:03             7.306                  438
28-01-2025 17:26:18             7.311                  435

28-01-2025 17:28:33             7.348                  436
28-01-2025 17:28:48             7.352                  438

28-01-2025 17:30:03             7.373                  441
28-01-2025 17:30:18             7.377                  441
28-01-2025 17:32:48             7.419                  439

28-01-2025 17:33:03             7.423                  438
28-01-2025 17:35:48             7.469                  441

28-01-2025 17:36:03             7.473                  442
28-01-2025 17:36:35             7.482                  442
28-01-2025 17:38:33             7.515                  440

28-01-2025 17:38:48             7.519                  439
28-01-2025 17:40:03             7.540                  441
28-01-2025 17:40:18             7.544                  442

28-01-2025 17:47:18             7.661                  443
28-01-2025 17:47:33             7.665                  446

28-01-2025 17:51:19             7.728                  446
28-01-2025 17:51:34             7.732                  442
28-01-2025 17:51:49             7.736                  442

28-01-2025 17:52:04             7.740                  446
28-01-2025 17:58:49             7.852                  446

28-01-2025 17:59:04             7.857                  450
28-01-2025 18:00:19             7.878                  447
28-01-2025 18:00:34             7.882                  447

28-01-2025 18:01:19             7.894                  447
28-01-2025 18:01:34             7.898                  450

28-01-2025 18:03:19             7.928                  448
28-01-2025 18:03:34             7.932                  446
28-01-2025 18:03:49             7.936                  446

28-01-2025 18:04:04             7.940                  449
28-01-2025 18:06:35             7.982                  450
28-01-2025 18:11:34             8.065                  451

28-01-2025 18:11:49             8.069                  454
28-01-2025 18:15:34             8.132                  452

28-01-2025 18:15:49             8.136                  451
28-01-2025 18:16:04             8.140                  450
28-01-2025 18:16:19             8.144                  454

28-01-2025 18:18:04             8.173                  454
28-01-2025 18:18:19             8.177                  457

28-01-2025 18:18:34             8.182                  458
28-01-2025 18:18:49             8.186                  454
28-01-2025 18:22:34             8.248                  455

28-01-2025 18:22:49             8.253                  457
28-01-2025 18:23:04             8.257                  456

28-01-2025 18:23:19             8.261                  454
28-01-2025 18:24:34             8.282                  454
28-01-2025 18:24:49             8.286                  458

28-01-2025 18:33:50             8.436                  459

28-01-2025 18:34:05             8.440                  461
28-01-2025 18:36:35             8.482                  461

28-01-2025 18:48:21             8.678                  464
28-01-2025 18:48:36             8.682                  465
28-01-2025 18:54:22             8.778                  468

28-01-2025 18:54:37             8.782                  469
28-01-2025 18:57:37             8.833                  468

28-01-2025 18:57:52             8.837                  465
28-01-2025 18:59:22             8.862                  466
28-01-2025 18:59:37             8.866                  469

28-01-2025 19:06:22             8.978                  471
28-01-2025 19:06:35             8.982                  472

28-01-2025 19:08:52             9.020                  471
28-01-2025 19:09:07             9.024                  469
28-01-2025 19:10:22             9.045                  470

28-01-2025 19:10:37             9.049                  472
28-01-2025 19:15:52             9.137                  473
28-01-2025 19:16:07             9.141                  476

28-01-2025 19:17:37             9.166                  474
28-01-2025 19:17:52             9.170                  473

28-01-2025 19:19:52             9.203                  474
28-01-2025 19:20:07             9.208                  476
28-01-2025 19:22:07             9.241                  474

28-01-2025 19:22:22             9.245                  472
28-01-2025 19:24:37             9.283                  473

28-01-2025 19:24:52             9.287                  476
28-01-2025 19:30:52             9.387                  476
28-01-2025 19:31:07             9.391                  479

28-01-2025 19:31:52             9.403                  480
28-01-2025 19:32:07             9.408                  476

28-01-2025 19:34:22             9.445                  478
28-01-2025 19:34:37             9.449                  479
28-01-2025 19:35:07             9.458                  477

28-01-2025 19:35:22             9.462                  476
28-01-2025 19:36:35             9.482                  476
28-01-2025 19:38:07             9.508                  477

28-01-2025 19:38:22             9.512                  480
28-01-2025 19:45:22             9.628                  482

28-01-2025 19:45:37             9.633                  483
28-01-2025 19:57:52             9.837                  485
28-01-2025 19:58:07             9.841                  487

28-01-2025 20:02:07             9.907                  485
28-01-2025 20:02:22             9.912                  484

28-01-2025 20:02:37             9.916                  485
28-01-2025 20:02:52             9.920                  488
28-01-2025 20:06:35             9.982                  488

28-01-2025 20:07:38             9.999                  488
28-01-2025 20:07:53            10.004                  491

28-01-2025 20:09:53            10.037                  489
28-01-2025 20:10:08            10.041                  488
28-01-2025 20:11:23            10.062                  488

28-01-2025 20:11:38            10.066                  491

28-01-2025 20:22:08            10.241                  494
28-01-2025 20:22:23            10.245                  495

28-01-2025 20:24:53            10.287                  493
28-01-2025 20:25:08            10.291                  492
28-01-2025 20:28:09            10.341                  493

28-01-2025 20:28:24            10.346                  495
28-01-2025 20:29:09            10.358                  495

28-01-2025 20:29:24            10.362                  499
28-01-2025 20:30:24            10.379                  496
28-01-2025 20:30:39            10.383                  495

28-01-2025 20:31:24            10.396                  495
28-01-2025 20:31:39            10.400                  499

28-01-2025 20:32:54            10.421                  499
28-01-2025 20:33:09            10.425                  495
28-01-2025 20:34:54            10.454                  495

28-01-2025 20:35:09            10.458                  499
28-01-2025 20:36:35            10.482                  499
28-01-2025 20:37:54            10.504                  496

28-01-2025 20:38:09            10.508                  496
28-01-2025 20:39:09            10.525                  497

28-01-2025 20:39:24            10.529                  499
28-01-2025 20:48:39            10.683                  500
28-01-2025 20:48:54            10.687                  502

28-01-2025 20:50:39            10.716                  502
28-01-2025 20:50:54            10.721                  499

28-01-2025 20:52:24            10.746                  501
28-01-2025 20:52:39            10.750                  502
28-01-2025 20:59:55            10.871                  504

28-01-2025 21:00:11            10.875                  506
28-01-2025 21:01:11            10.892                  505

28-01-2025 21:01:26            10.896                  502
28-01-2025 21:03:11            10.925                  504
28-01-2025 21:03:26            10.929                  506

28-01-2025 21:06:35            10.982                  506
28-01-2025 21:09:12            11.026                  504
28-01-2025 21:09:27            11.030                  503

28-01-2025 21:09:57            11.038                  503
28-01-2025 21:10:12            11.042                  506

28-01-2025 21:21:27            11.230                  508
28-01-2025 21:21:42            11.234                  510
28-01-2025 21:34:43            11.451                  510

28-01-2025 21:34:58            11.455                  513
28-01-2025 21:35:58            11.472                  513

28-01-2025 21:36:13            11.476                  510
28-01-2025 21:36:35            11.482                  510
28-01-2025 21:37:43            11.501                  511

28-01-2025 21:37:58            11.505                  514
28-01-2025 21:50:58            11.722                  516

28-01-2025 21:51:13            11.726                  518
28-01-2025 21:52:43            11.751                  515
28-01-2025 21:52:58            11.755                  514

28-01-2025 21:54:29            11.780                  514

28-01-2025 21:54:44            11.784                  518
28-01-2025 22:06:35            11.982                  520

28-01-2025 22:21:29            12.230                  521
28-01-2025 22:21:44            12.234                  523
28-01-2025 22:34:15            12.443                  525

28-01-2025 22:34:30            12.447                  526
28-01-2025 22:36:35            12.482                  525

28-01-2025 22:40:31            12.547                  525
