
                                              MFCS/win                    Report printed:                2025-02-07 15:48:50
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                 1.000

28-01-2025 10:10:25             0.046                 1.000
28-01-2025 10:10:40             0.050                  .375
28-01-2025 10:36:34             0.482                  .375

28-01-2025 11:06:34             0.982                  .375
28-01-2025 11:36:34             1.482                  .375
28-01-2025 12:06:35             1.982                  .375

28-01-2025 12:36:35             2.482                  .375
28-01-2025 13:06:35             2.982                  .375

28-01-2025 13:36:35             3.482                  .382
28-01-2025 14:06:35             3.982                  .375
28-01-2025 14:36:35             4.482                  .375

28-01-2025 15:06:35             4.982                  .379
28-01-2025 15:36:35             5.482                  .389

28-01-2025 16:06:35             5.982                  .396
28-01-2025 16:19:18             6.194                  .419
28-01-2025 16:19:33             6.198                  .428

28-01-2025 16:22:33             6.248                  .399
28-01-2025 16:22:48             6.252                  .397

28-01-2025 16:36:35             6.482                  .403
28-01-2025 17:06:35             6.982                  .416
28-01-2025 17:36:35             7.482                  .428

28-01-2025 18:06:35             7.982                  .440
28-01-2025 18:36:35             8.482                  .452
28-01-2025 19:06:35             8.982                  .465

28-01-2025 19:36:35             9.482                  .472
28-01-2025 20:06:35             9.982                  .486

28-01-2025 20:36:35            10.482                  .498
28-01-2025 21:06:35            10.982                  .518
28-01-2025 21:36:35            11.482                  .539

28-01-2025 22:06:35            11.982                  .567
28-01-2025 22:36:35            12.482                  .590

28-01-2025 23:06:35            12.982                  .613
28-01-2025 23:36:35            13.482                  .627
29-01-2025 00:06:35            13.982                  .648

29-01-2025 00:36:35            14.482                  .664


29-01-2025 01:06:35            14.982                  .679
29-01-2025 01:36:35            15.482                  .689

29-01-2025 02:06:35            15.982                  .702
29-01-2025 02:36:35            16.482                  .710
29-01-2025 03:06:35            16.982                  .733

29-01-2025 03:33:32            17.431                  .704
29-01-2025 03:33:47            17.435                  .701

29-01-2025 03:36:36            17.482                  .687
29-01-2025 04:06:36            17.982                  .680
29-01-2025 04:36:36            18.482                  .683

29-01-2025 05:06:36            18.982                  .688
29-01-2025 05:36:36            19.482                  .694

29-01-2025 06:06:36            19.982                  .698
29-01-2025 06:36:36            20.482                  .708
29-01-2025 07:06:36            20.982                  .699

29-01-2025 07:36:36            21.482                  .696
29-01-2025 08:06:36            21.982                  .712
29-01-2025 08:36:36            22.482                  .707

29-01-2025 09:06:36            22.982                  .692
29-01-2025 09:36:36            23.482                  .686

29-01-2025 10:06:36            23.982                  .689
29-01-2025 10:36:36            24.482                  .681
29-01-2025 11:06:36            24.982                  .683

29-01-2025 11:36:36            25.482                  .681
29-01-2025 12:06:36            25.982                  .667

29-01-2025 12:36:36            26.482                  .669
29-01-2025 13:06:36            26.982                  .663
29-01-2025 13:36:36            27.482                  .661

29-01-2025 14:06:36            27.982                  .661
29-01-2025 14:36:36            28.482                  .661

29-01-2025 15:06:36            28.982                  .650
29-01-2025 15:36:36            29.482                  .649
29-01-2025 16:06:36            29.982                  .650

29-01-2025 16:36:36            30.482                  .647
29-01-2025 17:06:36            30.982                  .643
29-01-2025 17:36:36            31.482                  .639

29-01-2025 18:06:36            31.982                  .632
29-01-2025 18:36:36            32.482                  .631

29-01-2025 19:06:36            32.982                  .627
29-01-2025 19:36:36            33.482                  .627
29-01-2025 20:06:36            33.982                  .623

29-01-2025 20:36:36            34.482                  .619
29-01-2025 21:06:36            34.982                  .613

29-01-2025 21:36:36            35.482                  .621
29-01-2025 22:06:36            35.982                  .609
29-01-2025 22:36:36            36.482                  .608

29-01-2025 23:06:36            36.982                  .609
29-01-2025 23:36:36            37.482                  .607

30-01-2025 00:06:36            37.982                  .601
30-01-2025 00:36:36            38.482                  .605
30-01-2025 01:06:36            38.982                  .600

