
                                              MFCS/win                    Report printed:                2025-02-07 15:48:50
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                  5.58

28-01-2025 10:36:34             0.482                  5.58
28-01-2025 11:06:34             0.982                  5.57
28-01-2025 11:36:34             1.482                  5.59

28-01-2025 12:06:35             1.982                  5.57
28-01-2025 12:14:56             2.121                  5.55
28-01-2025 12:15:11             2.125                  5.70

28-01-2025 12:36:35             2.482                  5.70
28-01-2025 13:06:35             2.982                  5.63

28-01-2025 13:36:35             3.482                  5.56
28-01-2025 14:06:35             3.982                  5.57
28-01-2025 14:36:35             4.482                  5.57

28-01-2025 15:06:35             4.982                  5.57
28-01-2025 15:36:35             5.482                  5.60

28-01-2025 16:06:35             5.982                  5.54
28-01-2025 16:17:33             6.165                  5.61
28-01-2025 16:17:48             6.169                  5.64

28-01-2025 16:24:48             6.286                  5.55
28-01-2025 16:25:03             6.290                  5.54

28-01-2025 16:36:35             6.482                  5.57
28-01-2025 17:06:35             6.982                  5.56
28-01-2025 17:36:35             7.482                  5.60

28-01-2025 18:06:35             7.982                  5.60
28-01-2025 18:36:35             8.482                  5.55
28-01-2025 19:06:35             8.982                  5.52

28-01-2025 19:11:22             9.062                  5.52
28-01-2025 19:11:37             9.066                  5.66

28-01-2025 19:15:37             9.133                  5.56
28-01-2025 19:15:52             9.137                  5.55
28-01-2025 19:36:35             9.482                  5.53

28-01-2025 19:58:52             9.853                  5.52
28-01-2025 19:59:07             9.857                  5.66

28-01-2025 20:02:37             9.916                  5.57
28-01-2025 20:02:52             9.920                  5.56
28-01-2025 20:06:35             9.982                  5.53

28-01-2025 20:14:53            10.120                  5.51


28-01-2025 20:15:08            10.124                  5.64
28-01-2025 20:18:23            10.179                  5.54

28-01-2025 20:18:38            10.183                  5.53
28-01-2025 20:25:38            10.299                  5.54
28-01-2025 20:25:53            10.304                  5.63

28-01-2025 20:28:54            10.354                  5.54
28-01-2025 20:29:09            10.358                  5.53

28-01-2025 20:36:35            10.482                  5.54
28-01-2025 20:36:39            10.483                  5.54
28-01-2025 20:36:54            10.487                  5.65

28-01-2025 20:39:54            10.537                  5.55
28-01-2025 20:40:09            10.541                  5.54

28-01-2025 20:58:55            10.854                  5.52
28-01-2025 20:59:10            10.858                  5.65
28-01-2025 21:02:11            10.909                  5.56

28-01-2025 21:02:26            10.913                  5.55
28-01-2025 21:06:35            10.982                  5.57
28-01-2025 21:36:35            11.482                  5.52

28-01-2025 21:38:43            11.518                  5.52
28-01-2025 21:38:58            11.522                  5.65

28-01-2025 21:41:43            11.568                  5.55
28-01-2025 21:41:58            11.572                  5.54
28-01-2025 21:51:28            11.730                  5.52

28-01-2025 21:51:43            11.734                  5.66
28-01-2025 21:54:29            11.780                  5.56

28-01-2025 21:54:44            11.784                  5.55
28-01-2025 22:06:35            11.982                  5.55
28-01-2025 22:17:44            12.168                  5.51

28-01-2025 22:17:59            12.172                  5.65
28-01-2025 22:20:44            12.218                  5.55

28-01-2025 22:20:59            12.222                  5.54
28-01-2025 22:36:35            12.482                  5.57
28-01-2025 23:06:35            12.982                  5.57

28-01-2025 23:36:35            13.482                  5.55
28-01-2025 23:58:18            13.844                  5.52
28-01-2025 23:58:33            13.848                  5.67

29-01-2025 00:01:03            13.890                  5.57
29-01-2025 00:01:18            13.894                  5.56

29-01-2025 00:06:35            13.982                  5.63
29-01-2025 00:09:04            14.023                  5.54
29-01-2025 00:09:19            14.028                  5.53

29-01-2025 00:11:34            14.065                  5.52
29-01-2025 00:11:49            14.069                  5.64

29-01-2025 00:14:19            14.111                  5.55
29-01-2025 00:14:34            14.115                  5.54
29-01-2025 00:29:05            14.357                  5.51

29-01-2025 00:29:20            14.361                  5.64
29-01-2025 00:31:50            14.403                  5.55

29-01-2025 00:32:05            14.407                  5.53
29-01-2025 00:36:35            14.482                  5.56
29-01-2025 01:06:35            14.982                  5.58

29-01-2025 01:36:35            15.482                  5.57

29-01-2025 02:06:35            15.982                  5.55
29-01-2025 02:11:28            16.063                  5.51

29-01-2025 02:11:43            16.068                  5.65
29-01-2025 02:13:58            16.105                  5.56
29-01-2025 02:14:13            16.109                  5.55

29-01-2025 02:19:58            16.205                  5.52
29-01-2025 02:20:13            16.209                  5.67

29-01-2025 02:22:28            16.247                  5.58
29-01-2025 02:22:43            16.251                  5.56
29-01-2025 02:36:35            16.482                  5.57

29-01-2025 03:06:35            16.982                  5.54
29-01-2025 03:21:17            17.227                  5.53

29-01-2025 03:21:32            17.231                  5.66
29-01-2025 03:25:02            17.289                  5.56
29-01-2025 03:25:17            17.294                  5.56

29-01-2025 03:36:36            17.482                  5.53
29-01-2025 03:47:32            17.664                  5.61
29-01-2025 03:47:47            17.669                  5.64

29-01-2025 03:52:02            17.739                  5.54
29-01-2025 03:52:17            17.744                  5.53

29-01-2025 03:52:32            17.748                  5.53
29-01-2025 03:52:47            17.752                  5.65
29-01-2025 03:56:47            17.819                  5.55

29-01-2025 03:57:02            17.823                  5.54
29-01-2025 04:06:36            17.982                  5.53

29-01-2025 04:36:36            18.482                  5.52
29-01-2025 05:06:36            18.982                  5.55
29-01-2025 05:36:36            19.482                  5.55

29-01-2025 06:06:36            19.982                  5.55
29-01-2025 06:36:36            20.482                  5.51

29-01-2025 07:06:36            20.982                  5.53
29-01-2025 07:36:36            21.482                  5.53
29-01-2025 08:06:36            21.982                  5.55

29-01-2025 08:36:36            22.482                  5.54
29-01-2025 09:06:36            22.982                  5.54
29-01-2025 09:36:36            23.482                  5.53

29-01-2025 10:06:36            23.982                  5.55
29-01-2025 10:36:36            24.482                  5.54

29-01-2025 11:06:36            24.982                  5.54
29-01-2025 11:36:36            25.482                  5.53
29-01-2025 12:06:36            25.982                  5.54

29-01-2025 12:36:36            26.482                  5.55
29-01-2025 13:06:36            26.982                  5.55

29-01-2025 13:36:36            27.482                  5.54
