
                                              MFCS/win                    Report printed:                2025-02-07 15:48:52
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 BASESUB
                                                        %
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                   0

28-01-2025 10:36:34             0.482                   0
28-01-2025 11:06:34             0.982                   0
28-01-2025 11:36:34             1.482                   0

28-01-2025 12:06:35             1.982                   0
28-01-2025 12:36:35             2.482                   0
28-01-2025 13:06:35             2.982                   0

28-01-2025 13:36:35             3.482                   0
28-01-2025 14:06:35             3.982                   0

28-01-2025 14:36:35             4.482                   0
28-01-2025 15:06:35             4.982                   0
28-01-2025 15:36:35             5.482                   0

28-01-2025 16:06:35             5.982                   .3
28-01-2025 16:36:35             6.482                   0

28-01-2025 17:06:35             6.982                   0
28-01-2025 17:36:35             7.482                   0
28-01-2025 18:06:35             7.982                   0

28-01-2025 18:36:35             8.482                   0
28-01-2025 19:06:35             8.982                   .8

28-01-2025 19:36:35             9.482                   .5
28-01-2025 20:06:35             9.982                   .6
28-01-2025 20:14:38            10.116                  1.3

28-01-2025 20:14:53            10.120                  1.6
28-01-2025 20:15:08            10.124                   0
28-01-2025 20:36:35            10.482                  1.0

28-01-2025 21:06:35            10.982                   0
28-01-2025 21:10:27            11.046                   .8

28-01-2025 21:10:42            11.051                  1.1
28-01-2025 21:10:57            11.055                   0
28-01-2025 21:13:12            11.092                   .8

28-01-2025 21:13:27            11.096                  1.0
28-01-2025 21:13:57            11.105                  1.7

28-01-2025 21:14:12            11.109                   0
28-01-2025 21:36:35            11.482                   .9
28-01-2025 22:06:35            11.982                   0

28-01-2025 22:36:35            12.482                   0


28-01-2025 23:03:01            12.922                   .7
28-01-2025 23:03:16            12.927                  1.0

28-01-2025 23:03:31            12.931                   0
28-01-2025 23:06:35            12.982                   0
28-01-2025 23:36:35            13.482                   0

29-01-2025 00:06:35            13.982                   0
29-01-2025 00:36:35            14.482                   0

29-01-2025 01:06:35            14.982                   0
29-01-2025 01:36:35            15.482                   0
29-01-2025 02:06:35            15.982                   0

29-01-2025 02:36:35            16.482                   0
29-01-2025 03:06:35            16.982                   .1

29-01-2025 03:36:36            17.482                   .5
29-01-2025 04:06:36            17.982                   .3
29-01-2025 04:36:36            18.482                   .6

29-01-2025 05:06:36            18.982                   0
29-01-2025 05:36:36            19.482                   0
29-01-2025 06:02:21            19.911                   .8

