
                                              MFCS/win                    Report printed:                2025-02-07 15:48:53
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_1_control#3            Batch created:            2025-01-28 10:07:40

 Experiment Start:          2025-01-28 10:07:40                 Experiment Stop:          2025-01-31 11:21:49

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:40             0.000                 14.98

28-01-2025 10:07:55             0.004                 14.83
28-01-2025 10:08:10             0.008                 14.77
28-01-2025 10:11:55             0.071                 14.74

28-01-2025 10:12:10             0.075                 15.05
28-01-2025 10:36:34             0.482                 15.16
28-01-2025 10:46:26             0.646                 15.13

28-01-2025 10:46:41             0.650                 14.75
28-01-2025 11:06:34             0.982                 14.84

28-01-2025 11:36:34             1.482                 14.84
28-01-2025 12:06:35             1.982                 14.83
28-01-2025 12:36:35             2.482                 14.85

28-01-2025 13:06:35             2.982                 14.83
28-01-2025 13:34:43             3.451                 14.80

28-01-2025 13:34:58             3.455                 14.62
28-01-2025 13:36:35             3.482                 14.62
28-01-2025 14:06:35             3.982                 14.67

28-01-2025 14:36:35             4.482                 14.65
28-01-2025 15:06:35             4.982                 14.79

28-01-2025 15:36:35             5.482                 14.78
28-01-2025 15:43:03             5.590                 14.76
28-01-2025 15:43:18             5.594                 14.57

28-01-2025 16:06:35             5.982                 14.62
28-01-2025 16:17:03             6.156                 14.68
28-01-2025 16:17:18             6.161                 12.73

28-01-2025 16:17:33             6.165                 14.92
28-01-2025 16:17:48             6.169                 14.66

28-01-2025 16:18:03             6.173                 14.82
28-01-2025 16:18:18             6.177                 12.08
28-01-2025 16:18:33             6.181                 12.69

28-01-2025 16:18:48             6.186                 17.14
28-01-2025 16:19:03             6.190                 16.30

28-01-2025 16:19:18             6.194                 15.97
28-01-2025 16:19:33             6.198                 14.50
28-01-2025 16:36:35             6.482                 14.51

28-01-2025 17:06:35             6.982                 14.53


28-01-2025 17:36:35             7.482                 14.53
28-01-2025 18:06:35             7.982                 14.54

28-01-2025 18:36:35             8.482                 14.58
28-01-2025 19:06:35             8.982                 14.59
28-01-2025 19:36:35             9.482                 14.60

28-01-2025 20:06:35             9.982                 14.61
28-01-2025 20:36:35            10.482                 14.62

28-01-2025 21:06:35            10.982                 14.62
28-01-2025 21:36:35            11.482                 14.59
28-01-2025 22:06:35            11.982                 14.62

28-01-2025 22:36:35            12.482                 14.63
28-01-2025 23:06:35            12.982                 14.60

28-01-2025 23:36:35            13.482                 14.62
29-01-2025 00:06:35            13.982                 14.60
29-01-2025 00:36:35            14.482                 14.60

29-01-2025 01:06:35            14.982                 14.60
29-01-2025 01:36:35            15.482                 14.60
29-01-2025 02:06:35            15.982                 14.59

29-01-2025 02:36:35            16.482                 14.59
29-01-2025 03:06:35            16.982                 14.59

29-01-2025 03:36:36            17.482                 14.59
29-01-2025 04:06:36            17.982                 14.59
29-01-2025 04:36:36            18.482                 14.59

29-01-2025 05:06:36            18.982                 14.59
29-01-2025 05:36:36            19.482                 14.59

29-01-2025 06:06:36            19.982                 14.58
29-01-2025 06:36:36            20.482                 14.56
29-01-2025 07:06:36            20.982                 14.57

29-01-2025 07:36:36            21.482                 14.57
29-01-2025 08:06:36            21.982                 14.57

29-01-2025 08:36:36            22.482                 14.53
29-01-2025 09:06:36            22.982                 14.51
29-01-2025 09:36:36            23.482                 14.50

29-01-2025 10:06:36            23.982                 14.51
29-01-2025 10:36:36            24.482                 14.50
29-01-2025 11:06:36            24.982                 14.50

29-01-2025 11:36:36            25.482                 14.49
29-01-2025 12:06:36            25.982                 14.49

29-01-2025 12:36:36            26.482                 14.48
29-01-2025 13:06:36            26.982                 14.49
29-01-2025 13:36:36            27.482                 14.48

29-01-2025 14:06:36            27.982                 14.50
29-01-2025 14:36:36            28.482                 14.49

29-01-2025 15:06:36            28.982                 14.48
29-01-2025 15:36:36            29.482                 14.50
29-01-2025 16:06:36            29.982                 14.49

29-01-2025 16:36:36            30.482                 14.59
29-01-2025 17:06:36            30.982                 14.60

29-01-2025 17:36:36            31.482                 14.59
29-01-2025 18:06:36            31.982                 14.60
29-01-2025 18:36:36            32.482                 14.65

29-01-2025 19:06:36            32.982                 14.62

29-01-2025 19:36:36            33.482                 14.62
29-01-2025 20:06:36            33.982                 14.67

29-01-2025 20:36:36            34.482                 14.64
29-01-2025 21:06:36            34.982                 14.63
29-01-2025 21:36:36            35.482                 14.64

29-01-2025 22:06:36            35.982                 14.65
29-01-2025 22:36:36            36.482                 14.65

29-01-2025 23:06:36            36.982                 14.65
29-01-2025 23:36:36            37.482                 14.66
30-01-2025 00:06:36            37.982                 14.65

30-01-2025 00:36:36            38.482                 14.66
30-01-2025 01:06:36            38.982                 14.68

30-01-2025 01:36:36            39.482                 14.67
30-01-2025 02:06:36            39.982                 14.66
30-01-2025 02:36:36            40.482                 14.67

30-01-2025 03:06:36            40.982                 14.67
30-01-2025 03:36:36            41.482                 14.67
30-01-2025 04:06:36            41.982                 14.68

30-01-2025 04:36:36            42.482                 14.69
30-01-2025 05:06:36            42.982                 14.68

30-01-2025 05:36:36            43.482                 14.69
30-01-2025 06:06:36            43.982                 14.69
30-01-2025 06:36:36            44.482                 14.68

30-01-2025 07:06:36            44.982                 14.68
30-01-2025 07:36:36            45.482                 14.70

30-01-2025 08:06:36            45.982                 14.72
30-01-2025 08:36:36            46.482                 14.68
30-01-2025 09:06:36            46.982                 14.66

30-01-2025 09:36:36            47.482                 14.65
30-01-2025 10:06:17            47.977                 14.65

30-01-2025 10:06:32            47.981                 14.99
30-01-2025 10:06:36            47.982                 14.97
30-01-2025 10:36:36            48.482                 14.88

30-01-2025 11:06:36            48.982                 14.89
30-01-2025 11:36:36            49.482                 14.88
30-01-2025 12:06:36            49.982                 14.87

30-01-2025 12:36:36            50.482                 14.86
30-01-2025 13:06:36            50.982                 14.86

30-01-2025 13:36:36            51.482                 14.86
30-01-2025 14:06:36            51.982                 14.86
30-01-2025 14:36:36            52.482                 14.86

30-01-2025 15:06:36            52.982                 14.86
30-01-2025 15:36:36            53.482                 14.85

30-01-2025 16:06:36            53.982                 14.89
30-01-2025 16:36:36            54.482                 14.90
30-01-2025 17:06:37            54.983                 14.95

30-01-2025 17:36:37            55.483                 14.96
30-01-2025 18:06:37            55.982                 14.96

30-01-2025 18:36:38            56.483                 14.95
30-01-2025 19:06:38            56.983                 14.96
30-01-2025 19:36:38            57.483                 14.95

30-01-2025 20:06:38            57.983                 14.95

30-01-2025 20:36:38            58.483                 14.96
30-01-2025 21:06:38            58.983                 14.96

30-01-2025 21:36:38            59.483                 14.96
30-01-2025 22:06:38            59.983                 14.96
30-01-2025 22:36:38            60.483                 14.98

30-01-2025 23:06:38            60.983                 14.96
30-01-2025 23:36:38            61.483                 14.98

31-01-2025 00:06:38            61.983                 14.97
31-01-2025 00:36:38            62.483                 14.97
31-01-2025 01:06:38            62.983                 14.96

31-01-2025 01:36:38            63.483                 14.96
31-01-2025 02:06:38            63.983                 14.96

31-01-2025 02:36:38            64.483                 14.96
31-01-2025 03:06:38            64.983                 14.96
31-01-2025 03:36:38            65.483                 14.96

31-01-2025 04:06:38            65.983                 14.96
31-01-2025 04:36:38            66.483                 14.97
31-01-2025 05:06:38            66.983                 14.95

31-01-2025 05:36:38            67.483                 14.95
31-01-2025 06:06:38            67.983                 14.97

31-01-2025 06:36:38            68.483                 14.96
31-01-2025 07:06:38            68.983                 14.96
31-01-2025 07:36:38            69.483                 14.96

31-01-2025 08:06:38            69.983                 14.96
31-01-2025 08:36:38            70.483                 14.95

31-01-2025 09:06:38            70.983                 14.96
31-01-2025 09:36:38            71.483                 14.96
31-01-2025 10:06:39            71.983                 14.89

31-01-2025 10:36:39            72.483                 14.88
31-01-2025 11:06:39            72.983                 14.87

31-01-2025 11:21:48            73.236                 14.87
