
                                              MFCS/win                    Report printed:                2025-02-06 12:55:54
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_low_02_1               Batch created:            2025-01-28 10:07:24

 Experiment Start:          2025-01-28 10:07:24                 Experiment Stop:          2025-01-31 11:21:55

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:25             0.000                   0

28-01-2025 10:36:46             0.489                  .49
28-01-2025 11:06:46             0.989                  .99
28-01-2025 11:36:46             1.489                  1.49

28-01-2025 12:06:46             1.989                  1.99
28-01-2025 12:36:46             2.489                  2.49
28-01-2025 13:06:46             2.989                  2.99

28-01-2025 13:36:46             3.489                  3.49
28-01-2025 14:06:46             3.989                  3.99

28-01-2025 14:36:46             4.489                  4.49
28-01-2025 15:06:46             4.989                  4.99
28-01-2025 15:36:46             5.489                  5.49

28-01-2025 16:06:46             5.989                  5.99
28-01-2025 16:36:46             6.489                  6.49

28-01-2025 17:06:46             6.989                  6.99
28-01-2025 17:36:46             7.489                  7.49
28-01-2025 18:06:46             7.989                  7.99

28-01-2025 18:36:46             8.489                  8.49
28-01-2025 19:06:46             8.989                  8.99

28-01-2025 19:36:46             9.489                  9.49
28-01-2025 20:06:46             9.989                  9.99
28-01-2025 20:36:46            10.489                 10.49

28-01-2025 21:06:46            10.989                 10.99
28-01-2025 21:36:46            11.489                 11.49
28-01-2025 22:06:46            11.989                 11.99

28-01-2025 22:36:46            12.489                 12.49
28-01-2025 23:06:46            12.989                 12.99

28-01-2025 23:36:46            13.489                 13.49
29-01-2025 00:06:46            13.989                 13.99
29-01-2025 00:36:46            14.489                 14.49

29-01-2025 01:06:46            14.989                 14.99
29-01-2025 01:36:46            15.489                 15.49

29-01-2025 02:06:46            15.989                 15.99
29-01-2025 02:36:46            16.489                 16.49
29-01-2025 03:06:46            16.989                 16.99

29-01-2025 03:36:46            17.489                 17.49


29-01-2025 04:06:46            17.989                 17.99
29-01-2025 04:36:46            18.489                 18.49

29-01-2025 05:06:46            18.989                 18.99
29-01-2025 05:36:46            19.489                 19.49
29-01-2025 06:06:46            19.989                 19.99

29-01-2025 06:36:46            20.489                 20.49
29-01-2025 07:06:46            20.989                 20.99

29-01-2025 07:36:46            21.489                 21.49
29-01-2025 08:06:46            21.989                 21.99
29-01-2025 08:36:46            22.489                 22.49

29-01-2025 09:06:46            22.989                 22.99
29-01-2025 09:36:46            23.489                 23.49

29-01-2025 10:06:46            23.989                 23.99
29-01-2025 10:36:46            24.489                 24.49
29-01-2025 11:06:46            24.989                 24.99

29-01-2025 11:36:46            25.489                 25.49
29-01-2025 12:06:46            25.989                 25.99
29-01-2025 12:36:46            26.489                 26.49

29-01-2025 13:06:46            26.989                 26.99
29-01-2025 13:36:46            27.489                 27.49

29-01-2025 14:06:46            27.989                 27.99
29-01-2025 14:36:46            28.489                 28.49
29-01-2025 15:06:46            28.989                 28.99

29-01-2025 15:36:46            29.489                 29.49
29-01-2025 16:06:46            29.989                 29.99

29-01-2025 16:36:46            30.489                 30.49
29-01-2025 17:06:46            30.989                 30.99
29-01-2025 17:36:46            31.489                 31.49

29-01-2025 18:06:46            31.989                 31.99
29-01-2025 18:36:46            32.489                 32.49

29-01-2025 19:06:46            32.989                 32.99
29-01-2025 19:36:46            33.489                 33.49
29-01-2025 20:06:46            33.989                 33.99

29-01-2025 20:36:46            34.489                 34.49
29-01-2025 21:06:46            34.989                 34.99
29-01-2025 21:36:46            35.489                 35.49

29-01-2025 22:06:46            35.989                 35.99
29-01-2025 22:36:46            36.489                 36.49

29-01-2025 23:06:46            36.989                 36.99
29-01-2025 23:36:46            37.489                 37.49
30-01-2025 00:06:46            37.989                 37.99

30-01-2025 00:36:46            38.489                 38.49
30-01-2025 01:06:46            38.989                 38.99

30-01-2025 01:36:46            39.489                 39.49
30-01-2025 02:06:46            39.989                 39.99
30-01-2025 02:36:46            40.489                 40.49

30-01-2025 03:06:46            40.989                 40.99
30-01-2025 03:36:46            41.489                 41.49

30-01-2025 04:06:46            41.989                 41.99
30-01-2025 04:36:46            42.489                 42.49
30-01-2025 05:06:46            42.989                 42.99

30-01-2025 05:36:46            43.489                 43.49

30-01-2025 06:06:46            43.989                 43.99
30-01-2025 06:36:46            44.489                 44.49

30-01-2025 07:06:46            44.989                 44.99
30-01-2025 07:36:46            45.489                 45.49
30-01-2025 08:06:46            45.989                 45.99

30-01-2025 08:36:46            46.489                 46.49
30-01-2025 09:06:46            46.989                 46.99

30-01-2025 09:36:46            47.489                 47.49
30-01-2025 10:06:46            47.989                 47.99
30-01-2025 10:36:46            48.489                 48.49

30-01-2025 11:06:46            48.989                 48.99
30-01-2025 11:36:46            49.489                 49.49

30-01-2025 12:06:46            49.989                 49.99
30-01-2025 12:36:46            50.489                 50.49
30-01-2025 13:06:46            50.989                 50.99

30-01-2025 13:36:46            51.489                 51.49
30-01-2025 14:06:46            51.989                 51.99
30-01-2025 14:36:46            52.489                 52.49

30-01-2025 15:06:46            52.989                 52.99
30-01-2025 15:36:46            53.489                 53.49

30-01-2025 16:06:46            53.989                 53.99
30-01-2025 16:36:46            54.489                 54.49
30-01-2025 17:06:46            54.989                 54.99

30-01-2025 17:36:46            55.489                 55.49
30-01-2025 18:06:46            55.989                 55.99

30-01-2025 18:36:46            56.489                 56.49
30-01-2025 19:06:46            56.989                 56.99
30-01-2025 19:36:46            57.489                 57.49

30-01-2025 20:06:46            57.989                 57.99
30-01-2025 20:36:46            58.489                 58.49

30-01-2025 21:06:46            58.989                 58.99
30-01-2025 21:36:46            59.489                 59.49
30-01-2025 22:06:46            59.989                 59.99

30-01-2025 22:36:46            60.489                 60.49
30-01-2025 23:06:46            60.989                 60.99
30-01-2025 23:36:46            61.489                 61.49

