
                                              MFCS/win                    Report printed:                2025-02-06 12:55:43
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_low_02_1               Batch created:            2025-01-28 10:07:24

 Experiment Start:          2025-01-28 10:07:24                 Experiment Stop:          2025-01-31 11:21:55

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:25             0.000                  95.6

28-01-2025 10:07:40             0.004                  95.4
28-01-2025 10:07:55             0.009                  89.8
28-01-2025 10:08:10             0.013                  84.4

28-01-2025 10:08:25             0.017                  80.2
28-01-2025 10:08:40             0.021                  77.3
28-01-2025 10:08:55             0.025                  75.3

28-01-2025 10:09:10             0.029                  75.3
28-01-2025 10:09:25             0.034                  77.3

28-01-2025 10:09:40             0.038                  80.3
28-01-2025 10:09:55             0.042                  83.5
28-01-2025 10:10:10             0.046                  86.2

28-01-2025 10:10:25             0.050                  87.7
28-01-2025 10:10:40             0.054                  88.9

28-01-2025 10:10:55             0.059                  89.9
28-01-2025 10:11:25             0.067                  90.8
28-01-2025 10:11:40             0.071                  91.0

28-01-2025 10:13:25             0.100                  91.9
28-01-2025 10:13:40             0.104                  92.1

28-01-2025 10:16:55             0.159                  91.4
28-01-2025 10:17:10             0.163                  90.3
28-01-2025 10:17:25             0.167                  89.5

28-01-2025 10:17:40             0.171                  88.9
28-01-2025 10:17:55             0.175                  88.3
28-01-2025 10:18:10             0.179                  87.5

28-01-2025 10:18:25             0.184                  86.8
28-01-2025 10:18:40             0.188                  86.4

28-01-2025 10:19:10             0.196                  85.8
28-01-2025 10:19:25             0.200                  85.2
28-01-2025 10:19:55             0.209                  84.3

28-01-2025 10:20:10             0.213                  84.1
28-01-2025 10:21:25             0.234                  83.3

28-01-2025 10:21:40             0.238                  82.9
28-01-2025 10:22:55             0.259                  81.9
28-01-2025 10:23:10             0.263                  81.8

28-01-2025 10:24:40             0.288                  81.0


28-01-2025 10:24:55             0.292                  80.7
28-01-2025 10:27:10             0.329                  79.8

28-01-2025 10:27:25             0.334                  79.7
28-01-2025 10:29:55             0.375                  78.7
28-01-2025 10:30:10             0.379                  78.6

28-01-2025 10:35:10             0.463                  77.7
28-01-2025 10:35:25             0.467                  77.5

28-01-2025 10:36:46             0.489                  76.9
28-01-2025 10:42:40             0.588                  76.0
28-01-2025 10:42:55             0.592                  75.9

28-01-2025 10:47:55             0.675                  75.0
28-01-2025 10:48:10             0.679                  74.8

28-01-2025 10:55:55             0.809                  73.9
28-01-2025 10:56:10             0.813                  73.8
