
                                              MFCS/win                    Report printed:                2025-02-06 12:56:18
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_32_low_02_1               Batch created:            2025-01-28 10:07:24

 Experiment Start:          2025-01-28 10:07:24                 Experiment Stop:          2025-01-31 11:21:55

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

28-01-2025 10:07:25             0.000                   0

28-01-2025 10:07:40             0.004                  330
28-01-2025 10:07:55             0.009                  600
28-01-2025 10:14:55             0.125                  600

28-01-2025 10:15:10             0.129                  469
28-01-2025 10:15:25             0.134                  399
28-01-2025 10:36:46             0.489                  399

28-01-2025 11:06:46             0.989                  400
28-01-2025 11:36:46             1.489                  398

28-01-2025 11:46:44             1.656                  399
28-01-2025 11:46:59             1.660                  401
28-01-2025 11:53:15             1.764                  399

28-01-2025 11:53:30             1.768                  398
28-01-2025 12:06:46             1.989                  399

28-01-2025 12:36:46             2.489                  399
28-01-2025 13:06:46             2.989                  400
28-01-2025 13:36:46             3.489                  399

28-01-2025 14:06:46             3.989                  399
28-01-2025 14:36:46             4.489                  400

28-01-2025 15:06:46             4.989                  399
28-01-2025 15:36:46             5.489                  400
28-01-2025 16:06:46             5.989                  399

28-01-2025 16:36:46             6.489                  399
28-01-2025 17:06:46             6.989                  400
28-01-2025 17:36:46             7.489                  399

28-01-2025 18:06:46             7.989                  398
28-01-2025 18:36:46             8.489                  398

28-01-2025 19:06:46             8.989                  399
28-01-2025 19:36:46             9.489                  399
28-01-2025 20:06:46             9.989                  398

28-01-2025 20:36:46            10.489                  399
28-01-2025 21:06:46            10.989                  400

28-01-2025 21:36:46            11.489                  399
28-01-2025 22:06:46            11.989                  398
28-01-2025 22:36:46            12.489                  399

28-01-2025 23:06:46            12.989                  398


28-01-2025 23:36:46            13.489                  399
29-01-2025 00:06:46            13.989                  399

29-01-2025 00:36:46            14.489                  398
29-01-2025 01:06:46            14.989                  399
29-01-2025 01:36:46            15.489                  399

29-01-2025 02:06:46            15.989                  399
29-01-2025 02:36:46            16.489                  399

29-01-2025 03:06:46            16.989                  400
29-01-2025 03:36:46            17.489                  399
29-01-2025 04:06:46            17.989                  400

29-01-2025 04:36:46            18.489                  400
29-01-2025 05:06:46            18.989                  398

29-01-2025 05:36:46            19.489                  400
29-01-2025 06:06:46            19.989                  399
29-01-2025 06:36:46            20.489                  400

29-01-2025 07:06:46            20.989                  400
29-01-2025 07:36:46            21.489                  399
29-01-2025 08:06:46            21.989                  399

29-01-2025 08:36:46            22.489                  399
29-01-2025 09:06:46            22.989                  399

29-01-2025 09:36:46            23.489                  399
29-01-2025 10:06:46            23.989                  399
29-01-2025 10:36:46            24.489                  399

29-01-2025 11:06:46            24.989                  399
29-01-2025 11:36:46            25.489                  399

29-01-2025 12:06:46            25.989                  399
29-01-2025 12:36:46            26.489                  399
29-01-2025 13:06:46            26.989                  398

29-01-2025 13:36:46            27.489                  400
29-01-2025 14:06:46            27.989                  399

29-01-2025 14:36:46            28.489                  398
29-01-2025 15:06:46            28.989                  400
29-01-2025 15:36:46            29.489                  399

29-01-2025 16:06:46            29.989                  399
29-01-2025 16:36:46            30.489                  399
29-01-2025 17:06:46            30.989                  400

29-01-2025 17:36:46            31.489                  398
29-01-2025 18:06:46            31.989                  398

29-01-2025 18:06:57            31.993                  401
29-01-2025 18:36:46            32.489                  400
29-01-2025 19:06:46            32.989                  400

29-01-2025 19:36:46            33.489                  399
29-01-2025 20:06:46            33.989                  399

29-01-2025 20:36:46            34.489                  400
29-01-2025 21:06:46            34.989                  398
29-01-2025 21:36:46            35.489                  400

29-01-2025 22:06:46            35.989                  399
29-01-2025 22:36:46            36.489                  400

29-01-2025 23:06:46            36.989                  400
29-01-2025 23:36:46            37.489                  399
30-01-2025 00:06:46            37.989                  400

30-01-2025 00:36:46            38.489                  399

30-01-2025 01:06:46            38.989                  400
30-01-2025 01:36:46            39.489                  398

30-01-2025 02:06:46            39.989                  399
30-01-2025 02:36:46            40.489                  399
30-01-2025 03:06:46            40.989                  399

30-01-2025 03:36:46            41.489                  400
30-01-2025 04:06:46            41.989                  400

30-01-2025 04:36:46            42.489                  400
30-01-2025 05:06:46            42.989                  399
30-01-2025 05:36:46            43.489                  399

30-01-2025 06:06:46            43.989                  399
30-01-2025 06:36:46            44.489                  399

30-01-2025 07:06:46            44.989                  399
30-01-2025 07:36:46            45.489                  399
30-01-2025 08:06:46            45.989                  399

30-01-2025 08:36:46            46.489                  399
30-01-2025 09:06:46            46.989                  399
30-01-2025 09:36:46            47.489                  398

30-01-2025 10:06:46            47.989                  398
30-01-2025 10:36:46            48.489                  399

30-01-2025 11:06:46            48.989                  400
30-01-2025 11:36:46            49.489                  400
30-01-2025 12:06:46            49.989                  401

30-01-2025 12:06:54            49.992                  401
30-01-2025 12:07:09            49.996                  398

30-01-2025 12:36:46            50.489                  399
30-01-2025 13:06:46            50.989                  400
30-01-2025 13:36:46            51.489                  399

30-01-2025 14:06:46            51.989                  400
30-01-2025 14:36:46            52.489                  399

30-01-2025 15:06:46            52.989                  399
30-01-2025 15:36:46            53.489                  399
30-01-2025 16:06:46            53.989                  399

30-01-2025 16:36:46            54.489                  399
30-01-2025 17:06:46            54.989                  399
30-01-2025 17:36:46            55.489                  401

30-01-2025 17:38:19            55.515                  400
30-01-2025 17:38:34            55.519                  398

30-01-2025 17:56:19            55.815                  399
30-01-2025 17:56:34            55.819                  401
30-01-2025 18:00:49            55.890                  399

30-01-2025 18:01:04            55.894                  398
30-01-2025 18:06:46            55.989                  399

30-01-2025 18:36:46            56.489                  398
30-01-2025 19:06:46            56.989                  399
30-01-2025 19:36:46            57.489                  400

30-01-2025 20:06:46            57.989                  399
30-01-2025 20:36:46            58.489                  399

