
                                              MFCS/win                    Report printed:                2025-02-20 13:08:26
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU1_lowo2_2          Batch created:            2025-02-05 09:53:11

 Experiment Start:          2025-02-05 09:53:11                 Experiment Stop:          2025-02-08 09:58:32

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

05-02-2025 09:53:11             0.000                  5.50

05-02-2025 10:04:56             0.196                  5.60
05-02-2025 10:05:11             0.200                  5.61
05-02-2025 10:23:11             0.500                  5.58

05-02-2025 10:53:11             1.000                  5.61
05-02-2025 11:23:11             1.500                  5.57
05-02-2025 11:53:11             2.000                  5.57

05-02-2025 12:23:11             2.500                  5.55
05-02-2025 12:39:14             2.768                  5.65

05-02-2025 12:39:29             2.772                  5.66
05-02-2025 12:53:11             3.000                  5.58
05-02-2025 13:23:11             3.500                  5.58

05-02-2025 13:53:11             4.000                  5.55
05-02-2025 13:55:03             4.031                  5.53

05-02-2025 13:55:18             4.035                  5.65
05-02-2025 14:07:18             4.235                  5.55
05-02-2025 14:07:33             4.239                  5.55

05-02-2025 14:23:11             4.500                  5.55
05-02-2025 14:25:04             4.531                  5.64

05-02-2025 14:25:19             4.536                  5.65
05-02-2025 14:38:34             4.756                  5.55
05-02-2025 14:38:49             4.761                  5.55

05-02-2025 14:53:11             5.000                  5.56
05-02-2025 15:23:11             5.500                  5.56
05-02-2025 15:53:11             6.000                  5.64

05-02-2025 16:05:20             6.203                  5.54
05-02-2025 16:05:35             6.207                  5.54

05-02-2025 16:06:50             6.228                  5.53
05-02-2025 16:07:05             6.232                  5.66
05-02-2025 16:18:51             6.428                  5.56

05-02-2025 16:19:06             6.432                  5.56
05-02-2025 16:21:36             6.474                  5.54

05-02-2025 16:21:52             6.478                  5.68
05-02-2025 16:23:11             6.500                  5.67
05-02-2025 16:35:37             6.707                  5.57

05-02-2025 16:35:52             6.711                  5.57


05-02-2025 16:53:11             7.000                  5.55
05-02-2025 16:55:23             7.037                  5.54

05-02-2025 16:55:38             7.041                  5.66
