
                                              MFCS/win                    Report printed:                2025-02-20 13:08:27
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU1_lowo2_2          Batch created:            2025-02-05 09:53:11

 Experiment Start:          2025-02-05 09:53:11                 Experiment Stop:          2025-02-08 09:58:32

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

05-02-2025 09:53:11             0.000                  81.2

05-02-2025 09:53:26             0.004                  77.0
05-02-2025 09:53:56             0.013                  77.8
05-02-2025 09:54:11             0.017                  75.7

05-02-2025 09:54:26             0.021                  74.8
05-02-2025 09:54:41             0.025                  74.4
05-02-2025 09:54:56             0.029                  73.8

05-02-2025 09:55:11             0.033                  71.8
05-02-2025 09:55:26             0.038                  72.5

05-02-2025 09:55:41             0.042                  74.2
05-02-2025 09:55:56             0.046                  73.6
05-02-2025 09:56:11             0.050                  71.2

05-02-2025 09:56:26             0.054                  70.2
05-02-2025 09:56:41             0.058                  69.4

05-02-2025 09:59:11             0.100                  70.0
05-02-2025 09:59:26             0.104                  71.3
05-02-2025 10:03:11             0.167                  71.7

05-02-2025 10:03:26             0.171                  72.8
05-02-2025 10:05:56             0.213                  71.8

05-02-2025 10:06:11             0.217                  71.7
05-02-2025 10:06:26             0.221                  32.4
05-02-2025 10:06:41             0.225                  69.6

05-02-2025 10:07:12             0.234                  70.5
05-02-2025 10:07:27             0.238                  70.7
05-02-2025 10:14:42             0.359                  69.8

05-02-2025 10:14:57             0.363                  69.7
05-02-2025 10:16:12             0.384                  69.7

05-02-2025 10:16:27             0.388                  71.2
05-02-2025 10:19:57             0.446                  70.6
05-02-2025 10:20:12             0.450                  69.9

05-02-2025 10:20:57             0.463                  69.2
05-02-2025 10:21:12             0.467                  68.8

05-02-2025 10:23:11             0.500                  68.8
05-02-2025 10:26:27             0.554                  68.1
05-02-2025 10:26:42             0.559                  70.1

05-02-2025 10:27:12             0.567                  70.1


05-02-2025 10:27:27             0.571                  76.0
05-02-2025 10:27:42             0.575                  79.7

05-02-2025 10:28:12             0.584                  79.4
05-02-2025 10:28:27             0.588                  76.5
05-02-2025 10:28:42             0.592                  74.5

05-02-2025 10:29:57             0.613                  73.6
05-02-2025 10:30:12             0.617                  72.9

05-02-2025 10:30:27             0.621                  70.8
05-02-2025 10:30:42             0.625                  69.5
05-02-2025 10:30:57             0.629                  68.6

05-02-2025 10:31:12             0.634                  67.9
05-02-2025 10:31:27             0.638                  66.9

05-02-2025 10:31:42             0.642                  66.1
05-02-2025 10:31:57             0.646                  65.5
