
                                              MFCS/win                    Report printed:                2025-02-20 13:08:30
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU1_lowo2_2          Batch created:            2025-02-05 09:53:11

 Experiment Start:          2025-02-05 09:53:11                 Experiment Stop:          2025-02-08 09:58:32

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

05-02-2025 09:53:11             0.000                 14.68

05-02-2025 09:57:56             0.079                 14.63
05-02-2025 09:58:11             0.083                 16.24
05-02-2025 09:58:26             0.088                 15.16

05-02-2025 09:58:56             0.096                 15.16
05-02-2025 09:59:11             0.100                 14.75
05-02-2025 10:06:11             0.217                 14.86

05-02-2025 10:06:26             0.221                 14.99
05-02-2025 10:14:42             0.359                 14.79

05-02-2025 10:14:57             0.363                 14.78
05-02-2025 10:23:11             0.500                 14.71
05-02-2025 10:53:11             1.000                 14.74

05-02-2025 11:23:11             1.500                 14.74
05-02-2025 11:53:11             2.000                 14.72

05-02-2025 12:23:11             2.500                 14.71
05-02-2025 12:53:11             3.000                 14.72
05-02-2025 13:23:11             3.500                 14.71

05-02-2025 13:53:11             4.000                 14.73
05-02-2025 14:23:11             4.500                 14.70

05-02-2025 14:53:11             5.000                 14.70
05-02-2025 15:23:11             5.500                 14.65
05-02-2025 15:53:11             6.000                 14.69

05-02-2025 16:23:11             6.500                 14.67
05-02-2025 16:53:11             7.000                 14.68
05-02-2025 17:23:11             7.500                 14.68

05-02-2025 17:53:11             8.000                 14.70
05-02-2025 18:23:11             8.500                 14.68

05-02-2025 18:53:11             9.000                 14.68
05-02-2025 19:23:11             9.500                 14.68
05-02-2025 19:53:11            10.000                 14.69

05-02-2025 20:23:11            10.500                 14.69
05-02-2025 20:53:11            11.000                 14.70

05-02-2025 21:23:11            11.500                 14.70
05-02-2025 21:53:11            12.000                 14.68
05-02-2025 22:23:11            12.500                 14.69

05-02-2025 22:53:11            13.000                 14.69


05-02-2025 23:23:11            13.500                 14.71
05-02-2025 23:53:11            14.000                 14.71

06-02-2025 00:23:11            14.500                 14.69
06-02-2025 00:53:11            15.000                 14.71
06-02-2025 01:23:11            15.500                 14.71

06-02-2025 01:53:11            16.000                 14.71
06-02-2025 02:23:11            16.500                 14.71

06-02-2025 02:53:11            17.000                 14.70
06-02-2025 03:23:11            17.500                 14.70
06-02-2025 03:53:12            18.000                 14.71

06-02-2025 04:23:12            18.500                 14.71
06-02-2025 04:53:12            19.000                 14.71

06-02-2025 05:23:12            19.500                 14.70
06-02-2025 05:53:12            20.000                 14.69
06-02-2025 06:23:12            20.500                 14.70

06-02-2025 06:53:12            21.000                 14.70
06-02-2025 07:23:12            21.500                 14.74
06-02-2025 07:53:12            22.000                 14.77

06-02-2025 08:23:12            22.500                 14.77
06-02-2025 08:53:12            23.000                 14.77

06-02-2025 09:23:12            23.500                 14.77
06-02-2025 09:53:12            24.000                 14.71
