
                                              MFCS/win                    Report printed:                2025-02-20 13:09:03
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU2_lowo2_3          Batch created:            2025-02-05 09:53:21

 Experiment Start:          2025-02-05 09:53:21                 Experiment Stop:          2025-02-08 09:58:37

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   TEMP
                                                    Degr C
  Data
                                                      Value


 Date    /  Time                Age

05-02-2025 09:53:21             0.000                27.2700

05-02-2025 09:54:06             0.012                27.4200
05-02-2025 09:54:21             0.017                27.4950
05-02-2025 09:54:51             0.025                27.6900

05-02-2025 09:55:06             0.029                27.7800
05-02-2025 09:55:36             0.038                27.9450
05-02-2025 09:55:51             0.042                28.0050

05-02-2025 10:23:21             0.500                28.0200
05-02-2025 10:53:21             1.000                28.0050

05-02-2025 11:23:21             1.500                28.0050
05-02-2025 11:53:21             2.000                28.0050
05-02-2025 12:23:21             2.500                28.0050

05-02-2025 12:53:21             3.000                28.0050
05-02-2025 13:23:21             3.500                28.0050

05-02-2025 13:53:21             4.000                28.0050
05-02-2025 14:23:21             4.500                28.0050
05-02-2025 14:53:21             5.000                28.0050

05-02-2025 15:23:21             5.500                28.0050
05-02-2025 15:53:21             6.000                28.0050

05-02-2025 16:23:21             6.500                28.0050
05-02-2025 16:53:21             7.000                28.0050
05-02-2025 17:23:21             7.500                28.0050

05-02-2025 17:53:21             8.000                28.0050
05-02-2025 18:23:21             8.500                28.0050
05-02-2025 18:53:21             9.000                28.0050

05-02-2025 19:23:21             9.500                28.0050
05-02-2025 19:53:21            10.000                28.0050

05-02-2025 20:23:21            10.500                28.0050
05-02-2025 20:53:21            11.000                28.0050
05-02-2025 21:23:21            11.500                28.0050

05-02-2025 21:53:21            12.000                27.9900
05-02-2025 22:23:21            12.500                28.0050

05-02-2025 22:53:21            13.000                28.0050
05-02-2025 23:23:21            13.500                28.0050
05-02-2025 23:53:21            14.000                27.9900

06-02-2025 00:23:21            14.500                28.0050


06-02-2025 00:53:21            15.000                28.0050
06-02-2025 01:23:21            15.500                28.0050

06-02-2025 01:53:21            16.000                28.0050
06-02-2025 02:23:21            16.500                28.0050
06-02-2025 02:53:21            17.000                28.0050

06-02-2025 03:23:21            17.500                28.0050
06-02-2025 03:53:21            18.000                27.9900

06-02-2025 04:23:21            18.500                27.9900
06-02-2025 04:53:21            19.000                28.0050
06-02-2025 05:23:21            19.500                27.9900

06-02-2025 05:53:21            20.000                27.9900
06-02-2025 06:23:21            20.500                28.0050

06-02-2025 06:53:21            21.000                28.0050
06-02-2025 07:23:21            21.500                28.0050
06-02-2025 07:53:21            22.000                27.9900

06-02-2025 08:23:21            22.500                28.0050
06-02-2025 08:53:21            23.000                27.9900
06-02-2025 09:23:21            23.500                28.0050

06-02-2025 09:53:21            24.000                28.0050
06-02-2025 10:23:21            24.500                28.0050

06-02-2025 10:53:21            25.000                27.9900
06-02-2025 11:23:21            25.500                28.0050
06-02-2025 11:53:21            26.000                27.9900

06-02-2025 12:23:21            26.500                28.0050
06-02-2025 12:53:21            27.000                28.0050

06-02-2025 13:23:21            27.500                28.0050
06-02-2025 13:53:21            28.000                28.0050
06-02-2025 14:23:21            28.500                28.0050

06-02-2025 14:53:21            29.000                28.0050
06-02-2025 15:23:21            29.500                28.0050

06-02-2025 15:53:21            30.000                28.0050
06-02-2025 16:23:21            30.500                27.9900
06-02-2025 16:53:21            31.000                27.9900

06-02-2025 17:23:21            31.500                28.0050
06-02-2025 17:53:21            32.000                28.0050
06-02-2025 18:23:21            32.500                28.0050

06-02-2025 18:53:21            33.000                28.0050
06-02-2025 19:23:21            33.500                28.0050

06-02-2025 19:53:21            34.000                28.0050
06-02-2025 20:23:21            34.500                28.0050
06-02-2025 20:53:21            35.000                28.0050

06-02-2025 21:23:21            35.500                28.0050
06-02-2025 21:53:22            36.000                28.0050

06-02-2025 22:23:22            36.500                28.0050
06-02-2025 22:53:22            37.000                27.9900
06-02-2025 23:23:22            37.500                27.9900

06-02-2025 23:53:22            38.000                28.0050
07-02-2025 00:23:22            38.500                28.0050

07-02-2025 00:53:22            39.000                28.0050
07-02-2025 01:23:22            39.500                28.0050
07-02-2025 01:53:22            40.000                28.0050

07-02-2025 02:23:22            40.500                28.0050

07-02-2025 02:53:22            41.000                28.0050
07-02-2025 03:23:22            41.500                28.0050

07-02-2025 03:53:22            42.000                28.0050
07-02-2025 04:23:22            42.500                28.0050
07-02-2025 04:53:22            43.000                28.0050

07-02-2025 05:23:22            43.500                28.0050
07-02-2025 05:53:22            44.000                28.0050

07-02-2025 06:23:22            44.500                28.0050
07-02-2025 06:53:22            45.000                28.0050
07-02-2025 07:23:22            45.500                28.0050

07-02-2025 07:53:22            46.000                28.0050
07-02-2025 08:23:22            46.500                27.9900

07-02-2025 08:53:22            47.000                27.9900
07-02-2025 09:23:22            47.500                28.0050
07-02-2025 09:53:22            48.000                28.0050

07-02-2025 10:23:22            48.500                28.0050
07-02-2025 10:53:22            49.000                28.0050
07-02-2025 11:23:22            49.500                28.0050

07-02-2025 11:53:22            50.000                28.0050
07-02-2025 12:23:22            50.500                28.0050

07-02-2025 12:53:22            51.000                27.9900
07-02-2025 13:23:22            51.500                28.0050
07-02-2025 13:53:22            52.000                28.0050

07-02-2025 14:23:22            52.500                28.0050
07-02-2025 14:53:22            53.000                28.0050

07-02-2025 15:23:22            53.500                28.0050
07-02-2025 15:53:22            54.000                28.0050
07-02-2025 16:23:22            54.500                28.0050

07-02-2025 16:53:22            55.000                28.0050
07-02-2025 17:23:22            55.500                27.9900

07-02-2025 17:53:22            56.000                27.9900
07-02-2025 18:23:22            56.500                28.0050
07-02-2025 18:53:22            57.000                28.0050

07-02-2025 19:23:22            57.500                28.0050
07-02-2025 19:53:22            58.000                28.0050
07-02-2025 20:23:22            58.500                28.0050

07-02-2025 20:53:22            59.000                28.0050
07-02-2025 21:23:22            59.500                28.0050

07-02-2025 21:53:22            60.000                28.0050
07-02-2025 22:23:22            60.500                28.0050
07-02-2025 22:53:22            61.000                28.0050

07-02-2025 23:23:22            61.500                28.0050
07-02-2025 23:53:22            62.000                28.0050

08-02-2025 00:23:22            62.500                28.0050
08-02-2025 00:53:22            63.000                27.9900
08-02-2025 01:23:22            63.500                28.0050

08-02-2025 01:53:22            64.000                28.0050
08-02-2025 02:23:22            64.500                28.0050

08-02-2025 02:53:22            65.000                28.0050
08-02-2025 03:23:22            65.500                27.9900
08-02-2025 03:53:22            66.000                28.0050

08-02-2025 04:23:22            66.500                28.0050

08-02-2025 04:53:22            67.000                28.0050
08-02-2025 05:23:22            67.500                28.0050

08-02-2025 05:53:22            68.000                28.0050
08-02-2025 06:23:22            68.500                28.0050
08-02-2025 06:53:22            69.000                28.0050

08-02-2025 07:23:22            69.500                28.0050
08-02-2025 07:53:22            70.000                28.0050

08-02-2025 08:23:22            70.500                28.0050
08-02-2025 08:53:22            71.000                27.9900
08-02-2025 09:23:22            71.500                28.0050

08-02-2025 09:53:22            72.000                28.0050
08-02-2025 09:58:36            72.088                27.9900
