
                                              MFCS/win                    Report printed:                2025-02-20 13:09:03
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU2_lowo2_3          Batch created:            2025-02-05 09:53:21

 Experiment Start:          2025-02-05 09:53:21                 Experiment Stop:          2025-02-08 09:58:37

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

05-02-2025 09:53:21             0.000                  399

05-02-2025 10:23:21             0.500                  399
05-02-2025 10:53:21             1.000                  399
05-02-2025 11:23:21             1.500                  401

05-02-2025 11:24:08             1.513                  402
05-02-2025 11:24:23             1.517                  404
05-02-2025 11:26:53             1.559                  405

05-02-2025 11:27:08             1.563                  409
05-02-2025 11:34:24             1.684                  411

05-02-2025 11:34:39             1.688                  412
05-02-2025 11:37:09             1.730                  412
05-02-2025 11:37:24             1.734                  416

05-02-2025 11:45:24             1.867                  417
05-02-2025 11:45:39             1.872                  420

05-02-2025 11:46:39             1.888                  420
05-02-2025 11:46:54             1.892                  423
05-02-2025 11:53:21             2.000                  424

05-02-2025 11:55:54             2.042                  425
05-02-2025 11:56:09             2.047                  428

05-02-2025 12:03:39             2.172                  428
05-02-2025 12:03:54             2.176                  431
05-02-2025 12:04:09             2.180                  430

05-02-2025 12:04:24             2.184                  428
05-02-2025 12:04:39             2.188                  428
05-02-2025 12:04:54             2.193                  431

05-02-2025 12:07:24             2.234                  432
05-02-2025 12:07:39             2.238                  434

05-02-2025 12:07:54             2.242                  432
05-02-2025 12:08:09             2.247                  431
05-02-2025 12:09:39             2.272                  433

05-02-2025 12:09:54             2.276                  435
05-02-2025 12:14:24             2.351                  435

05-02-2025 12:14:39             2.355                  439
05-02-2025 12:21:24             2.468                  439
05-02-2025 12:21:39             2.472                  442

05-02-2025 12:23:21             2.500                  442


05-02-2025 12:26:09             2.547                  442
05-02-2025 12:26:24             2.551                  446

05-02-2025 12:30:39             2.622                  446
05-02-2025 12:30:54             2.626                  450
05-02-2025 12:31:09             2.630                  448

05-02-2025 12:31:24             2.634                  447
05-02-2025 12:31:54             2.642                  447

05-02-2025 12:32:09             2.647                  450
05-02-2025 12:35:24             2.701                  452
05-02-2025 12:35:39             2.705                  454

05-02-2025 12:43:09             2.830                  456
05-02-2025 12:43:24             2.834                  457

05-02-2025 12:46:39             2.888                  459
05-02-2025 12:46:54             2.893                  460
05-02-2025 12:53:21             3.000                  459

05-02-2025 13:06:24             3.218                  461
05-02-2025 13:06:39             3.222                  464
05-02-2025 13:07:09             3.230                  463

05-02-2025 13:07:24             3.234                  461
05-02-2025 13:15:24             3.367                  463

05-02-2025 13:15:39             3.372                  465
05-02-2025 13:23:21             3.500                  465
05-02-2025 13:23:55             3.509                  464

05-02-2025 13:24:10             3.514                  458
05-02-2025 13:24:25             3.518                  451

05-02-2025 13:24:40             3.522                  444
05-02-2025 13:24:55             3.526                  437
05-02-2025 13:25:10             3.530                  431

05-02-2025 13:25:25             3.534                  428
05-02-2025 13:26:11             3.547                  430

05-02-2025 13:26:26             3.551                  431
05-02-2025 13:26:41             3.556                  435
05-02-2025 13:26:56             3.560                  437

05-02-2025 13:27:11             3.564                  439
05-02-2025 13:27:26             3.568                  442
05-02-2025 13:27:41             3.572                  444

05-02-2025 13:27:56             3.576                  446
05-02-2025 13:28:11             3.581                  447

05-02-2025 13:28:26             3.585                  450
05-02-2025 13:29:26             3.601                  449
05-02-2025 13:29:41             3.606                  447

05-02-2025 13:32:26             3.651                  446
05-02-2025 13:32:41             3.656                  443

05-02-2025 13:33:41             3.672                  445
05-02-2025 13:33:56             3.676                  446
05-02-2025 13:35:27             3.702                  444

05-02-2025 13:35:42             3.706                  443
05-02-2025 13:38:57             3.760                  441

05-02-2025 13:39:12             3.764                  439
05-02-2025 13:42:27             3.818                  439
05-02-2025 13:42:42             3.823                  435

05-02-2025 13:42:57             3.827                  435

05-02-2025 13:43:12             3.831                  439
05-02-2025 13:47:12             3.897                  436

05-02-2025 13:47:27             3.902                  435
05-02-2025 13:47:57             3.910                  436
05-02-2025 13:48:12             3.914                  439

05-02-2025 13:51:57             3.977                  439
05-02-2025 13:52:12             3.981                  435

05-02-2025 13:52:27             3.985                  435
05-02-2025 13:52:42             3.989                  438
05-02-2025 13:53:21             4.000                  439

05-02-2025 13:55:12             4.031                  439
05-02-2025 13:55:27             4.035                  442

05-02-2025 13:55:42             4.039                  442
05-02-2025 13:55:57             4.043                  439
05-02-2025 14:09:43             4.273                  440

05-02-2025 14:09:58             4.277                  442
05-02-2025 14:10:13             4.281                  442
05-02-2025 14:10:28             4.285                  439

05-02-2025 14:14:43             4.356                  439
05-02-2025 14:14:58             4.360                  442

05-02-2025 14:17:58             4.410                  442
05-02-2025 14:18:13             4.414                  439
05-02-2025 14:19:13             4.431                  441

05-02-2025 14:19:28             4.435                  442
05-02-2025 14:21:58             4.477                  442

05-02-2025 14:22:13             4.481                  439
05-02-2025 14:22:43             4.489                  439
05-02-2025 14:22:58             4.494                  442

05-02-2025 14:23:21             4.500                  442
05-02-2025 14:24:13             4.514                  443

05-02-2025 14:24:28             4.519                  446
05-02-2025 14:25:13             4.531                  445
05-02-2025 14:25:28             4.535                  442

05-02-2025 14:29:28             4.602                  445
05-02-2025 14:29:43             4.606                  446
05-02-2025 14:31:43             4.639                  446

05-02-2025 14:31:58             4.644                  442
05-02-2025 14:32:13             4.648                  442

