
                                              MFCS/win                    Report printed:                2025-02-20 13:09:06
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_33_BDCU2_lowo2_3          Batch created:            2025-02-05 09:53:21

 Experiment Start:          2025-02-05 09:53:21                 Experiment Stop:          2025-02-08 09:58:37

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 AIRSP_A
                                                       lpm
  Data
                                                     Setpoint


 Date    /  Time                Age

05-02-2025 09:53:21             0.000                  .350

05-02-2025 10:23:21             0.500                  .375
05-02-2025 10:53:21             1.000                  .375
05-02-2025 11:23:21             1.500                  .378

05-02-2025 11:53:21             2.000                  .405
05-02-2025 12:23:21             2.500                  .428
05-02-2025 12:53:21             3.000                  .449

05-02-2025 13:23:21             3.500                  .456
05-02-2025 13:24:10             3.514                  .443

05-02-2025 13:24:25             3.518                  .370
05-02-2025 13:24:40             3.522                  .353
05-02-2025 13:24:55             3.526                  .337

05-02-2025 13:27:41             3.572                  .365
05-02-2025 13:27:56             3.576                  .369

05-02-2025 13:53:21             4.000                  .349
05-02-2025 14:23:21             4.500                  .358
05-02-2025 14:53:21             5.000                  .381

05-02-2025 15:23:21             5.500                  .408
05-02-2025 15:53:21             6.000                  .419

05-02-2025 16:23:21             6.500                  .441
05-02-2025 16:40:30             6.786                  .449
05-02-2025 16:40:45             6.790                  .254

05-02-2025 16:42:15             6.815                  .280
05-02-2025 16:42:30             6.819                  .284
05-02-2025 16:45:00             6.861                  .314

05-02-2025 16:45:15             6.865                  .317
05-02-2025 16:47:15             6.898                  .344

05-02-2025 16:47:30             6.903                  .347
05-02-2025 16:49:46             6.940                  .376
05-02-2025 16:50:01             6.944                  .379

05-02-2025 16:52:31             6.986                  .408
05-02-2025 16:52:46             6.990                  .410

05-02-2025 16:53:21             7.000                  .415
05-02-2025 16:57:01             7.061                  .444
05-02-2025 16:57:16             7.065                  .445

05-02-2025 17:23:21             7.500                  .463


05-02-2025 17:53:21             8.000                  .461
05-02-2025 18:23:21             8.500                  .481

05-02-2025 18:53:21             9.000                  .501
05-02-2025 19:23:21             9.500                  .524
05-02-2025 19:53:21            10.000                  .550

05-02-2025 20:18:19            10.416                  .577
05-02-2025 20:18:34            10.420                  .581

05-02-2025 20:23:21            10.500                  .580
05-02-2025 20:53:21            11.000                  .605
05-02-2025 21:23:21            11.500                  .622

05-02-2025 21:53:21            12.000                  .634
05-02-2025 22:23:21            12.500                  .642

05-02-2025 22:53:21            13.000                  .644
05-02-2025 23:23:21            13.500                  .636
05-02-2025 23:44:11            13.847                  .608

05-02-2025 23:44:26            13.851                  .605
05-02-2025 23:50:57            13.960                  .575
05-02-2025 23:51:12            13.964                  .575

05-02-2025 23:53:21            14.000                  .567
06-02-2025 00:23:21            14.500                  .540

06-02-2025 00:53:21            15.000                  .534
06-02-2025 01:22:02            15.478                  .509
06-02-2025 01:22:17            15.482                  .502

06-02-2025 01:23:21            15.500                  .509
06-02-2025 01:53:21            16.000                  .500

06-02-2025 02:23:21            16.500                  .489
06-02-2025 02:53:21            17.000                  .482
06-02-2025 03:23:21            17.500                  .478

06-02-2025 03:53:21            18.000                  .465
06-02-2025 04:23:21            18.500                  .464

06-02-2025 04:53:21            19.000                  .449
06-02-2025 05:23:21            19.500                  .439
06-02-2025 05:53:21            20.000                  .432

06-02-2025 06:23:21            20.500                  .426
06-02-2025 06:53:21            21.000                  .425
06-02-2025 07:23:21            21.500                  .407

06-02-2025 07:53:21            22.000                  .408
06-02-2025 08:23:21            22.500                  .399

06-02-2025 08:33:01            22.661                  .401
06-02-2025 08:33:16            22.665                  .312
