Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2025-02-05 17:08:05;2025-02-05 09:08:05;0.04097;20.94981;0.32334;9.75967;25.93996;0.99964;;0.23475;7.3579;25.38987;1.00084;0.04048;20.95376;
2025-02-05 17:08:10;2025-02-05 09:08:10;0.0409;20.94939;0.99966;0.0409;20.94939;0.99966;;1.00082;0.04055;20.9552;1.00082;0.04055;20.9552;
2025-02-05 17:08:15;2025-02-05 09:08:15;0.0409;20.94939;0.99966;0.0409;20.94939;0.99966;;1.00082;0.04055;20.9552;1.00082;0.04055;20.9552;
2025-02-05 17:08:20;2025-02-05 09:08:20;0.04088;20.94948;0.99968;0.04088;20.94948;0.99968;;1.00082;0.04055;20.9552;1.00082;0.04055;20.9552;
2025-02-05 17:08:25;2025-02-05 09:08:25;0.04088;20.94948;0.99968;0.04088;20.94948;0.99968;;1.00082;0.04055;20.9552;1.00082;0.04055;20.9552;
2025-02-05 17:08:30;2025-02-05 09:08:30;0.04082;20.94939;0.32334;9.68643;25.96666;0.99966;;1.00086;0.04061;20.95505;1.00086;0.04061;20.95505;
2025-02-05 17:08:35;2025-02-05 09:08:35;0.04082;20.94939;0.32334;9.68643;25.96666;0.99966;;1.00086;0.04061;20.95505;1.00086;0.04061;20.95505;
2025-02-05 17:08:40;2025-02-05 09:08:40;0.0408;20.95039;0.32172;9.71542;25.95331;0.99969;;1.00083;0.04055;20.95507;1.00083;0.04055;20.95507;
2025-02-05 17:08:45;2025-02-05 09:08:45;0.0408;20.95039;0.32172;9.71542;25.95331;0.99969;;1.00083;0.04055;20.95507;1.00083;0.04055;20.95507;
2025-02-05 17:08:50;2025-02-05 09:08:50;0.04039;20.95213;0.99971;0.04039;20.95213;0.99971;;0.23494;7.31212;25.34714;1.00083;0.04061;20.95447;
2025-02-05 17:08:55;2025-02-05 09:08:55;0.04039;20.95213;0.99971;0.04039;20.95213;0.99971;;0.23494;7.31212;25.34714;1.00083;0.04061;20.95447;
2025-02-05 17:09:00;2025-02-05 09:09:00;0.0404;20.95238;0.99969;0.0404;20.95238;0.99969;;0.23494;7.31212;25.34714;1.00083;0.04061;20.95447;
2025-02-05 17:09:05;2025-02-05 09:09:05;0.0404;20.95238;0.99969;0.0404;20.95238;0.99969;;0.23494;7.31212;25.34714;1.00083;0.04061;20.95447;
2025-02-05 17:09:10;2025-02-05 09:09:10;0.04057;20.95128;0.32091;9.74289;25.93996;0.99968;;0.23338;7.32586;25.34714;1.00081;0.04062;20.95452;
2025-02-05 17:09:15;2025-02-05 09:09:15;0.04057;20.95128;0.32091;9.74289;25.93996;0.99968;;0.23338;7.32586;25.34714;1.00081;0.04062;20.95452;
2025-02-05 17:09:20;2025-02-05 09:09:20;0.04058;20.95012;0.99969;0.04058;20.95012;0.99969;;0.23438;7.32586;25.34714;1.0008;0.0403;20.95737;
2025-02-05 17:09:25;2025-02-05 09:09:25;0.04058;20.95012;0.99969;0.04058;20.95012;0.99969;;0.23438;7.32586;25.34714;1.0008;0.0403;20.95737;
2025-02-05 17:09:30;2025-02-05 09:09:30;0.04078;20.94861;0.99965;0.04078;20.94861;0.99965;;0.23494;7.32586;25.33379;1.00078;0.04024;20.95728;
2025-02-05 17:09:35;2025-02-05 09:09:35;0.04078;20.94861;0.99965;0.04078;20.94861;0.99965;;0.23494;7.32586;25.33379;1.00078;0.04024;20.95728;
2025-02-05 17:09:40;2025-02-05 09:09:40;0.04078;20.94861;0.99965;0.04078;20.94861;0.99965;;0.23475;7.32586;25.36049;1.0008;0.04014;20.95792;
2025-02-05 17:09:45;2025-02-05 09:09:45;0.04078;20.94861;0.99965;0.04078;20.94861;0.99965;;0.23475;7.32586;25.36049;1.0008;0.04014;20.95792;
2025-02-05 17:09:50;2025-02-05 09:09:50;0.04058;20.94982;0.31838;9.68338;25.92393;0.99964;;0.23413;7.33959;25.34714;1.00085;0.04037;20.95516;
