
                                              MFCS/win                    Report printed:                2025-02-20 13:09:50
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_34_lowo2_2                Batch created:            2025-02-14 12:32:21

 Experiment Start:          2025-02-14 12:32:21                 Experiment Stop:          2025-02-17 12:36:20

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

14-02-2025 12:32:22             0.000                  401

14-02-2025 13:02:22             0.500                  401
14-02-2025 13:30:08             0.963                  401
14-02-2025 13:30:23             0.967                  416

14-02-2025 13:30:38             0.971                  401
14-02-2025 13:32:22             1.000                  401
14-02-2025 14:02:22             1.500                  401

14-02-2025 14:32:22             2.000                  401
14-02-2025 15:02:22             2.500                  401

14-02-2025 15:32:22             3.000                  401
14-02-2025 15:45:26             3.218                  402
14-02-2025 15:45:41             3.222                  405

14-02-2025 15:55:41             3.389                  407
14-02-2025 15:55:56             3.393                  409

14-02-2025 16:02:22             3.500                  409
14-02-2025 16:04:41             3.539                  410
14-02-2025 16:04:56             3.543                  412

14-02-2025 16:10:27             3.635                  410
14-02-2025 16:10:42             3.639                  409

14-02-2025 16:13:13             3.681                  410
14-02-2025 16:13:28             3.685                  412
14-02-2025 16:21:29             3.819                  412

14-02-2025 16:21:44             3.823                  416
14-02-2025 16:32:22             4.000                  416
14-02-2025 16:35:16             4.049                  416

14-02-2025 16:35:31             4.053                  419
14-02-2025 16:37:46             4.090                  417

14-02-2025 16:38:01             4.094                  410
14-02-2025 16:38:16             4.099                  404
14-02-2025 17:02:22             4.500                  401

14-02-2025 17:32:22             5.000                  401
14-02-2025 18:02:22             5.500                  401

14-02-2025 18:32:22             6.000                  401
14-02-2025 19:02:22             6.500                  401
14-02-2025 19:32:22             7.000                  401

14-02-2025 20:02:22             7.500                  401


14-02-2025 20:32:22             8.000                  401
14-02-2025 21:02:22             8.500                  401

14-02-2025 21:32:22             9.000                  401
14-02-2025 22:02:22             9.500                  401
14-02-2025 22:32:22            10.000                  401

14-02-2025 23:02:22            10.500                  401
14-02-2025 23:32:22            11.000                  401

15-02-2025 00:02:22            11.500                  401
15-02-2025 00:32:22            12.000                  401
15-02-2025 01:02:22            12.500                  401

15-02-2025 01:32:22            13.000                  401
15-02-2025 02:02:22            13.500                  401

15-02-2025 02:32:22            14.000                  401
15-02-2025 03:02:22            14.500                  401
15-02-2025 03:32:22            15.000                  401

15-02-2025 04:02:22            15.500                  401
15-02-2025 04:32:22            16.000                  401
15-02-2025 05:02:22            16.500                  401

15-02-2025 05:32:22            17.000                  401
15-02-2025 06:02:22            17.500                  401

15-02-2025 06:32:22            18.000                  401
15-02-2025 07:02:22            18.500                  401
15-02-2025 07:32:22            19.000                  401

15-02-2025 08:02:22            19.500                  401
15-02-2025 08:32:22            20.000                  401

15-02-2025 09:02:22            20.500                  401
15-02-2025 09:32:22            21.000                  401
15-02-2025 10:02:22            21.500                  401

15-02-2025 10:32:22            22.000                  401
15-02-2025 11:02:22            22.500                  401

15-02-2025 11:32:22            23.000                  401
15-02-2025 12:02:22            23.500                  401
15-02-2025 12:32:22            24.000                  401

15-02-2025 13:02:22            24.500                  401
15-02-2025 13:32:22            25.000                  401
15-02-2025 14:02:22            25.500                  401

15-02-2025 14:32:22            26.000                  401
15-02-2025 15:02:22            26.500                  401

15-02-2025 15:32:22            27.000                  401
15-02-2025 16:02:22            27.500                  401
15-02-2025 16:32:22            28.000                  401

15-02-2025 17:02:22            28.500                  401
15-02-2025 17:32:22            29.000                  400

15-02-2025 18:02:22            29.500                  400
15-02-2025 18:32:22            30.000                  400
15-02-2025 19:02:22            30.500                  401

15-02-2025 19:32:22            31.000                  401
15-02-2025 20:02:22            31.500                  401

15-02-2025 20:32:22            32.000                  401
15-02-2025 21:02:22            32.500                  401
15-02-2025 21:32:22            33.000                  401

15-02-2025 22:02:22            33.500                  401

15-02-2025 22:32:22            34.000                  401
15-02-2025 23:02:22            34.500                  401

15-02-2025 23:32:22            35.000                  399
16-02-2025 00:02:22            35.500                  401
16-02-2025 00:07:53            35.592                  400

16-02-2025 00:08:08            35.596                  398
16-02-2025 00:11:53            35.659                  400

16-02-2025 00:12:08            35.663                  401
16-02-2025 00:32:22            36.000                  401
16-02-2025 01:02:22            36.500                  400

16-02-2025 01:32:22            37.000                  399
16-02-2025 02:02:22            37.500                  401

16-02-2025 02:32:22            38.000                  400
16-02-2025 03:02:22            38.500                  401
16-02-2025 03:15:56            38.726                  400

16-02-2025 03:16:11            38.731                  398
16-02-2025 03:17:26            38.751                  400
16-02-2025 03:17:41            38.756                  401

16-02-2025 03:32:22            39.000                  400
16-02-2025 04:02:22            39.500                  399

16-02-2025 04:32:22            40.000                  399
16-02-2025 05:02:22            40.500                  401
16-02-2025 05:32:22            41.000                  401

16-02-2025 06:02:22            41.500                  401
16-02-2025 06:32:22            42.000                  400

16-02-2025 07:02:22            42.500                  401
16-02-2025 07:32:22            43.000                  401
16-02-2025 08:02:22            43.500                  401

16-02-2025 08:32:22            44.000                  401
16-02-2025 09:02:22            44.500                  401

16-02-2025 09:32:22            45.000                  401
16-02-2025 10:02:22            45.500                  401
16-02-2025 10:32:22            46.000                  400

16-02-2025 11:02:22            46.500                  400
16-02-2025 11:32:22            47.000                  401
16-02-2025 12:02:22            47.500                  401

16-02-2025 12:32:22            48.000                  401
16-02-2025 12:50:17            48.299                  400

16-02-2025 12:50:32            48.303                  398
16-02-2025 12:52:02            48.328                  400
16-02-2025 12:52:17            48.332                  402

16-02-2025 12:55:32            48.386                  401
16-02-2025 12:55:47            48.391                  399

16-02-2025 13:02:22            48.500                  400
16-02-2025 13:32:22            49.000                  401
16-02-2025 13:48:34            49.270                  400

16-02-2025 13:48:49            49.274                  398
16-02-2025 13:49:04            49.279                  401

16-02-2025 14:02:22            49.500                  400
16-02-2025 14:32:22            50.000                  399
16-02-2025 14:33:20            50.016                  400

16-02-2025 14:33:35            50.021                  403

16-02-2025 14:33:50            50.025                  399
16-02-2025 15:02:22            50.500                  401

16-02-2025 15:32:22            51.000                  400
16-02-2025 16:02:22            51.500                  400
16-02-2025 16:32:22            52.000                  399

16-02-2025 16:33:37            52.021                  399
16-02-2025 16:33:52            52.025                  403

16-02-2025 16:34:07            52.029                  399
16-02-2025 17:02:22            52.500                  399
16-02-2025 17:32:22            53.000                  400

16-02-2025 18:02:22            53.500                  401
16-02-2025 18:32:22            54.000                  400

16-02-2025 19:01:26            54.485                  401
16-02-2025 19:01:41            54.489                  404
16-02-2025 19:02:22            54.500                  401

16-02-2025 19:32:22            55.000                  401
16-02-2025 20:01:13            55.481                  399
16-02-2025 20:01:28            55.485                  398

16-02-2025 20:02:22            55.500                  399
16-02-2025 20:32:22            56.000                  401

16-02-2025 21:02:22            56.500                  401
16-02-2025 21:32:22            57.000                  401
16-02-2025 22:02:22            57.500                  400

16-02-2025 22:32:23            58.001                  401
16-02-2025 22:57:19            58.416                  402

16-02-2025 22:57:34            58.420                  398
16-02-2025 23:00:04            58.462                  400
16-02-2025 23:00:19            58.466                  402

16-02-2025 23:00:34            58.470                  399
16-02-2025 23:02:23            58.501                  401

16-02-2025 23:32:23            59.001                  400
17-02-2025 00:02:23            59.501                  400
17-02-2025 00:15:22            59.717                  400

17-02-2025 00:15:37            59.721                  397
17-02-2025 00:15:52            59.725                  399
17-02-2025 00:16:07            59.729                  402

17-02-2025 00:16:37            59.738                  400
17-02-2025 00:16:52            59.742                  399

17-02-2025 00:22:22            59.834                  401
17-02-2025 00:22:37            59.838                  402
17-02-2025 00:23:22            59.850                  400

17-02-2025 00:23:37            59.854                  398
17-02-2025 00:23:52            59.859                  401

17-02-2025 00:24:52            59.875                  402
17-02-2025 00:25:07            59.879                  397
17-02-2025 00:25:22            59.884                  402

17-02-2025 00:26:07            59.896                  400
17-02-2025 00:26:22            59.900                  398

17-02-2025 00:28:07            59.929                  400
17-02-2025 00:28:22            59.934                  401
17-02-2025 00:32:23            60.001                  400

17-02-2025 01:02:23            60.501                  400

17-02-2025 01:32:23            61.001                  400
17-02-2025 02:02:23            61.501                  400

17-02-2025 02:32:23            62.001                  400
17-02-2025 03:02:23            62.501                  401
17-02-2025 03:29:41            62.956                  400

