
                                              MFCS/win                    Report printed:                2025-02-20 13:10:20
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_34_lowo2_3                Batch created:            2025-02-14 12:32:39

 Experiment Start:          2025-02-14 12:32:40                 Experiment Stop:          2025-02-17 12:36:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   TEMP
                                                    Degr C
  Data
                                                      Value


 Date    /  Time                Age

14-02-2025 12:32:40             0.000                35.7600

14-02-2025 12:33:25             0.012                35.5950
14-02-2025 12:33:40             0.017                35.4750
14-02-2025 12:33:55             0.021                35.3400

14-02-2025 12:34:10             0.025                35.1900
14-02-2025 12:34:25             0.029                34.9950
14-02-2025 12:34:40             0.033                34.8150

14-02-2025 12:34:55             0.038                34.6200
14-02-2025 12:35:10             0.042                34.4250

14-02-2025 12:35:25             0.046                34.2150
14-02-2025 12:35:40             0.050                34.0050
14-02-2025 12:35:55             0.054                33.7950

14-02-2025 12:36:10             0.058                33.5700
14-02-2025 12:36:25             0.063                33.3450

14-02-2025 12:36:40             0.067                33.1350
14-02-2025 12:36:55             0.071                32.8800
14-02-2025 12:37:10             0.075                32.7300

14-02-2025 12:37:25             0.079                32.4900
14-02-2025 12:37:40             0.083                32.1750

14-02-2025 12:37:55             0.088                31.9350
14-02-2025 12:38:10             0.092                31.6950
14-02-2025 12:38:25             0.096                31.4700

14-02-2025 12:38:40             0.100                31.2300
14-02-2025 12:38:55             0.104                30.9750
14-02-2025 12:39:10             0.108                30.7350

14-02-2025 12:39:25             0.113                30.5700
14-02-2025 12:39:40             0.117                30.3450

14-02-2025 12:39:55             0.121                30.1050
14-02-2025 12:40:10             0.125                29.7750
14-02-2025 12:40:25             0.129                29.5500

14-02-2025 12:40:40             0.133                29.3250
14-02-2025 12:40:55             0.138                29.0850

14-02-2025 12:41:10             0.142                28.8450
14-02-2025 12:41:25             0.146                28.6800
14-02-2025 12:41:40             0.150                28.4550

14-02-2025 12:41:55             0.154                28.2150


14-02-2025 12:42:10             0.158                28.0050
14-02-2025 12:42:25             0.163                27.7800

14-02-2025 12:42:40             0.167                27.5550
14-02-2025 12:42:55             0.171                27.2850
14-02-2025 12:43:10             0.175                27.0750

14-02-2025 12:43:25             0.179                26.9550
14-02-2025 12:43:40             0.183                26.8050

14-02-2025 12:43:55             0.188                26.6700
14-02-2025 12:44:10             0.192                26.5800
14-02-2025 12:46:40             0.233                26.7300

14-02-2025 12:46:55             0.237                26.8200
14-02-2025 12:47:25             0.246                27.0000

14-02-2025 12:47:40             0.250                27.0750
14-02-2025 12:48:10             0.258                27.2400
14-02-2025 12:48:25             0.263                27.3150

14-02-2025 12:49:41             0.284                27.5100
14-02-2025 12:49:56             0.288                27.5250
14-02-2025 13:02:40             0.500                27.6900

14-02-2025 13:20:42             0.801                27.8850
14-02-2025 13:20:57             0.805                27.9000

14-02-2025 13:32:40             1.000                27.9450
14-02-2025 14:02:40             1.500                27.9900
14-02-2025 14:32:40             2.000                28.0050

14-02-2025 15:02:40             2.500                27.9900
14-02-2025 15:32:40             3.000                28.0050

14-02-2025 16:02:40             3.500                28.0050
14-02-2025 16:32:40             4.000                28.0050
14-02-2025 17:02:40             4.500                28.0050

14-02-2025 17:32:40             5.000                28.0050
14-02-2025 18:02:40             5.500                28.0050

14-02-2025 18:32:40             6.000                28.0050
14-02-2025 19:02:40             6.500                28.0050
14-02-2025 19:32:40             7.000                28.0050

14-02-2025 20:02:40             7.500                27.9900
14-02-2025 20:32:40             8.000                28.0050
14-02-2025 21:02:40             8.500                28.0050

14-02-2025 21:32:40             9.000                28.0050
14-02-2025 22:02:40             9.500                28.0050

14-02-2025 22:32:40            10.000                28.0050
14-02-2025 23:02:40            10.500                28.0050
14-02-2025 23:32:40            11.000                28.0050

15-02-2025 00:02:40            11.500                28.0050
15-02-2025 00:32:40            12.000                28.0050

15-02-2025 01:02:40            12.500                28.0050
15-02-2025 01:32:40            13.000                28.0050
15-02-2025 02:02:40            13.500                28.0050

15-02-2025 02:32:40            14.000                28.0050
