
                                              MFCS/win                    Report printed:                2025-02-20 13:10:22
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_34_lowo2_3                Batch created:            2025-02-14 12:32:39

 Experiment Start:          2025-02-14 12:32:40                 Experiment Stop:          2025-02-17 12:36:26

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

14-02-2025 12:32:40             0.000                  5.56

14-02-2025 13:02:40             0.500                  5.59
14-02-2025 13:32:40             1.000                  5.56
14-02-2025 14:02:40             1.500                  5.61

14-02-2025 14:32:40             2.000                  5.60
14-02-2025 15:02:40             2.500                  5.64
14-02-2025 15:32:40             3.000                  5.55

14-02-2025 16:02:40             3.500                  5.60
14-02-2025 16:32:40             4.000                  5.55

14-02-2025 17:02:40             4.500                  5.63
14-02-2025 17:32:40             5.000                  5.60
14-02-2025 18:02:40             5.500                  5.59

14-02-2025 18:32:40             6.000                  5.57
14-02-2025 19:02:40             6.500                  5.57

14-02-2025 19:32:40             7.000                  5.56
14-02-2025 20:02:40             7.500                  5.54
14-02-2025 20:32:40             8.000                  5.57

14-02-2025 21:02:40             8.500                  5.56
14-02-2025 21:32:40             9.000                  5.54

14-02-2025 21:44:01             9.189                  5.58
14-02-2025 21:44:16             9.193                  5.64
14-02-2025 21:55:17             9.377                  5.55

14-02-2025 21:55:32             9.381                  5.54
14-02-2025 22:02:40             9.500                  5.57
14-02-2025 22:32:40            10.000                  5.56

14-02-2025 23:02:40            10.500                  5.55
14-02-2025 23:32:40            11.000                  5.58

15-02-2025 00:02:40            11.500                  5.57
15-02-2025 00:32:40            12.000                  5.58
15-02-2025 01:02:40            12.500                  5.60

15-02-2025 01:32:40            13.000                  5.64
15-02-2025 01:44:42            13.201                  5.54

15-02-2025 01:44:57            13.205                  5.54
15-02-2025 02:02:40            13.500                  5.58
15-02-2025 02:32:40            14.000                  5.60

15-02-2025 03:02:40            14.500                  5.54


15-02-2025 03:32:40            15.000                  5.61
15-02-2025 04:02:40            15.500                  5.55

15-02-2025 04:32:40            16.000                  5.61
15-02-2025 05:02:40            16.500                  5.61
15-02-2025 05:32:40            17.000                  5.58

15-02-2025 06:02:40            17.500                  5.58
15-02-2025 06:32:40            18.000                  5.60

15-02-2025 07:02:40            18.500                  5.58
15-02-2025 07:32:40            19.000                  5.60
15-02-2025 08:02:40            19.500                  5.62

15-02-2025 08:32:40            20.000                  5.55
15-02-2025 09:02:40            20.500                  5.59

15-02-2025 09:32:40            21.000                  5.61
15-02-2025 10:02:40            21.500                  5.56
15-02-2025 10:08:58            21.605                  5.61

15-02-2025 10:09:13            21.609                  5.68
15-02-2025 10:30:44            21.968                  5.58
15-02-2025 10:30:59            21.972                  5.58

15-02-2025 10:32:40            22.000                  5.57
15-02-2025 11:02:40            22.500                  5.61

15-02-2025 11:32:40            23.000                  5.63
15-02-2025 12:02:40            23.500                  5.57
15-02-2025 12:32:40            24.000                  5.60

15-02-2025 13:02:40            24.500                  5.63
15-02-2025 13:32:40            25.000                  5.55

15-02-2025 14:02:40            25.500                  5.60
15-02-2025 14:32:40            26.000                  5.64
15-02-2025 14:49:57            26.288                  5.54

15-02-2025 14:50:12            26.292                  5.54
15-02-2025 15:02:40            26.500                  5.56

15-02-2025 15:32:40            27.000                  5.59
15-02-2025 16:02:40            27.500                  5.60
15-02-2025 16:32:40            28.000                  5.63

15-02-2025 17:02:40            28.500                  5.56
15-02-2025 17:32:40            29.000                  5.55
15-02-2025 18:02:40            29.500                  5.59

15-02-2025 18:32:40            30.000                  5.60
15-02-2025 19:02:40            30.500                  5.62

15-02-2025 19:32:40            31.000                  5.55
15-02-2025 20:02:40            31.500                  5.57
15-02-2025 20:32:40            32.000                  5.62

15-02-2025 21:02:40            32.500                  5.64
15-02-2025 21:18:11            32.759                  5.54

15-02-2025 21:18:26            32.763                  5.54
15-02-2025 21:32:40            33.000                  5.54
15-02-2025 21:33:41            33.017                  5.54

15-02-2025 21:33:56            33.021                  5.65
15-02-2025 21:50:41            33.300                  5.55

15-02-2025 21:50:56            33.304                  5.55
15-02-2025 22:02:40            33.500                  5.57
15-02-2025 22:32:40            34.000                  5.61

15-02-2025 23:02:40            34.500                  5.63

15-02-2025 23:32:40            35.000                  5.63
16-02-2025 00:02:40            35.500                  5.55

16-02-2025 00:32:40            36.000                  5.57
16-02-2025 01:02:40            36.500                  5.62
16-02-2025 01:32:40            37.000                  5.55

16-02-2025 02:02:40            37.500                  5.58
16-02-2025 02:32:40            38.000                  5.64

16-02-2025 02:49:22            38.278                  5.54
16-02-2025 02:49:37            38.283                  5.54
16-02-2025 03:02:40            38.500                  5.57

16-02-2025 03:32:40            39.000                  5.60
16-02-2025 04:02:40            39.500                  5.65

16-02-2025 04:19:53            39.787                  5.55
16-02-2025 04:20:08            39.791                  5.55
16-02-2025 04:32:40            40.000                  5.57

16-02-2025 05:02:40            40.500                  5.62
16-02-2025 05:32:41            41.000                  5.56
16-02-2025 06:02:41            41.500                  5.61

16-02-2025 06:32:41            42.000                  5.64
16-02-2025 06:52:41            42.334                  5.54

