Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2025-02-26 22:23:12;2025-02-26 14:23:12;0.8451;19.9844;1.01067;0.8451;19.9844;1.01067;;1.01163;0.82718;19.94053;1.01163;0.82718;19.94053;
2025-02-26 22:23:17;2025-02-26 14:23:17;0.8451;19.9844;1.01067;0.8451;19.9844;1.01067;;1.01163;0.82718;19.94053;1.01163;0.82718;19.94053;
2025-02-26 22:23:22;2025-02-26 14:23:22;0.83326;20.02261;1.01065;0.83326;20.02261;1.01065;;0.97522;30.49363;25.29107;1.01165;0.80118;20.01502;
2025-02-26 22:23:27;2025-02-26 14:23:27;0.83326;20.02261;1.01065;0.83326;20.02261;1.01065;;0.97522;30.49363;25.29107;1.01165;0.80118;20.01502;
2025-02-26 22:23:32;2025-02-26 14:23:32;0.82565;20.06169;1.13164;33.63699;26.23636;1.01063;;1.01165;0.78831;20.05646;1.01165;0.78831;20.05646;
2025-02-26 22:23:37;2025-02-26 14:23:37;0.82565;20.06169;1.13164;33.63699;26.23636;1.01063;;1.01165;0.78831;20.05646;1.01165;0.78831;20.05646;
2025-02-26 22:23:42;2025-02-26 14:23:42;0.80942;20.07973;1.13456;33.6614;26.20966;1.01061;;1.01165;0.76895;20.0925;1.01165;0.76895;20.0925;
2025-02-26 22:23:47;2025-02-26 14:23:47;0.80942;20.07973;1.13456;33.6614;26.20966;1.01061;;1.01165;0.76895;20.0925;1.01165;0.76895;20.0925;
2025-02-26 22:23:52;2025-02-26 14:23:52;0.80942;20.07973;1.13456;33.6614;26.20966;1.01061;;0.97824;30.60349;25.30442;1.01163;0.75184;20.11033;
2025-02-26 22:23:57;2025-02-26 14:23:57;0.80942;20.07973;1.13456;33.6614;26.20966;1.01061;;0.97824;30.60349;25.30442;1.01163;0.75184;20.11033;
2025-02-26 22:24:02;2025-02-26 14:24:02;0.77927;20.14491;1.13641;33.72549;26.19364;1.01065;;0.98078;30.62638;25.27504;1.01166;0.74361;20.14332;
2025-02-26 22:24:07;2025-02-26 14:24:07;0.77927;20.14491;1.13641;33.72549;26.19364;1.01065;;0.98078;30.62638;25.27504;1.01166;0.74361;20.14332;
2025-02-26 22:24:12;2025-02-26 14:24:12;0.77184;20.1723;1.13432;33.75296;26.19364;1.01062;;0.98078;30.62638;25.27504;1.01166;0.74361;20.14332;
2025-02-26 22:24:17;2025-02-26 14:24:17;0.77184;20.1723;1.13432;33.75296;26.19364;1.01062;;0.98078;30.62638;25.27504;1.01166;0.74361;20.14332;
2025-02-26 22:24:22;2025-02-26 14:24:22;0.77184;20.1723;1.13432;33.75296;26.19364;1.01062;;0.98175;30.72252;25.27504;1.01163;0.71865;20.19087;
2025-02-26 22:24:27;2025-02-26 14:24:27;0.77184;20.1723;1.13432;33.75296;26.19364;1.01062;;0.98175;30.72252;25.27504;1.01163;0.71865;20.19087;
2025-02-26 22:24:32;2025-02-26 14:24:32;0.7422;20.21966;1.13432;33.75296;26.19364;1.01069;;0.98175;30.72252;25.27504;1.01165;0.70063;20.22072;
2025-02-26 22:24:37;2025-02-26 14:24:37;0.7422;20.21966;1.13769;33.79416;26.22301;1.01069;;0.98176;30.76677;25.31777;1.01165;0.70063;20.22072;
2025-02-26 22:24:42;2025-02-26 14:24:42;0.7422;20.21966;1.13769;33.79416;26.22301;1.01069;;0.98176;30.76677;25.31777;1.01165;0.70063;20.22072;
2025-02-26 22:24:47;2025-02-26 14:24:47;0.7276;20.2467;1.14128;33.82925;26.19364;1.01067;;0.98263;30.79118;25.30442;1.01167;0.68292;20.23898;
2025-02-26 22:24:52;2025-02-26 14:24:52;0.7276;20.2467;1.14128;33.82925;26.19364;1.01067;;0.98263;30.79118;25.30442;1.01167;0.68292;20.23898;
2025-02-26 22:24:57;2025-02-26 14:24:57;0.71285;20.26179;1.14075;33.85366;26.20966;1.01067;;0.98473;30.84611;25.30442;1.01169;0.67481;20.26884;
