
                                              MFCS/win                    Report printed:                2025-03-03 12:30:26
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_1               Batch created:            2025-02-26 14:24:04

 Experiment Start:          2025-02-26 14:24:04                 Experiment Stop:          2025-02-28 15:25:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:05             0.000                   0

26-02-2025 14:54:05             0.500                   0
26-02-2025 15:24:05             1.000                   0
26-02-2025 15:54:05             1.500                   0

26-02-2025 16:24:05             2.000                   0
26-02-2025 16:54:05             2.500                   0
26-02-2025 17:24:05             3.000                   0

26-02-2025 17:54:05             3.500                   1
26-02-2025 18:24:05             4.000                   1

26-02-2025 18:54:05             4.500                   1
26-02-2025 19:09:44             4.761                   3
26-02-2025 19:09:59             4.765                   3

26-02-2025 19:11:29             4.790                   5
26-02-2025 19:11:44             4.794                   6

26-02-2025 19:12:44             4.811                   7
26-02-2025 19:12:59             4.815                   8
26-02-2025 19:24:05             5.000                   9

26-02-2025 19:54:05             5.500                   9
26-02-2025 20:24:05             6.000                   9

26-02-2025 20:54:05             6.500                   10
26-02-2025 21:24:05             7.000                   10
26-02-2025 21:54:05             7.500                   11

26-02-2025 22:24:05             8.000                   11
26-02-2025 22:54:05             8.500                   12
26-02-2025 23:24:05             9.000                   13

26-02-2025 23:54:05             9.500                   14
27-02-2025 00:24:05            10.000                   15

27-02-2025 00:54:05            10.500                   16
27-02-2025 01:24:05            11.000                   17
27-02-2025 01:54:05            11.500                   18

27-02-2025 02:24:05            12.000                   19
27-02-2025 02:54:05            12.500                   20

27-02-2025 03:24:05            13.000                   21
27-02-2025 03:54:05            13.500                   22
27-02-2025 04:24:05            14.000                   23

27-02-2025 04:54:05            14.500                   24


27-02-2025 05:24:05            15.000                   25
27-02-2025 05:54:05            15.500                   27

27-02-2025 06:24:05            16.000                   27
27-02-2025 06:54:05            16.500                   28
27-02-2025 07:24:05            17.000                   29

27-02-2025 07:54:05            17.500                   31
27-02-2025 08:24:05            18.000                   32

27-02-2025 08:54:05            18.500                   34
27-02-2025 09:24:05            19.000                   36
27-02-2025 09:54:05            19.500                   38

27-02-2025 10:23:06            19.984                   40
27-02-2025 10:23:21            19.988                   40

27-02-2025 10:24:05            20.000                   40
27-02-2025 10:51:37            20.459                   42
27-02-2025 10:51:52            20.463                   42

27-02-2025 10:54:05            20.500                   42
27-02-2025 11:20:56            20.948                   44
27-02-2025 11:21:11            20.952                   44

27-02-2025 11:24:05            21.000                   44
27-02-2025 11:50:42            21.444                   46

27-02-2025 11:50:57            21.448                   46
27-02-2025 11:54:05            21.500                   46
27-02-2025 12:20:46            21.945                   48

27-02-2025 12:21:01            21.949                   48
27-02-2025 12:24:05            22.000                   48

27-02-2025 12:48:02            22.399                   50
27-02-2025 12:48:17            22.404                   50
27-02-2025 12:54:05            22.500                   51

27-02-2025 13:18:48            22.912                   53
27-02-2025 13:19:03            22.916                   53

27-02-2025 13:24:05            23.000                   53
27-02-2025 13:46:33            23.375                   55
27-02-2025 13:46:48            23.379                   55

27-02-2025 13:54:05            23.500                   56
27-02-2025 14:16:20            23.871                   58
27-02-2025 14:16:35            23.875                   58

27-02-2025 14:24:05            24.000                   59
27-02-2025 14:44:06            24.334                   61

27-02-2025 14:44:21            24.338                   61
27-02-2025 14:54:05            24.500                   62
27-02-2025 15:14:38            24.843                   64

27-02-2025 15:14:53            24.847                   64
27-02-2025 15:24:05            25.000                   65

27-02-2025 15:42:24            25.306                   66
27-02-2025 15:42:39            25.310                   67
27-02-2025 15:54:05            25.500                   68

27-02-2025 16:13:54            25.831                   69
27-02-2025 16:14:09            25.835                   70

27-02-2025 16:24:05            26.000                   70
27-02-2025 16:45:25            26.356                   72
27-02-2025 16:45:40            26.360                   72

27-02-2025 16:54:05            26.500                   73

27-02-2025 17:14:41            26.844                   75
27-02-2025 17:14:56            26.848                   76

27-02-2025 17:24:05            27.000                   76
27-02-2025 17:43:27            27.323                   78
27-02-2025 17:43:42            27.327                   79

27-02-2025 17:54:05            27.500                   80
27-02-2025 18:11:45            27.795                   81

27-02-2025 18:12:00            27.799                   82
27-02-2025 18:24:05            28.000                   83
27-02-2025 18:41:46            28.295                   85

27-02-2025 18:42:01            28.299                   85
27-02-2025 18:54:05            28.500                   86

27-02-2025 19:12:02            28.799                   88
27-02-2025 19:12:17            28.804                   88
27-02-2025 19:24:05            29.000                   89

27-02-2025 19:42:34            29.308                   91
27-02-2025 19:42:49            29.312                   91
27-02-2025 19:54:05            29.500                   93

27-02-2025 20:11:49            29.796                   95
27-02-2025 20:12:04            29.800                   95

27-02-2025 20:24:05            30.000                   96
27-02-2025 20:41:06            30.284                   98
27-02-2025 20:41:21            30.288                   98

27-02-2025 20:54:05            30.500                   99
27-02-2025 21:10:07            30.767                  101

27-02-2025 21:10:22            30.772                  101
27-02-2025 21:24:05            31.000                  103
27-02-2025 21:38:53            31.247                  105

27-02-2025 21:39:08            31.251                  105
27-02-2025 21:54:05            31.500                  106

27-02-2025 22:09:24            31.756                  108
27-02-2025 22:09:39            31.760                  108
27-02-2025 22:24:05            32.000                  110

27-02-2025 22:40:09            32.268                  112
27-02-2025 22:40:24            32.272                  112
27-02-2025 22:54:05            32.500                  113

27-02-2025 23:10:55            32.781                  115
27-02-2025 23:11:10            32.785                  115

27-02-2025 23:24:05            33.000                  117
27-02-2025 23:40:57            33.281                  119
27-02-2025 23:41:12            33.286                  119

27-02-2025 23:54:05            33.500                  120
28-02-2025 00:10:27            33.773                  122

28-02-2025 00:10:42            33.777                  122
28-02-2025 00:24:05            34.000                  124
28-02-2025 00:41:12            34.286                  126

28-02-2025 00:41:27            34.290                  126
28-02-2025 00:54:05            34.500                  127

28-02-2025 01:09:13            34.753                  129
28-02-2025 01:09:28            34.757                  129
28-02-2025 01:24:05            35.000                  131

28-02-2025 01:42:46            35.312                  133

28-02-2025 01:43:01            35.316                  133
28-02-2025 01:54:05            35.500                  135

28-02-2025 02:10:32            35.774                  136
28-02-2025 02:10:47            35.779                  137
28-02-2025 02:24:05            36.000                  138

28-02-2025 02:41:03            36.283                  140
28-02-2025 02:41:18            36.287                  140

28-02-2025 02:54:05            36.500                  142
28-02-2025 03:11:03            36.783                  144
28-02-2025 03:11:18            36.787                  144

28-02-2025 03:24:05            37.000                  145
28-02-2025 03:41:04            37.283                  147

28-02-2025 03:41:19            37.287                  147
28-02-2025 03:54:05            37.500                  149
28-02-2025 04:11:20            37.788                  151

28-02-2025 04:11:35            37.792                  151
28-02-2025 04:24:05            38.000                  152
28-02-2025 04:40:05            38.267                  154

28-02-2025 04:40:20            38.271                  154
28-02-2025 04:54:05            38.500                  156

28-02-2025 05:08:53            38.747                  158
28-02-2025 05:09:08            38.751                  158
28-02-2025 05:24:05            39.000                  159

28-02-2025 05:37:54            39.231                  161
28-02-2025 05:38:10            39.235                  161

28-02-2025 05:54:05            39.500                  163
28-02-2025 06:10:13            39.769                  165
28-02-2025 06:10:28            39.773                  165

28-02-2025 06:24:05            40.000                  167
28-02-2025 06:40:59            40.282                  168

28-02-2025 06:41:14            40.286                  169
28-02-2025 06:54:05            40.500                  170
28-02-2025 07:10:46            40.778                  172

28-02-2025 07:11:01            40.783                  172
28-02-2025 07:24:05            41.000                  173
28-02-2025 07:40:01            41.266                  175

