
                                              MFCS/win                    Report printed:                2025-03-03 12:30:27
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_1               Batch created:            2025-02-26 14:24:04

 Experiment Start:          2025-02-26 14:24:04                 Experiment Stop:          2025-02-28 15:25:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

26-02-2025 14:24:05             0.000                  400

26-02-2025 14:54:05             0.500                  400
26-02-2025 15:24:05             1.000                  400
26-02-2025 15:54:05             1.500                  400

26-02-2025 16:13:08             1.818                  403
26-02-2025 16:13:23             1.822                  403
26-02-2025 16:20:23             1.939                  406

26-02-2025 16:20:38             1.943                  406
26-02-2025 16:24:05             2.000                  407

26-02-2025 16:26:23             2.039                  410
26-02-2025 16:26:38             2.043                  410
26-02-2025 16:29:08             2.084                  408

26-02-2025 16:29:23             2.089                  407
26-02-2025 16:32:53             2.147                  410

26-02-2025 16:33:08             2.151                  410
26-02-2025 16:37:23             2.222                  413
26-02-2025 16:37:38             2.226                  413

26-02-2025 16:45:38             2.359                  416
26-02-2025 16:45:53             2.364                  416

26-02-2025 16:49:23             2.422                  419
26-02-2025 16:49:38             2.426                  419
26-02-2025 16:51:53             2.464                  417

26-02-2025 16:52:08             2.468                  416
26-02-2025 16:54:05             2.500                  419
26-02-2025 16:56:38             2.543                  421

26-02-2025 16:56:53             2.547                  422
26-02-2025 16:59:09             2.585                  419

26-02-2025 16:59:24             2.589                  418
26-02-2025 17:04:54             2.681                  421
26-02-2025 17:05:09             2.685                  421

26-02-2025 17:11:25             2.789                  419
26-02-2025 17:11:40             2.793                  418

26-02-2025 17:21:11             2.952                  416
26-02-2025 17:21:26             2.956                  414
26-02-2025 17:22:11             2.969                  411

26-02-2025 17:22:26             2.973                  411


26-02-2025 17:24:05             3.000                  409
26-02-2025 17:29:11             3.085                  406

26-02-2025 17:29:26             3.089                  406
26-02-2025 17:39:56             3.264                  403
26-02-2025 17:40:11             3.269                  403

26-02-2025 17:54:05             3.500                  403
26-02-2025 18:03:27             3.656                  405

26-02-2025 18:03:42             3.661                  406
26-02-2025 18:10:27             3.773                  408
26-02-2025 18:10:42             3.777                  409

26-02-2025 18:19:28             3.923                  412
26-02-2025 18:19:43             3.927                  412

26-02-2025 18:24:05             4.000                  412
26-02-2025 18:29:58             4.098                  414
26-02-2025 18:30:13             4.102                  415

26-02-2025 18:40:58             4.282                  418
26-02-2025 18:41:13             4.286                  419
26-02-2025 18:51:43             4.461                  421

26-02-2025 18:51:58             4.465                  422
26-02-2025 18:54:05             4.500                  423

26-02-2025 19:02:59             4.649                  425
26-02-2025 19:03:14             4.653                  426
26-02-2025 19:14:44             4.844                  428

26-02-2025 19:14:59             4.849                  429
26-02-2025 19:19:44             4.928                  431

26-02-2025 19:20:00             4.932                  432
26-02-2025 19:24:05             5.000                  431
26-02-2025 19:28:15             5.070                  434

26-02-2025 19:28:30             5.074                  434
26-02-2025 19:36:30             5.207                  437

26-02-2025 19:36:45             5.211                  437
26-02-2025 19:50:47             5.445                  440
26-02-2025 19:51:02             5.449                  441

26-02-2025 19:54:05             5.500                  443
26-02-2025 20:01:47             5.629                  444
26-02-2025 20:02:02             5.633                  446

26-02-2025 20:06:32             5.708                  448
26-02-2025 20:06:47             5.712                  449

26-02-2025 20:12:03             5.800                  451
26-02-2025 20:12:18             5.804                  452
26-02-2025 20:13:48             5.829                  449

26-02-2025 20:14:03             5.833                  448
26-02-2025 20:17:18             5.887                  450

26-02-2025 20:17:33             5.891                  451
26-02-2025 20:18:33             5.908                  448
26-02-2025 20:18:48             5.912                  448

26-02-2025 20:24:05             6.000                  449
26-02-2025 20:37:18             6.221                  452

26-02-2025 20:37:33             6.225                  453
26-02-2025 20:43:33             6.325                  455
26-02-2025 20:43:48             6.329                  456

26-02-2025 20:49:33             6.425                  458

26-02-2025 20:49:48             6.429                  459
26-02-2025 20:54:05             6.500                  459

26-02-2025 21:00:50             6.613                  461
26-02-2025 21:01:05             6.617                  462
26-02-2025 21:07:05             6.717                  464

26-02-2025 21:07:20             6.721                  465
26-02-2025 21:12:50             6.813                  467

26-02-2025 21:13:05             6.817                  468
26-02-2025 21:18:50             6.913                  471
26-02-2025 21:19:05             6.917                  471

26-02-2025 21:23:35             6.992                  474
26-02-2025 21:23:50             6.996                  474

26-02-2025 21:24:05             7.000                  474
26-02-2025 21:33:35             7.159                  477
26-02-2025 21:33:50             7.163                  477

26-02-2025 21:42:06             7.301                  480
26-02-2025 21:42:21             7.305                  481
26-02-2025 21:45:36             7.359                  483

26-02-2025 21:45:51             7.363                  484
26-02-2025 21:54:05             7.500                  486

26-02-2025 22:01:21             7.621                  489
26-02-2025 22:01:36             7.626                  489
26-02-2025 22:08:36             7.742                  492

