
                                              MFCS/win                    Report printed:                2025-03-03 12:30:28
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_1               Batch created:            2025-02-26 14:24:04

 Experiment Start:          2025-02-26 14:24:04                 Experiment Stop:          2025-02-28 15:25:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:05             0.000                   0

26-02-2025 14:54:05             0.500                  .50
26-02-2025 15:24:05             1.000                  1.00
26-02-2025 15:54:05             1.500                  1.50

26-02-2025 16:24:05             2.000                  2.00
26-02-2025 16:54:05             2.500                  2.50
26-02-2025 17:24:05             3.000                  3.00

26-02-2025 17:54:05             3.500                  3.50
26-02-2025 18:24:05             4.000                  4.00

26-02-2025 18:54:05             4.500                  4.50
26-02-2025 19:24:05             5.000                  5.00
26-02-2025 19:54:05             5.500                  5.50

26-02-2025 20:24:05             6.000                  6.00
26-02-2025 20:54:05             6.500                  6.50

26-02-2025 21:24:05             7.000                  7.00
26-02-2025 21:54:05             7.500                  7.50
26-02-2025 22:24:05             8.000                  8.00

26-02-2025 22:54:05             8.500                  8.50
26-02-2025 23:24:05             9.000                  9.00

26-02-2025 23:54:05             9.500                  9.50
27-02-2025 00:24:05            10.000                 10.00
27-02-2025 00:54:05            10.500                 10.50

27-02-2025 01:24:05            11.000                 11.00
27-02-2025 01:54:05            11.500                 11.50
27-02-2025 02:24:05            12.000                 12.00

27-02-2025 02:54:05            12.500                 12.50
27-02-2025 03:24:05            13.000                 13.00

27-02-2025 03:54:05            13.500                 13.50
27-02-2025 04:24:05            14.000                 14.00
27-02-2025 04:54:05            14.500                 14.50

27-02-2025 05:24:05            15.000                 15.00
27-02-2025 05:54:05            15.500                 15.50

27-02-2025 06:24:05            16.000                 16.00
27-02-2025 06:54:05            16.500                 16.50
27-02-2025 07:24:05            17.000                 17.00

27-02-2025 07:54:05            17.500                 17.50


27-02-2025 08:24:05            18.000                 18.00
27-02-2025 08:54:05            18.500                 18.50

27-02-2025 09:24:05            19.000                 19.00
27-02-2025 09:54:05            19.500                 19.50
27-02-2025 10:24:05            20.000                 20.00

27-02-2025 10:54:05            20.500                 20.50
27-02-2025 11:24:05            21.000                 21.00

27-02-2025 11:54:05            21.500                 21.50
27-02-2025 12:24:05            22.000                 22.00
27-02-2025 12:54:05            22.500                 22.50

27-02-2025 13:24:05            23.000                 23.00
27-02-2025 13:54:05            23.500                 23.50

27-02-2025 14:24:05            24.000                 24.00
27-02-2025 14:54:05            24.500                 24.50
27-02-2025 15:24:05            25.000                 25.00

27-02-2025 15:54:05            25.500                 25.50
27-02-2025 16:24:05            26.000                 26.00
27-02-2025 16:54:05            26.500                 26.50

27-02-2025 17:24:05            27.000                 27.00
27-02-2025 17:54:05            27.500                 27.50

27-02-2025 18:24:05            28.000                 28.00
27-02-2025 18:54:05            28.500                 28.50
27-02-2025 19:24:05            29.000                 29.00

27-02-2025 19:54:05            29.500                 29.50
27-02-2025 20:24:05            30.000                 30.00

27-02-2025 20:54:05            30.500                 30.50
27-02-2025 21:24:05            31.000                 31.00
27-02-2025 21:54:05            31.500                 31.50

27-02-2025 22:24:05            32.000                 32.00
27-02-2025 22:54:05            32.500                 32.50

27-02-2025 23:24:05            33.000                 33.00
27-02-2025 23:54:05            33.500                 33.50
28-02-2025 00:24:05            34.000                 34.00

28-02-2025 00:54:05            34.500                 34.50
28-02-2025 01:24:05            35.000                 35.00
28-02-2025 01:54:05            35.500                 35.50

28-02-2025 02:24:05            36.000                 36.00
28-02-2025 02:54:05            36.500                 36.50

28-02-2025 03:24:05            37.000                 37.00
28-02-2025 03:54:05            37.500                 37.50
28-02-2025 04:24:05            38.000                 38.00

28-02-2025 04:54:05            38.500                 38.50
28-02-2025 05:24:05            39.000                 39.00

28-02-2025 05:54:05            39.500                 39.50
28-02-2025 06:24:05            40.000                 40.00
28-02-2025 06:54:05            40.500                 40.50

28-02-2025 07:24:05            41.000                 41.00
28-02-2025 07:54:05            41.500                 41.50

28-02-2025 08:24:05            42.000                 42.00
28-02-2025 08:54:05            42.500                 42.50
28-02-2025 09:24:05            43.000                 43.00

28-02-2025 09:54:05            43.500                 43.50

28-02-2025 10:24:05            44.000                 44.00
28-02-2025 10:54:05            44.500                 44.50

28-02-2025 11:24:05            45.000                 45.00
28-02-2025 11:54:05            45.500                 45.50
28-02-2025 12:24:05            46.000                 46.00

28-02-2025 12:54:05            46.500                 46.50
28-02-2025 13:24:05            47.000                 47.00

28-02-2025 13:54:05            47.500                 47.50
28-02-2025 14:24:05            48.000                 48.00
28-02-2025 14:54:05            48.500                 48.50

28-02-2025 15:24:05            49.000                 49.00
28-02-2025 15:25:02            49.016                 49.02
