
                                              MFCS/win                    Report printed:                2025-03-03 12:30:20
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_1               Batch created:            2025-02-26 14:24:04

 Experiment Start:          2025-02-26 14:24:04                 Experiment Stop:          2025-02-28 15:25:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:05             0.000                  401

26-02-2025 14:54:05             0.500                  401
26-02-2025 15:24:05             1.000                  401
26-02-2025 15:54:05             1.500                  401

26-02-2025 16:13:23             1.822                  401
26-02-2025 16:13:38             1.826                  405
26-02-2025 16:21:38             1.959                  406

26-02-2025 16:21:53             1.964                  409
26-02-2025 16:22:38             1.976                  409

26-02-2025 16:22:53             1.980                  405
26-02-2025 16:23:53             1.997                  405
26-02-2025 16:24:05             2.000                  409

26-02-2025 16:29:23             2.089                  409
26-02-2025 16:29:38             2.093                  405

26-02-2025 16:30:53             2.114                  405
26-02-2025 16:31:08             2.118                  408
26-02-2025 16:35:23             2.189                  410

26-02-2025 16:35:38             2.193                  411
26-02-2025 16:38:53             2.247                  412

26-02-2025 16:39:08             2.251                  414
26-02-2025 16:49:23             2.422                  416
26-02-2025 16:49:38             2.426                  418

26-02-2025 16:52:23             2.472                  416
26-02-2025 16:52:38             2.476                  415
26-02-2025 16:54:05             2.500                  416

26-02-2025 16:55:08             2.518                  418
26-02-2025 16:55:23             2.522                  420

26-02-2025 16:59:09             2.585                  420
26-02-2025 16:59:24             2.589                  416
26-02-2025 17:00:09             2.601                  418

26-02-2025 17:00:24             2.606                  420
26-02-2025 17:10:40             2.777                  420

26-02-2025 17:10:55             2.781                  417
26-02-2025 17:17:26             2.889                  420
26-02-2025 17:17:41             2.894                  420

26-02-2025 17:20:41             2.944                  417


26-02-2025 17:20:56             2.948                  416
26-02-2025 17:21:11             2.952                  416

26-02-2025 17:21:26             2.956                  413
26-02-2025 17:21:56             2.964                  412
26-02-2025 17:22:11             2.969                  410

26-02-2025 17:24:05             3.000                  409
26-02-2025 17:28:11             3.069                  406

26-02-2025 17:28:26             3.073                  405
26-02-2025 17:31:56             3.131                  407
26-02-2025 17:32:11             3.135                  408

26-02-2025 17:32:41             3.144                  406
26-02-2025 17:32:56             3.148                  405

26-02-2025 17:40:11             3.269                  402
26-02-2025 17:40:26             3.273                  401
26-02-2025 17:47:56             3.398                  404

26-02-2025 17:48:11             3.402                  405
26-02-2025 17:48:26             3.406                  402
26-02-2025 17:54:05             3.500                  401

26-02-2025 17:55:12             3.519                  403
26-02-2025 17:55:27             3.523                  405

26-02-2025 17:59:12             3.586                  403
26-02-2025 17:59:27             3.590                  401
26-02-2025 18:00:57             3.615                  404

26-02-2025 18:01:12             3.619                  404
26-02-2025 18:08:57             3.748                  406

26-02-2025 18:09:12             3.752                  408
26-02-2025 18:18:58             3.915                  411
26-02-2025 18:19:13             3.919                  411

26-02-2025 18:24:05             4.000                  411
26-02-2025 18:34:58             4.182                  414

26-02-2025 18:35:13             4.186                  416
26-02-2025 18:41:28             4.290                  418
26-02-2025 18:41:43             4.294                  420

26-02-2025 18:41:58             4.298                  420
26-02-2025 18:42:13             4.302                  416
26-02-2025 18:42:28             4.307                  416

26-02-2025 18:42:43             4.311                  420
26-02-2025 18:43:28             4.323                  420

26-02-2025 18:43:43             4.328                  416
26-02-2025 18:44:28             4.340                  419
26-02-2025 18:44:43             4.344                  420

26-02-2025 18:48:58             4.415                  417
26-02-2025 18:49:13             4.419                  416

26-02-2025 18:49:43             4.427                  417
26-02-2025 18:49:58             4.432                  419
26-02-2025 18:52:13             4.469                  420

26-02-2025 18:52:28             4.473                  423
26-02-2025 18:54:05             4.500                  423

26-02-2025 18:57:13             4.552                  422
26-02-2025 18:57:28             4.557                  420
26-02-2025 19:00:28             4.607                  420

26-02-2025 19:00:43             4.611                  424

26-02-2025 19:04:29             4.674                  424
26-02-2025 19:04:44             4.678                  427

26-02-2025 19:06:14             4.703                  424
26-02-2025 19:06:29             4.707                  424
26-02-2025 19:08:29             4.740                  424

26-02-2025 19:08:44             4.744                  428
26-02-2025 19:11:59             4.799                  427

26-02-2025 19:12:14             4.803                  424
26-02-2025 19:12:29             4.807                  426
26-02-2025 19:12:44             4.811                  427

26-02-2025 19:19:44             4.928                  429
26-02-2025 19:20:00             4.932                  431

26-02-2025 19:24:05             5.000                  431
26-02-2025 19:27:30             5.057                  432
26-02-2025 19:27:45             5.061                  435

26-02-2025 19:36:45             5.211                  436
26-02-2025 19:37:00             5.216                  439
26-02-2025 19:51:32             5.458                  441

26-02-2025 19:51:47             5.462                  442
26-02-2025 19:54:05             5.500                  442

26-02-2025 19:58:17             5.570                  443
26-02-2025 19:58:32             5.574                  446
26-02-2025 19:59:32             5.591                  445

26-02-2025 19:59:47             5.595                  442
26-02-2025 20:02:02             5.633                  444

26-02-2025 20:02:17             5.637                  446
26-02-2025 20:04:02             5.666                  445
26-02-2025 20:04:17             5.670                  442

26-02-2025 20:04:32             5.674                  446
26-02-2025 20:11:18             5.787                  446

26-02-2025 20:11:33             5.791                  450
26-02-2025 20:14:03             5.833                  449
26-02-2025 20:14:18             5.837                  446

26-02-2025 20:15:18             5.854                  446
26-02-2025 20:15:33             5.858                  450
26-02-2025 20:18:03             5.900                  448

26-02-2025 20:18:18             5.904                  446
26-02-2025 20:23:48             5.996                  446

26-02-2025 20:24:03             6.000                  450
26-02-2025 20:24:05             6.000                  450
26-02-2025 20:25:18             6.021                  449

26-02-2025 20:25:33             6.025                  446
26-02-2025 20:27:18             6.054                  447

26-02-2025 20:27:33             6.058                  449
26-02-2025 20:37:48             6.229                  452
26-02-2025 20:38:03             6.233                  453

26-02-2025 20:40:18             6.271                  451
26-02-2025 20:40:33             6.275                  450

26-02-2025 20:42:33             6.308                  452
26-02-2025 20:42:48             6.312                  454
26-02-2025 20:44:18             6.337                  456

26-02-2025 20:44:33             6.341                  458

26-02-2025 20:45:33             6.358                  456
26-02-2025 20:45:48             6.362                  454

26-02-2025 20:49:03             6.416                  454
26-02-2025 20:49:18             6.421                  458
26-02-2025 20:54:05             6.500                  458

26-02-2025 20:55:19             6.521                  459
26-02-2025 20:55:35             6.525                  461

26-02-2025 20:56:35             6.542                  461
26-02-2025 20:56:50             6.546                  458
26-02-2025 20:58:20             6.571                  460

26-02-2025 20:58:35             6.575                  461
26-02-2025 21:06:50             6.713                  462

26-02-2025 21:07:05             6.717                  465
26-02-2025 21:13:05             6.817                  466
26-02-2025 21:13:20             6.821                  469

26-02-2025 21:23:05             6.984                  469
26-02-2025 21:23:20             6.988                  472
26-02-2025 21:24:05             7.000                  472

26-02-2025 21:31:05             7.117                  473
26-02-2025 21:31:20             7.121                  476

26-02-2025 21:41:20             7.288                  478
26-02-2025 21:41:36             7.292                  480
26-02-2025 21:44:36             7.342                  482

26-02-2025 21:44:51             7.346                  483
26-02-2025 21:54:05             7.500                  484

26-02-2025 21:56:36             7.542                  484
26-02-2025 21:56:51             7.546                  488
26-02-2025 21:58:51             7.580                  485

26-02-2025 21:59:06             7.584                  484
26-02-2025 21:59:21             7.588                  488

26-02-2025 22:04:36             7.676                  488
26-02-2025 22:04:51             7.680                  491
26-02-2025 22:11:36             7.792                  492

26-02-2025 22:11:51             7.796                  495
26-02-2025 22:13:22             7.822                  493
26-02-2025 22:13:37             7.826                  491

26-02-2025 22:14:37             7.842                  494
26-02-2025 22:14:52             7.847                  495

26-02-2025 22:18:37             7.909                  497
26-02-2025 22:18:52             7.913                  499
26-02-2025 22:19:22             7.922                  498

26-02-2025 22:19:37             7.926                  495
26-02-2025 22:22:37             7.976                  498

26-02-2025 22:22:52             7.980                  499
26-02-2025 22:24:05             8.000                  499
26-02-2025 22:29:52             8.097                  499

26-02-2025 22:30:07             8.101                  502
26-02-2025 22:31:22             8.122                  501

26-02-2025 22:31:37             8.126                  499
26-02-2025 22:33:07             8.151                  501
26-02-2025 22:33:22             8.155                  502

26-02-2025 22:44:38             8.343                  504

26-02-2025 22:44:53             8.347                  506
26-02-2025 22:46:38             8.376                  504

26-02-2025 22:46:53             8.380                  502
26-02-2025 22:47:53             8.397                  504
26-02-2025 22:48:08             8.401                  506

26-02-2025 22:54:05             8.500                  506
26-02-2025 22:54:23             8.505                  509

26-02-2025 22:54:38             8.509                  510
26-02-2025 22:54:53             8.514                  506
26-02-2025 22:57:08             8.551                  506

26-02-2025 22:57:23             8.555                  510
26-02-2025 23:01:39             8.626                  510

26-02-2025 23:01:54             8.631                  507
26-02-2025 23:03:09             8.651                  510
26-02-2025 23:03:24             8.656                  510

26-02-2025 23:04:24             8.672                  512
26-02-2025 23:04:39             8.676                  514
26-02-2025 23:04:54             8.681                  512

26-02-2025 23:05:09             8.685                  510
26-02-2025 23:08:25             8.739                  512

26-02-2025 23:08:40             8.743                  513
26-02-2025 23:08:55             8.747                  510
26-02-2025 23:12:40             8.810                  513

26-02-2025 23:12:55             8.814                  514
26-02-2025 23:18:26             8.906                  515

26-02-2025 23:18:41             8.910                  518
26-02-2025 23:19:41             8.927                  516
26-02-2025 23:19:56             8.931                  514

