
                                              MFCS/win                    Report printed:                2025-03-03 12:30:24
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_1               Batch created:            2025-02-26 14:24:04

 Experiment Start:          2025-02-26 14:24:04                 Experiment Stop:          2025-02-28 15:25:03

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:05             0.000                 14.44

26-02-2025 14:54:05             0.500                 14.42
26-02-2025 15:06:07             0.701                 14.41
26-02-2025 15:06:22             0.705                 14.86

26-02-2025 15:11:52             0.797                 14.66
26-02-2025 15:12:07             0.801                 14.66
26-02-2025 15:24:05             1.000                 14.66

26-02-2025 15:54:05             1.500                 14.67
26-02-2025 16:24:05             2.000                 14.63

26-02-2025 16:54:05             2.500                 14.65
26-02-2025 17:09:25             2.756                 14.68
26-02-2025 17:09:40             2.760                 15.07

26-02-2025 17:14:56             2.848                 15.02
26-02-2025 17:15:11             2.852                 15.31

26-02-2025 17:15:26             2.856                 16.04
26-02-2025 17:15:41             2.860                 15.03
26-02-2025 17:24:05             3.000                 14.98

26-02-2025 17:54:05             3.500                 15.01
26-02-2025 18:24:05             4.000                 15.06

26-02-2025 18:54:05             4.500                 15.06
26-02-2025 19:24:05             5.000                 15.07
26-02-2025 19:54:05             5.500                 15.10

26-02-2025 20:24:05             6.000                 15.01
26-02-2025 20:54:05             6.500                 15.02
26-02-2025 21:24:05             7.000                 15.04

26-02-2025 21:54:05             7.500                 15.05
26-02-2025 22:24:05             8.000                 15.04

26-02-2025 22:54:05             8.500                 15.04
26-02-2025 23:24:05             9.000                 15.04
26-02-2025 23:54:05             9.500                 15.05

27-02-2025 00:24:05            10.000                 15.03
27-02-2025 00:54:05            10.500                 15.05

27-02-2025 01:24:05            11.000                 15.06
27-02-2025 01:54:05            11.500                 15.07
27-02-2025 02:24:05            12.000                 15.06

27-02-2025 02:54:05            12.500                 15.05


27-02-2025 03:24:05            13.000                 15.07
27-02-2025 03:54:05            13.500                 15.07

27-02-2025 04:24:05            14.000                 15.06
27-02-2025 04:54:05            14.500                 15.06
27-02-2025 05:24:05            15.000                 15.06

27-02-2025 05:54:05            15.500                 15.07
27-02-2025 06:24:05            16.000                 15.07

27-02-2025 06:54:05            16.500                 15.07
27-02-2025 07:24:05            17.000                 15.05
27-02-2025 07:54:05            17.500                 15.04

27-02-2025 08:24:05            18.000                 15.01
27-02-2025 08:54:05            18.500                 15.01

27-02-2025 09:24:05            19.000                 15.00
27-02-2025 09:54:05            19.500                 14.99
27-02-2025 10:24:05            20.000                 15.09

27-02-2025 10:54:05            20.500                 15.07
27-02-2025 11:24:05            21.000                 15.08
27-02-2025 11:54:05            21.500                 15.09

27-02-2025 12:24:05            22.000                 15.08
27-02-2025 12:54:05            22.500                 15.08

27-02-2025 13:24:05            23.000                 15.06
27-02-2025 13:54:05            23.500                 15.05
27-02-2025 14:24:05            24.000                 15.04

27-02-2025 14:46:51            24.380                 15.02
27-02-2025 14:47:06            24.384                 14.54

27-02-2025 14:47:22            24.388                 14.56
27-02-2025 14:47:37            24.392                 14.87
27-02-2025 14:54:05            24.500                 14.87

27-02-2025 15:24:05            25.000                 14.89
27-02-2025 15:54:05            25.500                 14.92

27-02-2025 16:24:05            26.000                 14.88
27-02-2025 16:54:05            26.500                 14.88
27-02-2025 17:24:05            27.000                 14.86

27-02-2025 17:54:05            27.500                 14.90
27-02-2025 18:24:05            28.000                 14.97
27-02-2025 18:54:05            28.500                 15.00

27-02-2025 19:24:05            29.000                 14.98
27-02-2025 19:54:05            29.500                 15.00

27-02-2025 20:24:05            30.000                 14.98
27-02-2025 20:54:05            30.500                 14.98
27-02-2025 21:24:05            31.000                 14.97

27-02-2025 21:54:05            31.500                 14.98
27-02-2025 22:24:05            32.000                 14.98

27-02-2025 22:54:05            32.500                 14.99
27-02-2025 23:24:05            33.000                 14.99
27-02-2025 23:54:05            33.500                 14.97

28-02-2025 00:24:05            34.000                 14.98
28-02-2025 00:54:05            34.500                 14.99

28-02-2025 01:24:05            35.000                 15.01
28-02-2025 01:54:05            35.500                 15.01
28-02-2025 02:24:05            36.000                 15.01

28-02-2025 02:54:05            36.500                 15.01

28-02-2025 03:24:05            37.000                 15.00
28-02-2025 03:54:05            37.500                 15.01

28-02-2025 04:24:05            38.000                 15.01
28-02-2025 04:54:05            38.500                 15.02
28-02-2025 05:24:05            39.000                 15.01

28-02-2025 05:54:05            39.500                 15.01
28-02-2025 06:24:05            40.000                 15.00

28-02-2025 06:54:05            40.500                 15.01
28-02-2025 07:24:05            41.000                 14.99
28-02-2025 07:54:05            41.500                 15.00

28-02-2025 08:24:05            42.000                 14.98
28-02-2025 08:54:05            42.500                 14.93

28-02-2025 09:24:05            43.000                 14.93
28-02-2025 09:54:05            43.500                 14.95
28-02-2025 10:24:05            44.000                 14.93

28-02-2025 10:54:05            44.500                 14.92
28-02-2025 11:24:05            45.000                 14.92
28-02-2025 11:54:05            45.500                 14.92

28-02-2025 12:24:05            46.000                 14.92
28-02-2025 12:54:05            46.500                 14.91

28-02-2025 13:24:05            47.000                 14.92
28-02-2025 13:54:05            47.500                 14.90
28-02-2025 14:24:05            48.000                 14.87

28-02-2025 14:54:05            48.500                 14.91
28-02-2025 15:24:05            49.000                 14.92

28-02-2025 15:25:02            49.016                 14.92
