
                                              MFCS/win                    Report printed:                2025-03-03 12:31:16
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  BASET
                                                    ml
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                   0

26-02-2025 14:54:46             0.501                   0
26-02-2025 15:24:46             1.001                   0
26-02-2025 15:54:46             1.501                   1

26-02-2025 16:24:46             2.001                   1
26-02-2025 16:54:46             2.501                   1
26-02-2025 17:24:46             3.001                   1

26-02-2025 17:54:46             3.501                   1
26-02-2025 18:24:46             4.001                   1

26-02-2025 18:54:46             4.501                   1
26-02-2025 19:24:46             5.001                   1
26-02-2025 19:54:46             5.501                   1

26-02-2025 20:24:46             6.001                   2
26-02-2025 20:54:46             6.501                   2

26-02-2025 21:11:12             6.774                   4
26-02-2025 21:11:27             6.779                   4
26-02-2025 21:24:46             7.001                   6

26-02-2025 21:54:46             7.501                   6
26-02-2025 22:24:46             8.001                   6

26-02-2025 22:54:46             8.501                   7
26-02-2025 23:24:46             9.001                   7
26-02-2025 23:54:46             9.501                   8

27-02-2025 00:24:46            10.001                   9
27-02-2025 00:54:46            10.501                   9
27-02-2025 01:24:46            11.001                   10

27-02-2025 01:54:46            11.501                   11
27-02-2025 02:24:46            12.001                   12

27-02-2025 02:54:46            12.501                   12
27-02-2025 03:24:46            13.001                   13
27-02-2025 03:54:46            13.501                   14

27-02-2025 04:24:46            14.001                   15
27-02-2025 04:54:46            14.501                   15

27-02-2025 05:24:46            15.001                   16
27-02-2025 05:54:46            15.501                   17
27-02-2025 06:24:46            16.001                   18

27-02-2025 06:54:46            16.501                   19


27-02-2025 07:24:46            17.001                   20
27-02-2025 07:54:46            17.501                   20

27-02-2025 08:24:46            18.001                   21
27-02-2025 08:54:46            18.501                   22
27-02-2025 09:24:46            19.001                   23

27-02-2025 09:54:46            19.501                   24
27-02-2025 10:24:46            20.001                   26

27-02-2025 10:54:46            20.501                   27
27-02-2025 11:24:46            21.001                   28
27-02-2025 11:54:46            21.501                   30

27-02-2025 12:24:46            22.001                   32
27-02-2025 12:54:46            22.501                   34

27-02-2025 13:24:46            23.001                   35
27-02-2025 13:54:30            23.496                   37
27-02-2025 13:54:45            23.500                   37

27-02-2025 13:54:46            23.501                   37
27-02-2025 14:24:46            24.001                   39
27-02-2025 14:54:17            24.493                   41

27-02-2025 14:54:32            24.497                   41
27-02-2025 14:54:46            24.501                   41

27-02-2025 15:23:20            24.977                   43
27-02-2025 15:23:35            24.981                   43
27-02-2025 15:24:46            25.001                   44

27-02-2025 15:53:06            25.473                   45
27-02-2025 15:53:21            25.477                   46

27-02-2025 15:54:46            25.501                   46
27-02-2025 16:22:07            25.956                   48
27-02-2025 16:22:22            25.961                   48

27-02-2025 16:24:46            26.001                   48
27-02-2025 16:50:25            26.428                   50

27-02-2025 16:50:40            26.432                   50
27-02-2025 16:54:46            26.501                   50
27-02-2025 17:19:11            26.908                   52

27-02-2025 17:19:26            26.912                   52
27-02-2025 17:24:46            27.001                   53
27-02-2025 17:51:43            27.450                   55

