
                                              MFCS/win                    Report printed:                2025-03-03 12:31:18
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                     Setpoint


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                  400

26-02-2025 14:54:46             0.501                  400
26-02-2025 15:24:46             1.001                  400
26-02-2025 15:54:46             1.501                  400

26-02-2025 16:24:46             2.001                  401
26-02-2025 16:25:34             2.014                  404
26-02-2025 16:25:49             2.018                  404

26-02-2025 16:27:19             2.043                  401
26-02-2025 16:27:34             2.047                  400

26-02-2025 16:31:04             2.106                  402
26-02-2025 16:31:19             2.110                  403
26-02-2025 16:33:34             2.147                  406

26-02-2025 16:33:49             2.151                  407
26-02-2025 16:35:34             2.181                  404

26-02-2025 16:35:49             2.185                  403
26-02-2025 16:40:49             2.268                  405
26-02-2025 16:41:04             2.272                  406

26-02-2025 16:43:34             2.314                  409
26-02-2025 16:43:49             2.318                  409

26-02-2025 16:49:19             2.410                  409
26-02-2025 16:49:34             2.414                  405
26-02-2025 16:49:49             2.418                  409

26-02-2025 16:54:46             2.501                  411
26-02-2025 16:58:49             2.568                  414
26-02-2025 16:59:04             2.572                  414

26-02-2025 17:01:04             2.606                  417
26-02-2025 17:01:19             2.610                  417

26-02-2025 17:02:49             2.635                  415
26-02-2025 17:03:04             2.639                  414
26-02-2025 17:04:34             2.664                  415

26-02-2025 17:04:49             2.668                  418
26-02-2025 17:06:19             2.693                  416

26-02-2025 17:06:34             2.697                  414
26-02-2025 17:08:34             2.731                  412
26-02-2025 17:08:49             2.735                  411

26-02-2025 17:10:04             2.756                  414


26-02-2025 17:10:19             2.760                  415
26-02-2025 17:14:49             2.835                  413

26-02-2025 17:15:04             2.839                  412
26-02-2025 17:16:34             2.864                  409
26-02-2025 17:16:49             2.868                  409

26-02-2025 17:18:19             2.893                  407
26-02-2025 17:18:34             2.897                  405

26-02-2025 17:18:49             2.901                  407
26-02-2025 17:19:04             2.906                  408
26-02-2025 17:19:49             2.918                  410

26-02-2025 17:20:04             2.922                  411
26-02-2025 17:20:19             2.926                  409

26-02-2025 17:20:34             2.931                  408
26-02-2025 17:22:34             2.964                  405
26-02-2025 17:22:49             2.968                  405

26-02-2025 17:24:46             3.001                  404
26-02-2025 17:27:19             3.043                  401
