
                                              MFCS/win                    Report printed:                2025-03-03 12:31:19
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                _BatchAge
                                                      hours
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                   0

26-02-2025 14:54:46             0.501                  .50
26-02-2025 15:24:46             1.001                  1.00
26-02-2025 15:54:46             1.501                  1.50

26-02-2025 16:24:46             2.001                  2.00
26-02-2025 16:54:46             2.501                  2.50
26-02-2025 17:24:46             3.001                  3.00

26-02-2025 17:54:46             3.501                  3.50
26-02-2025 18:24:46             4.001                  4.00

26-02-2025 18:54:46             4.501                  4.50
26-02-2025 19:24:46             5.001                  5.00
26-02-2025 19:54:46             5.501                  5.50

26-02-2025 20:24:46             6.001                  6.00
26-02-2025 20:54:46             6.501                  6.50

26-02-2025 21:24:46             7.001                  7.00
26-02-2025 21:54:46             7.501                  7.50
26-02-2025 22:24:46             8.001                  8.00

26-02-2025 22:54:46             8.501                  8.50
26-02-2025 23:24:46             9.001                  9.00

26-02-2025 23:54:46             9.501                  9.50
27-02-2025 00:24:46            10.001                 10.00
27-02-2025 00:54:46            10.501                 10.50

27-02-2025 01:24:46            11.001                 11.00
27-02-2025 01:54:46            11.501                 11.50
27-02-2025 02:24:46            12.001                 12.00

27-02-2025 02:54:46            12.501                 12.50
27-02-2025 03:24:46            13.001                 13.00

27-02-2025 03:54:46            13.501                 13.50
27-02-2025 04:24:46            14.001                 14.00
27-02-2025 04:54:46            14.501                 14.50

27-02-2025 05:24:46            15.001                 15.00
27-02-2025 05:54:46            15.501                 15.50

27-02-2025 06:24:46            16.001                 16.00
27-02-2025 06:54:46            16.501                 16.50
27-02-2025 07:24:46            17.001                 17.00

27-02-2025 07:54:46            17.501                 17.50


27-02-2025 08:24:46            18.001                 18.00
27-02-2025 08:54:46            18.501                 18.50

27-02-2025 09:24:46            19.001                 19.00
27-02-2025 09:54:46            19.501                 19.50
27-02-2025 10:24:46            20.001                 20.00

27-02-2025 10:54:46            20.501                 20.50
27-02-2025 11:24:46            21.001                 21.00

27-02-2025 11:54:46            21.501                 21.50
27-02-2025 12:24:46            22.001                 22.00
27-02-2025 12:54:46            22.501                 22.50

27-02-2025 13:24:46            23.001                 23.00
27-02-2025 13:54:46            23.501                 23.50

27-02-2025 14:24:46            24.001                 24.00
27-02-2025 14:54:46            24.501                 24.50
27-02-2025 15:24:46            25.001                 25.00

27-02-2025 15:54:46            25.501                 25.50
27-02-2025 16:24:46            26.001                 26.00
27-02-2025 16:54:46            26.501                 26.50

27-02-2025 17:24:46            27.001                 27.00
27-02-2025 17:54:46            27.501                 27.50

27-02-2025 18:24:46            28.001                 28.00
27-02-2025 18:54:46            28.501                 28.50
27-02-2025 19:24:46            29.001                 29.00

27-02-2025 19:54:46            29.501                 29.50
27-02-2025 20:24:46            30.001                 30.00

27-02-2025 20:54:46            30.501                 30.50
27-02-2025 21:24:46            31.001                 31.00
27-02-2025 21:54:46            31.501                 31.50

27-02-2025 22:24:46            32.001                 32.00
27-02-2025 22:54:46            32.501                 32.50

27-02-2025 23:24:46            33.001                 33.00
27-02-2025 23:54:46            33.501                 33.50
28-02-2025 00:24:46            34.001                 34.00

28-02-2025 00:54:46            34.501                 34.50
28-02-2025 01:24:46            35.001                 35.00
28-02-2025 01:54:46            35.501                 35.50

28-02-2025 02:24:46            36.001                 36.00
28-02-2025 02:54:46            36.501                 36.50

28-02-2025 03:24:46            37.001                 37.00
28-02-2025 03:54:46            37.501                 37.50
28-02-2025 04:24:46            38.001                 38.00

28-02-2025 04:54:46            38.501                 38.50
28-02-2025 05:24:46            39.001                 39.00

28-02-2025 05:54:46            39.501                 39.50
28-02-2025 06:24:46            40.001                 40.00
28-02-2025 06:54:46            40.501                 40.50

28-02-2025 07:24:46            41.001                 41.00
28-02-2025 07:54:46            41.501                 41.50

28-02-2025 08:24:46            42.001                 42.00
28-02-2025 08:54:46            42.501                 42.50
28-02-2025 09:24:46            43.001                 43.00

28-02-2025 09:54:46            43.501                 43.50

28-02-2025 10:24:46            44.001                 44.00
28-02-2025 10:54:46            44.501                 44.50

28-02-2025 11:24:46            45.001                 45.00
28-02-2025 11:54:46            45.501                 45.50
28-02-2025 12:24:46            46.001                 46.00

28-02-2025 12:54:46            46.501                 46.50
28-02-2025 13:24:46            47.001                 47.00

28-02-2025 13:54:46            47.501                 47.50
28-02-2025 14:24:46            48.001                 48.00
28-02-2025 14:54:46            48.501                 48.50

28-02-2025 15:24:46            49.001                 49.00
28-02-2025 15:25:09            49.007                 49.01
