
                                              MFCS/win                    Report printed:                2025-03-03 12:31:09
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  STIRR
                                                    rpm
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                  400

26-02-2025 14:54:46             0.501                  401
26-02-2025 15:24:46             1.001                  401
26-02-2025 15:54:46             1.501                  400

26-02-2025 16:24:46             2.001                  401
26-02-2025 16:25:34             2.014                  402
26-02-2025 16:25:49             2.018                  405

26-02-2025 16:26:19             2.026                  402
26-02-2025 16:26:34             2.031                  401

26-02-2025 16:28:34             2.064                  400
26-02-2025 16:28:49             2.068                  398
26-02-2025 16:30:34             2.097                  400

26-02-2025 16:30:49             2.101                  401
26-02-2025 16:32:49             2.135                  403

26-02-2025 16:33:04             2.139                  405
26-02-2025 16:34:04             2.156                  405
26-02-2025 16:34:19             2.160                  409

26-02-2025 16:34:34             2.164                  405
26-02-2025 16:35:34             2.181                  405

26-02-2025 16:35:49             2.185                  402
26-02-2025 16:40:04             2.256                  401
26-02-2025 16:40:19             2.260                  405

26-02-2025 16:41:19             2.276                  405
26-02-2025 16:41:34             2.281                  409
26-02-2025 16:44:34             2.331                  410

26-02-2025 16:44:49             2.335                  412
26-02-2025 16:45:34             2.347                  410

26-02-2025 16:45:49             2.351                  409
26-02-2025 16:50:34             2.431                  409
26-02-2025 16:50:49             2.435                  412

26-02-2025 16:51:19             2.443                  412
26-02-2025 16:51:34             2.447                  409

26-02-2025 16:51:49             2.451                  412
26-02-2025 16:52:34             2.464                  409
26-02-2025 16:52:49             2.468                  409

26-02-2025 16:54:04             2.489                  410


26-02-2025 16:54:19             2.493                  412
26-02-2025 16:54:46             2.501                  412

26-02-2025 16:55:34             2.514                  410
26-02-2025 16:55:49             2.518                  409
26-02-2025 16:57:19             2.543                  411

26-02-2025 16:57:34             2.547                  412
26-02-2025 16:59:49             2.585                  414

26-02-2025 17:00:04             2.589                  416
26-02-2025 17:03:04             2.639                  414
26-02-2025 17:03:19             2.643                  412

26-02-2025 17:04:34             2.664                  414
26-02-2025 17:04:49             2.668                  416

26-02-2025 17:06:34             2.697                  415
26-02-2025 17:06:49             2.701                  413
26-02-2025 17:09:19             2.743                  412

26-02-2025 17:09:34             2.747                  409
26-02-2025 17:09:49             2.751                  412
