
                                              MFCS/win                    Report printed:                2025-03-03 12:31:12
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                   pH_A
                                                    pH
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                  5.62

26-02-2025 14:54:46             0.501                  5.60
26-02-2025 15:24:46             1.001                  5.56
26-02-2025 15:54:46             1.501                  5.59

26-02-2025 16:24:46             2.001                  5.57
26-02-2025 16:54:46             2.501                  5.59
26-02-2025 17:24:46             3.001                  5.57

26-02-2025 17:47:37             3.381                  5.60
26-02-2025 17:47:52             3.386                  5.67

26-02-2025 17:54:46             3.501                  5.66
26-02-2025 18:09:07             3.740                  5.56
26-02-2025 18:09:22             3.744                  5.56

26-02-2025 18:24:46             4.001                  5.54
26-02-2025 18:25:52             4.019                  5.62

26-02-2025 18:26:07             4.023                  5.65
26-02-2025 18:38:07             4.223                  5.55
26-02-2025 18:38:22             4.227                  5.55

26-02-2025 18:54:46             4.501                  5.64
26-02-2025 19:10:08             4.757                  5.54

26-02-2025 19:10:23             4.761                  5.54
26-02-2025 19:18:53             4.902                  5.53
26-02-2025 19:19:08             4.907                  5.67

26-02-2025 19:24:46             5.001                  5.61
26-02-2025 19:54:46             5.501                  5.64
26-02-2025 20:02:23             5.627                  5.54

26-02-2025 20:02:38             5.632                  5.54
26-02-2025 20:14:08             5.823                  5.61

26-02-2025 20:14:23             5.828                  5.64
26-02-2025 20:21:09             5.940                  5.55
26-02-2025 20:21:24             5.944                  5.54

26-02-2025 20:22:24             5.961                  5.53
26-02-2025 20:22:39             5.965                  5.65

26-02-2025 20:24:46             6.001                  5.62
26-02-2025 20:54:46             6.501                  5.54
26-02-2025 21:12:12             6.791                  5.50

26-02-2025 21:12:27             6.795                  5.75


26-02-2025 21:12:42             6.799                  5.84
26-02-2025 21:12:57             6.804                  5.96

26-02-2025 21:19:42             6.916                  5.87
26-02-2025 21:19:57             6.920                  5.86
26-02-2025 21:24:46             7.001                  5.79

26-02-2025 21:31:43             7.116                  5.69
26-02-2025 21:31:58             7.121                  5.69

26-02-2025 21:37:58             7.221                  5.59
26-02-2025 21:38:13             7.225                  5.59
26-02-2025 21:54:46             7.501                  5.54

