
                                              MFCS/win                    Report printed:                2025-03-03 12:31:12
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                  PO2_A
                                                    %Sat
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                  66.9

26-02-2025 14:25:00             0.004                  68.1
26-02-2025 14:25:15             0.009                  68.8
26-02-2025 14:25:31             0.013                  69.5

26-02-2025 14:25:46             0.017                  70.2
26-02-2025 14:26:01             0.021                  70.8
26-02-2025 14:26:16             0.026                  71.4

26-02-2025 14:26:31             0.030                  72.1
26-02-2025 14:27:16             0.042                  73.1

26-02-2025 14:27:31             0.046                  73.4
26-02-2025 14:28:16             0.059                  74.4
26-02-2025 14:28:31             0.063                  74.7

26-02-2025 14:28:46             0.067                  75.4
26-02-2025 14:29:01             0.071                  75.9

26-02-2025 14:30:46             0.101                  76.9
26-02-2025 14:31:01             0.105                  77.0
26-02-2025 14:37:16             0.209                  76.0

26-02-2025 14:37:31             0.213                  75.9
26-02-2025 14:42:01             0.288                  74.9

26-02-2025 14:42:16             0.292                  74.9
26-02-2025 14:46:01             0.355                  73.9
26-02-2025 14:46:16             0.359                  73.7

26-02-2025 14:51:01             0.438                  72.8
26-02-2025 14:51:16             0.442                  72.7
26-02-2025 14:53:01             0.471                  72.0

26-02-2025 14:53:16             0.476                  71.7
26-02-2025 14:54:46             0.501                  70.9

26-02-2025 15:02:01             0.621                  70.0
26-02-2025 15:02:16             0.626                  69.9
26-02-2025 15:04:46             0.667                  69.0

26-02-2025 15:05:01             0.671                  68.9
26-02-2025 15:06:16             0.692                  68.0

26-02-2025 15:06:31             0.696                  67.9
26-02-2025 15:12:01             0.788                  66.9
26-02-2025 15:12:16             0.792                  66.8

26-02-2025 15:15:46             0.851                  66.2


26-02-2025 15:16:01             0.855                  65.8
26-02-2025 15:16:46             0.867                  64.9

26-02-2025 15:17:01             0.871                  64.8
26-02-2025 15:21:31             0.946                  63.8
26-02-2025 15:21:46             0.951                  63.7

26-02-2025 15:24:46             1.001                  62.8
26-02-2025 15:25:46             1.017                  62.1

26-02-2025 15:26:01             1.021                  61.7
26-02-2025 15:30:17             1.092                  61.0
26-02-2025 15:30:32             1.097                  62.8

26-02-2025 15:30:47             1.101                  62.3
26-02-2025 15:31:02             1.105                  59.9

26-02-2025 15:34:02             1.155                  59.0
26-02-2025 15:34:17             1.159                  58.9
