
                                              MFCS/win                    Report printed:                2025-03-03 12:31:15
                                             Batch Report                                              Pacific Standard Time



 Batch Name:                Biostat2L_35_highO2_r2              Batch created:            2025-02-26 14:24:44

 Experiment Start:          2025-02-26 14:24:44                 Experiment Stop:          2025-02-28 15:25:10

 Started by:                WE42591\BIOSTAT                     Finished by:              WE42591\BIOSTAT



 Raw                                                 VWEIGH_D
                                                        kg
  Data
                                                      Value


 Date    /  Time                Age

26-02-2025 14:24:45             0.000                 14.80

26-02-2025 14:54:46             0.501                 14.78
26-02-2025 15:24:46             1.001                 14.73
26-02-2025 15:54:46             1.501                 14.74

26-02-2025 16:24:46             2.001                 14.72
26-02-2025 16:54:46             2.501                 14.72
26-02-2025 17:14:04             2.822                 14.73

26-02-2025 17:14:19             2.826                 17.67
26-02-2025 17:14:34             2.831                 17.80

26-02-2025 17:14:49             2.835                 14.75
26-02-2025 17:24:46             3.001                 14.72
26-02-2025 17:54:46             3.501                 14.76

26-02-2025 18:24:46             4.001                 14.80
26-02-2025 18:54:46             4.501                 14.80

26-02-2025 19:24:46             5.001                 14.83
26-02-2025 19:54:46             5.501                 14.84
26-02-2025 20:24:46             6.001                 14.79

26-02-2025 20:54:46             6.501                 14.81
26-02-2025 21:24:46             7.001                 14.81

26-02-2025 21:54:46             7.501                 14.83
26-02-2025 22:24:46             8.001                 14.83
26-02-2025 22:54:46             8.501                 14.83

26-02-2025 23:24:46             9.001                 14.83
26-02-2025 23:54:46             9.501                 14.83
27-02-2025 00:24:46            10.001                 14.83

27-02-2025 00:54:46            10.501                 14.84
27-02-2025 01:24:46            11.001                 14.85

27-02-2025 01:54:46            11.501                 14.84
27-02-2025 02:24:46            12.001                 14.85
27-02-2025 02:54:46            12.501                 14.85

27-02-2025 03:24:46            13.001                 14.85
27-02-2025 03:54:46            13.501                 14.86

27-02-2025 04:24:46            14.001                 14.85
27-02-2025 04:54:46            14.501                 14.84
27-02-2025 05:24:46            15.001                 14.85

27-02-2025 05:54:46            15.501                 14.85


27-02-2025 06:24:46            16.001                 14.84
27-02-2025 06:54:46            16.501                 14.84

27-02-2025 07:24:46            17.001                 14.83
27-02-2025 07:54:46            17.501                 14.83
27-02-2025 08:24:46            18.001                 14.78

27-02-2025 08:54:46            18.501                 14.77
27-02-2025 09:24:46            19.001                 14.77

27-02-2025 09:54:46            19.501                 14.76
27-02-2025 10:24:46            20.001                 14.76
27-02-2025 10:54:46            20.501                 14.77

27-02-2025 11:24:46            21.001                 14.79
27-02-2025 11:54:46            21.501                 14.78

27-02-2025 12:24:46            22.001                 14.78
27-02-2025 12:54:46            22.501                 14.77
27-02-2025 13:24:46            23.001                 14.77

27-02-2025 13:54:46            23.501                 14.76
27-02-2025 14:24:46            24.001                 14.74
27-02-2025 14:54:46            24.501                 14.70

27-02-2025 15:24:46            25.001                 14.69
27-02-2025 15:54:46            25.501                 14.75

27-02-2025 16:03:22            25.644                 14.73
27-02-2025 16:03:37            25.648                 15.07
27-02-2025 16:03:52            25.652                 14.85

27-02-2025 16:24:46            26.001                 14.75
27-02-2025 16:54:46            26.501                 14.75

27-02-2025 17:24:46            27.001                 14.72
27-02-2025 17:54:46            27.501                 14.78
27-02-2025 18:24:46            28.001                 14.82

27-02-2025 18:54:46            28.501                 14.85
27-02-2025 19:24:46            29.001                 14.85

27-02-2025 19:54:46            29.501                 14.86
27-02-2025 20:24:46            30.001                 14.86
27-02-2025 20:54:46            30.501                 14.86

27-02-2025 21:24:46            31.001                 14.86
27-02-2025 21:54:46            31.501                 14.86
27-02-2025 22:24:46            32.001                 14.86

27-02-2025 22:54:46            32.501                 14.86
27-02-2025 23:24:46            33.001                 14.87

27-02-2025 23:54:46            33.501                 14.86
28-02-2025 00:24:46            34.001                 14.86
28-02-2025 00:54:46            34.501                 14.87

28-02-2025 01:24:46            35.001                 14.88
28-02-2025 01:54:46            35.501                 14.88

28-02-2025 02:24:46            36.001                 14.87
28-02-2025 02:54:46            36.501                 14.89
28-02-2025 03:24:46            37.001                 14.88

28-02-2025 03:54:46            37.501                 14.88
28-02-2025 04:24:46            38.001                 14.89

28-02-2025 04:54:46            38.501                 14.89
28-02-2025 05:24:46            39.001                 14.89
28-02-2025 05:54:46            39.501                 14.89

28-02-2025 06:24:46            40.001                 14.89

28-02-2025 06:54:46            40.501                 14.89
28-02-2025 07:24:46            41.001                 14.87

28-02-2025 07:54:46            41.501                 14.87
28-02-2025 08:24:46            42.001                 14.85
28-02-2025 08:54:46            42.501                 14.81

28-02-2025 09:24:46            43.001                 14.81
28-02-2025 09:54:46            43.501                 14.81

28-02-2025 10:24:46            44.001                 14.81
28-02-2025 10:54:46            44.501                 14.81
28-02-2025 11:24:46            45.001                 14.80

28-02-2025 11:54:46            45.501                 14.80
28-02-2025 12:24:46            46.001                 14.80

28-02-2025 12:54:46            46.501                 14.79
28-02-2025 13:24:46            47.001                 14.78
28-02-2025 13:54:46            47.501                 14.76

28-02-2025 14:24:46            48.001                 14.74
28-02-2025 14:54:46            48.501                 14.79
28-02-2025 15:24:46            49.001                 14.77

28-02-2025 15:25:09            49.007                 14.77
