Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;32;33;34;35;51;52;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;894;894;894;894;894;894;
UTC;LocalTime;
2026-02-10 21:23:17;2026-02-10 13:23:17;0.0378;20.90068;0.6843;20.766;25.88388;1.00489;;1.04916;32.32929;25.57412;1.00597;0.13002;20.76161;1.15457;32.95033;26.89059;1.00436;0.06719;21.99782;
2026-02-10 21:23:22;2026-02-10 13:23:22;0.0375;20.90102;0.69114;20.9247;25.88388;1.00487;;1.05219;32.49256;25.57412;1.00596;0.13259;20.75909;1.00437;0.06949;21.99329;1.00437;0.06949;21.99329;
2026-02-10 21:23:27;2026-02-10 13:23:27;0.0375;20.90102;0.69114;20.9247;25.88388;1.00487;;1.05219;32.49256;25.57412;1.00596;0.13259;20.75909;1.00437;0.06949;21.99329;1.00437;0.06949;21.99329;
2026-02-10 21:23:32;2026-02-10 13:23:32;0.03739;20.9016;1.00491;0.03739;20.9016;1.00491;;1.00594;0.13577;20.7578;1.00594;0.13577;20.7578;1.15275;32.89693;26.90394;1.00445;0.07049;21.98773;
2026-02-10 21:23:37;2026-02-10 13:23:37;0.03739;20.9016;1.00491;0.03739;20.9016;1.00491;;1.00594;0.13577;20.7578;1.00594;0.13577;20.7578;1.15275;32.89693;26.90394;1.00445;0.07049;21.98773;
2026-02-10 21:23:42;2026-02-10 13:23:42;0.03717;20.89895;1.00491;0.03717;20.89895;1.00491;;1.06039;32.74586;25.56077;1.00596;0.13818;20.75646;1.15413;32.85572;26.89059;1.00443;0.0713;21.98408;
2026-02-10 21:23:47;2026-02-10 13:23:47;0.03717;20.89895;1.00491;0.03717;20.89895;1.00491;;1.06039;32.74586;25.56077;1.00596;0.13818;20.75646;1.15413;32.85572;26.89059;1.00443;0.0713;21.98408;
2026-02-10 21:23:52;2026-02-10 13:23:52;0.03714;20.89806;0.70618;21.34585;25.89723;1.0049;;1.06039;32.74586;25.56077;1.00596;0.13818;20.75646;1.00438;0.07299;21.98833;1.00438;0.07299;21.98833;
2026-02-10 21:23:57;2026-02-10 13:23:57;0.03714;20.89806;0.70618;21.34585;25.89723;1.0049;;1.06039;32.74586;25.56077;1.00596;0.13818;20.75646;1.00438;0.07299;21.98833;1.00438;0.07299;21.98833;
2026-02-10 21:24:02;2026-02-10 13:24:02;0.03703;20.89902;1.00489;0.03703;20.89902;1.00489;;1.006;0.14117;20.75732;1.006;0.14117;20.75732;1.00438;0.07299;21.98833;1.00438;0.07299;21.98833;
2026-02-10 21:24:07;2026-02-10 13:24:07;0.03703;20.89902;1.00489;0.03703;20.89902;1.00489;;1.006;0.14117;20.75732;1.006;0.14117;20.75732;1.00438;0.07299;21.98833;1.00438;0.07299;21.98833;
2026-02-10 21:24:12;2026-02-10 13:24:12;0.03692;20.89944;1.00482;0.03692;20.89944;1.00482;;1.07181;33.07393;25.58747;1.00606;0.14407;20.7524;1.15316;32.83131;26.90394;1.00439;0.07716;21.98645;
2026-02-10 21:24:17;2026-02-10 13:24:17;0.03692;20.89944;1.00482;0.03692;20.89944;1.00482;;1.07181;33.07393;25.58747;1.00606;0.14407;20.7524;1.15316;32.83131;26.90394;1.00439;0.07716;21.98645;
2026-02-10 21:24:22;2026-02-10 13:24:22;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.0755;33.22194;25.57412;1.006;0.14616;20.75105;1.00437;0.07859;21.98194;1.00437;0.07859;21.98194;
2026-02-10 21:24:27;2026-02-10 13:24:27;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.0755;33.22194;25.57412;1.006;0.14616;20.75105;1.00437;0.07859;21.98194;1.00437;0.07859;21.98194;
2026-02-10 21:24:32;2026-02-10 13:24:32;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.00598;0.14836;20.74974;1.00598;0.14836;20.74974;1.15407;32.87251;26.90394;1.00437;0.07923;21.97943;
2026-02-10 21:24:37;2026-02-10 13:24:37;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.00598;0.14836;20.74974;1.00598;0.14836;20.74974;1.15407;32.87251;26.90394;1.00437;0.07923;21.97943;
2026-02-10 21:24:42;2026-02-10 13:24:42;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.00597;0.15004;20.75012;1.00597;0.15004;20.75012;1.15365;32.88625;26.90394;1.00437;0.08067;21.97954;
2026-02-10 21:24:47;2026-02-10 13:24:47;0.03691;20.89682;1.00482;0.03691;20.89682;1.00482;;1.00597;0.15004;20.75012;1.00597;0.15004;20.75012;1.15365;32.88625;26.90394;1.00437;0.08067;21.97954;
2026-02-10 21:24:52;2026-02-10 13:24:52;0.04539;20.85976;1.00488;0.04539;20.85976;1.00488;;1.08907;33.57442;25.57412;1.00597;0.15145;20.74723;1.00436;0.08215;21.97606;1.00436;0.08215;21.97606;
2026-02-10 21:24:57;2026-02-10 13:24:57;0.04539;20.85976;1.00488;0.04539;20.85976;1.00488;;1.08907;33.57442;25.57412;1.00597;0.15145;20.74723;1.00436;0.08215;21.97606;1.00436;0.08215;21.97606;
2026-02-10 21:25:02;2026-02-10 13:25:02;0.05322;20.84318;1.00483;0.05322;20.84318;1.00483;;1.09311;33.63852;25.56077;1.00595;0.15316;20.7478;1.15365;32.92439;26.90394;1.00439;0.08285;21.97442;
