BatchId;PDatTime;ProcessTime;ACIDSUB;ACIDSUB;ACIDSUB;ACIDSUB;ACIDT;AFOAMT;AIRSP;AIRSP;AIRSP;AIRSP;BASESUB;BASESUB;BASESUB;BASESUB;BASET;Count;EXT_A;EXT_B;EXT_C;EXT_D;EXT_E;EXT_F;JTEMP;JTEMP;JTEMP;JTEMP;O2SP;O2SP;O2SP;O2SP;pH;pH;pH;pH;pH_A;pO2;pO2;pO2;pO2;pO2_A;STIRR;STIRR;STIRR;STIRR;SUBS_A;SUBS_A;SUBS_A;SUBS_A;SUBS_B;SUBS_B;SUBS_B;SUBS_B;SUBST_A;SUBST_B;TEMP;TEMP;TEMP;TEMP;VWEIGHT;VWEIGHT;VWEIGHT;VWEIGHT
;;Value;Output;Setpoint;Value;Mode;Value;Value;Setpoint;Value;Mode;Output;Value;Mode;Output;Setpoint;Value;Value;Value;Value;Value;Value;Value;Value;Output;Setpoint;Mode;Value;Output;Value;Mode;Setpoint;Output;Mode;Setpoint;Value;Value;Setpoint;Value;Mode;Output;Value;Value;Output;Setpoint;Mode;Value;Output;Mode;Setpoint;Output;Mode;Setpoint;Value;Value;Value;Value;Mode;Output;Setpoint;Mode;Setpoint;Value;Output
;;hours;%;%;%;;ml;ml;lpm;lpm;;%;%;;%;%;ml;s;%;%;%;%;%;%;%;°C;;°C;%;lpm;;lpm;%;;pH;pH;pH;%sat;%sat;;%;%sat;rpm;%;rpm;;%;%;;%;%;;%;%;ml;ml;°C;;%;°C;;kg;kg;%

Biostat2L_64_01_restart;2026-03-12 17:09:14;0.000122222222222222;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:14;0.000225;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:15;0.000505555555555556;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:16;0.000786111111111111;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:17;0.00106388888888889;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:18;0.00134444444444444;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:18;0.00142222222222222;0;0;0;0;0;0;0.3249;0.3252;1;10.83;0;2;0;0;0;;0;0;0;0;0;0;1.3;27.435;2;27.36;37.5;1.125;1;1.125;50;1;5.6;5.605;5.605;25;55.71;0;0;55.71;600;30;600;1;0;0;0;80;0;0;90;0;0;0;27.99;1;18.29;28.005;0;0;14.472;0
Biostat2L_64_01_restart;2026-03-12 17:09:19;0.00162777777777778;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:20;0.00190833333333333;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:21;0.00218888888888889;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:22;0.00246944444444444;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:23;0.00275;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:24;0.00302777777777778;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:25;0.00330833333333333;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:26;0.00358888888888889;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:27;0.00386944444444444;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:28;0.00415;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:28;0.00420277777777778;;;;;;;0.3249;0.3252;;10.83;;;;;;;;;;;;;;;;;37.5;1.125;;1.125;;;;;;;55.71;;;55.71;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:29;0.00443055555555556;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:30;0.00471388888888889;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:31;0.00499444444444444;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:32;0.00527222222222222;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:33;0.00555277777777778;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:33;0.00559166666666667;;;;;;;1.125;1.1253;;37.5;;;;;;;;;;;;;;;;;0;0;;0;;;;;;;50.92;;;50.92;;;;;;;;;;;;;;;;;;;;;;
Biostat2L_64_01_restart;2026-03-12 17:09:34;0.00583333333333333;;;;;;;;;;;;;;;;BAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
