Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;
UTC;LocalTime;
2026-08-27 17:29:23;2026-08-27 10:29:23;0.04071;20.83318;1.45766;39.06004;27.98543;0.99852;;0.99986;0.04288;20.42618;0.99986;0.04288;20.42618;
2026-08-27 17:29:28;2026-08-27 10:29:28;0.0408;20.8284;1.43382;38.51987;27.97208;0.99857;;0.99986;0.04441;20.42748;0.99986;0.04441;20.42748;
2026-08-27 17:29:33;2026-08-27 10:29:33;0.0408;20.8284;1.43382;38.51987;27.97208;0.99857;;0.99986;0.04441;20.42748;0.99986;0.04441;20.42748;
2026-08-27 17:29:38;2026-08-27 10:29:38;0.0408;20.8284;1.43382;38.51987;27.97208;0.99857;;0.99985;0.04661;20.42171;0.99985;0.04661;20.42171;
2026-08-27 17:29:43;2026-08-27 10:29:43;0.0408;20.8284;1.43382;38.51987;27.97208;0.99857;;0.99985;0.04661;20.42171;0.99985;0.04661;20.42171;
2026-08-27 17:29:48;2026-08-27 10:29:48;0.04076;20.82429;0.99859;0.04076;20.82429;0.99859;;0.99987;0.04951;20.415;0.99987;0.04951;20.415;
2026-08-27 17:29:53;2026-08-27 10:29:53;0.04076;20.82429;0.99859;0.04076;20.82429;0.99859;;0.99987;0.04951;20.415;0.99987;0.04951;20.415;
2026-08-27 17:29:58;2026-08-27 10:29:58;0.04121;20.82211;0.99856;0.04121;20.82211;0.99856;;0.96595;27.00999;27.25643;0.9999;0.05347;20.40702;
2026-08-27 17:30:03;2026-08-27 10:30:03;0.04121;20.82211;0.99856;0.04121;20.82211;0.99856;;0.96595;27.00999;27.25643;0.9999;0.05347;20.40702;
2026-08-27 17:30:08;2026-08-27 10:30:08;0.04158;20.81961;1.38962;37.25795;27.98543;0.99856;;0.98158;27.33806;27.26978;0.99986;0.05795;20.39325;
2026-08-27 17:30:13;2026-08-27 10:30:13;0.04158;20.81961;1.38962;37.25795;27.98543;0.99856;;0.98158;27.33806;27.26978;0.99986;0.05795;20.39325;
2026-08-27 17:30:18;2026-08-27 10:30:18;0.04261;20.81832;0.99859;0.04261;20.81832;0.99859;;0.99986;0.05997;20.38155;0.99986;0.05997;20.38155;
2026-08-27 17:30:23;2026-08-27 10:30:23;0.04261;20.81832;0.99859;0.04261;20.81832;0.99859;;0.99986;0.05997;20.38155;0.99986;0.05997;20.38155;
2026-08-27 17:30:28;2026-08-27 10:30:28;0.04261;20.81832;0.99859;0.04261;20.81832;0.99859;;0.99985;0.06392;20.37683;0.99985;0.06392;20.37683;
2026-08-27 17:30:33;2026-08-27 10:30:33;0.04261;20.81832;0.99859;0.04261;20.81832;0.99859;;0.99985;0.06392;20.37683;0.99985;0.06392;20.37683;
2026-08-27 17:30:38;2026-08-27 10:30:38;0.04359;20.80941;1.37256;36.71931;27.98543;0.9986;;1.01704;28.38788;27.3125;0.99987;0.06596;20.36792;
2026-08-27 17:30:43;2026-08-27 10:30:43;0.04359;20.80941;1.37256;36.71931;27.98543;0.9986;;1.01704;28.38788;27.3125;0.99987;0.06596;20.36792;
2026-08-27 17:30:48;2026-08-27 10:30:48;0.04465;20.80358;0.99863;0.04465;20.80358;0.99863;;0.9999;0.07071;20.36052;0.9999;0.07071;20.36052;
2026-08-27 17:30:53;2026-08-27 10:30:53;0.04465;20.80358;0.99863;0.04465;20.80358;0.99863;;0.9999;0.07071;20.36052;0.9999;0.07071;20.36052;
2026-08-27 17:30:58;2026-08-27 10:30:58;0.04572;20.79692;1.36539;36.49348;28.00145;0.99861;;1.03889;28.91432;27.3125;0.99989;0.07384;20.35513;
2026-08-27 17:31:03;2026-08-27 10:31:03;0.04572;20.79692;1.36539;36.49348;28.00145;0.99861;;1.03889;28.91432;27.3125;0.99989;0.07384;20.35513;
2026-08-27 17:31:08;2026-08-27 10:31:08;0.04708;20.79603;1.36173;36.43092;28.0148;0.99862;;0.9999;0.07782;20.34693;0.9999;0.07782;20.34693;
