Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;32;33;34;35;51;52;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;894;894;894;894;894;894;
UTC;LocalTime;
2026-09-01 18:51:22;2026-09-01 11:51:22;0.08367;20.89606;1.42195;39.31945;27.46471;0.9922;;0.99344;0.10428;20.87021;0.99344;0.10428;20.87021;0.99182;0.1078;20.92073;0.99182;0.1078;20.92073;
2026-09-01 18:51:27;2026-09-01 11:51:27;0.08367;20.89606;1.42195;39.31945;27.46471;0.9922;;0.99342;0.10837;20.86087;0.99342;0.10837;20.86087;0.99182;0.12313;20.8769;0.99182;0.12313;20.8769;
2026-09-01 18:51:32;2026-09-01 11:51:32;0.08367;20.89606;1.42195;39.31945;27.46471;0.9922;;0.99342;0.10837;20.86087;0.99342;0.10837;20.86087;0.99182;0.12313;20.8769;0.99182;0.12313;20.8769;
2026-09-01 18:51:37;2026-09-01 11:51:37;0.08762;20.88471;0.99205;0.08762;20.88471;0.99205;;1.16798;33.50118;26.76242;0.99342;0.11154;20.85837;0.99181;0.12855;20.86998;0.99181;0.12855;20.86998;
2026-09-01 18:51:42;2026-09-01 11:51:42;0.08762;20.88471;0.99205;0.08762;20.88471;0.99205;;1.16798;33.50118;26.76242;0.99342;0.11154;20.85837;0.99181;0.12855;20.86998;0.99181;0.12855;20.86998;
2026-09-01 18:51:47;2026-09-01 11:51:47;0.09086;20.8806;1.43279;39.5407;27.45136;0.99203;;1.17266;33.69192;26.76242;0.99341;0.11472;20.85036;0.99176;0.13071;20.84975;0.99176;0.13071;20.84975;
2026-09-01 18:51:52;2026-09-01 11:51:52;0.09086;20.8806;1.43279;39.5407;27.45136;0.99203;;1.17266;33.69192;26.76242;0.99341;0.11472;20.85036;0.99176;0.13071;20.84975;0.99176;0.13071;20.84975;
2026-09-01 18:51:57;2026-09-01 11:51:57;0.09419;20.87432;0.99207;0.09419;20.87432;0.99207;;0.9934;0.11734;20.84345;0.9934;0.11734;20.84345;1.23129;32.70008;28.07622;0.99173;0.13779;20.84227;
2026-09-01 18:52:02;2026-09-01 11:52:02;0.09419;20.87432;0.99207;0.09419;20.87432;0.99207;;0.9934;0.11734;20.84345;0.9934;0.11734;20.84345;1.23129;32.70008;28.07622;0.99173;0.13779;20.84227;
2026-09-01 18:52:07;2026-09-01 11:52:07;0.09696;20.87055;1.4397;39.74212;27.46471;0.99207;;0.99341;0.1219;20.83755;0.99341;0.1219;20.83755;1.23129;32.70008;28.07622;0.99173;0.13779;20.84227;
2026-09-01 18:52:12;2026-09-01 11:52:12;0.09696;20.87055;1.4397;39.74212;27.46471;0.99207;;0.99341;0.1219;20.83755;0.99341;0.1219;20.83755;1.23129;32.70008;28.07622;0.99173;0.13779;20.84227;
2026-09-01 18:52:17;2026-09-01 11:52:17;0.09696;20.87055;1.4397;39.74212;27.46471;0.99207;;0.99342;0.12632;20.83576;0.99342;0.12632;20.83576;1.23997;33.01442;28.07622;0.9918;0.14917;20.81984;
2026-09-01 18:52:22;2026-09-01 11:52:22;0.09696;20.87055;1.4397;39.74212;27.46471;0.99207;;0.99342;0.12632;20.83576;0.99342;0.12632;20.83576;1.23997;33.01442;28.07622;0.9918;0.14917;20.81984;
2026-09-01 18:52:27;2026-09-01 11:52:27;0.1014;20.86148;1.44366;39.83825;27.43534;0.99213;;1.18608;34.06729;26.76242;0.99342;0.12958;20.82891;1.23997;33.01442;28.07622;0.9918;0.14917;20.81984;
2026-09-01 18:52:32;2026-09-01 11:52:32;0.1014;20.86148;1.44366;39.83825;27.43534;0.99213;;1.18608;34.06729;26.76242;0.99342;0.12958;20.82891;1.23997;33.01442;28.07622;0.9918;0.14917;20.81984;
2026-09-01 18:52:37;2026-09-01 11:52:37;0.1014;20.86148;1.44366;39.83825;27.43534;0.99213;;0.9934;0.13127;20.82704;0.9934;0.13127;20.82704;0.99173;0.16004;20.79622;0.99173;0.16004;20.79622;
2026-09-01 18:52:42;2026-09-01 11:52:42;0.1014;20.86148;1.44366;39.83825;27.43534;0.99213;;0.9934;0.13127;20.82704;0.9934;0.13127;20.82704;0.99173;0.16004;20.79622;0.99173;0.16004;20.79622;
2026-09-01 18:52:47;2026-09-01 11:52:47;0.10717;20.84879;0.99214;0.10717;20.84879;0.99214;;0.99335;0.13513;20.82421;0.99335;0.13513;20.82421;0.99169;0.16225;20.78937;0.99169;0.16225;20.78937;
2026-09-01 18:52:52;2026-09-01 11:52:52;0.10717;20.84879;0.99214;0.10717;20.84879;0.99214;;0.99335;0.13513;20.82421;0.99335;0.13513;20.82421;0.99169;0.16225;20.78937;0.99169;0.16225;20.78937;
2026-09-01 18:52:57;2026-09-01 11:52:57;0.10717;20.84879;0.99214;0.10717;20.84879;0.99214;;1.19447;34.35263;26.77577;0.99337;0.13742;20.82035;1.2594;33.59731;28.08957;0.99166;0.1694;20.77593;
2026-09-01 18:53:02;2026-09-01 11:53:02;0.10717;20.84879;0.99214;0.10717;20.84879;0.99214;;1.19447;34.35263;26.77577;0.99337;0.13742;20.82035;1.2594;33.59731;28.08957;0.99166;0.1694;20.77593;
2026-09-01 18:53:07;2026-09-01 11:53:07;0.11295;20.84257;1.45087;40.09003;27.43534;0.99209;;1.19542;34.37858;26.7464;0.99339;0.14155;20.81911;1.2594;33.59731;28.08957;0.99166;0.1694;20.77593;
