Fermenter:;;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter01;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter02;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;Fermenter03;
Sensor:;;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-1;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-2;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;BDCU-3;
Channel:;;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH1-NO;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;Abs_Hum;Rel_Hum;Temperature;Pressure;CH0-CO2;CH1-O2;
Unit:;;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;Vol %;Vol %;°C;bar;Vol %;Vol %;
Id:;;25;26;27;28;29;30;31;19;20;21;22;23;24;32;33;34;35;51;52;
Serial:;;890;890;890;890;890;890;890;883;883;883;883;883;883;894;894;894;894;894;894;
UTC;LocalTime;
2026-09-08 19:32:40;2026-09-08 12:32:40;0.09275;20.88348;1.00909;0.09275;20.88348;1.00909;;1.13328;32.91982;26.63157;1.01049;0.09183;20.91536;1.00894;0.0783;20.10849;1.00894;0.0783;20.10849;
2026-09-08 19:32:45;2026-09-08 12:32:45;0.09275;20.88348;1.00909;0.09275;20.88348;1.00909;;1.13328;32.91982;26.63157;1.01049;0.09183;20.91536;1.00894;0.0783;20.10849;1.00894;0.0783;20.10849;
2026-09-08 19:32:50;2026-09-08 12:32:50;0.09894;20.86371;1.00915;0.09894;20.86371;1.00915;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.00895;0.08063;20.10123;1.00895;0.08063;20.10123;
2026-09-08 19:32:55;2026-09-08 12:32:55;0.09894;20.86371;1.00915;0.09894;20.86371;1.00915;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.00895;0.08063;20.10123;1.00895;0.08063;20.10123;
2026-09-08 19:33:00;2026-09-08 12:33:00;0.10142;20.85592;1.54281;42.63066;27.45136;1.00914;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.40055;38.23911;27.65164;1.00897;0.08495;20.0976;
2026-09-08 19:33:05;2026-09-08 12:33:05;0.10142;20.85592;1.54281;42.63066;27.45136;1.00914;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.40055;38.23911;27.65164;1.00897;0.08495;20.0976;
2026-09-08 19:33:10;2026-09-08 12:33:10;0.10515;20.84945;1.00915;0.10515;20.84945;1.00915;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.00895;0.0872;20.08878;1.00895;0.0872;20.08878;
2026-09-08 19:33:15;2026-09-08 12:33:15;0.10515;20.84945;1.00915;0.10515;20.84945;1.00915;;1.01049;0.0934;20.90741;1.01049;0.0934;20.90741;1.00895;0.0872;20.08878;1.00895;0.0872;20.08878;
2026-09-08 19:33:20;2026-09-08 12:33:20;0.10515;20.84945;1.00915;0.10515;20.84945;1.00915;;1.01046;0.10383;20.88817;1.01046;0.10383;20.88817;1.41752;38.55497;27.66499;1.00895;0.09204;20.07676;
2026-09-08 19:33:25;2026-09-08 12:33:25;0.10515;20.84945;1.00915;0.10515;20.84945;1.00915;;1.01046;0.10383;20.88817;1.01046;0.10383;20.88817;1.41752;38.55497;27.66499;1.00895;0.09204;20.07676;
2026-09-08 19:33:30;2026-09-08 12:33:30;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.01046;0.10594;20.88072;1.01046;0.10594;20.88072;1.41752;38.55497;27.66499;1.00895;0.09204;20.07676;
2026-09-08 19:33:35;2026-09-08 12:33:35;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.01046;0.10594;20.88072;1.01046;0.10594;20.88072;1.41752;38.55497;27.66499;1.00895;0.09204;20.07676;
2026-09-08 19:33:40;2026-09-08 12:33:40;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.1683;33.81552;26.63157;1.01047;0.11044;20.87575;1.42438;38.90288;27.65164;1.00899;0.09894;20.06984;
2026-09-08 19:33:45;2026-09-08 12:33:45;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.1683;33.81552;26.63157;1.01047;0.11044;20.87575;1.42438;38.90288;27.65164;1.00899;0.09894;20.06984;
2026-09-08 19:33:50;2026-09-08 12:33:50;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.17304;33.92691;26.63157;1.01046;0.11456;20.86941;1.00897;0.10243;20.06687;1.00897;0.10243;20.06687;
2026-09-08 19:33:55;2026-09-08 12:33:55;0.10986;20.83628;1.00912;0.10986;20.83628;1.00912;;1.17304;33.92691;26.63157;1.01046;0.11456;20.86941;1.00897;0.10243;20.06687;1.00897;0.10243;20.06687;
2026-09-08 19:34:00;2026-09-08 12:34:00;0.12123;20.82275;1.55785;42.94194;27.43534;1.00909;;1.17664;34.11459;26.61822;1.01047;0.11855;20.86581;1.00897;0.10243;20.06687;1.00897;0.10243;20.06687;
2026-09-08 19:34:05;2026-09-08 12:34:05;0.12123;20.82275;1.55785;42.94194;27.43534;1.00909;;1.17664;34.11459;26.61822;1.01047;0.11855;20.86581;1.00897;0.10243;20.06687;1.00897;0.10243;20.06687;
2026-09-08 19:34:10;2026-09-08 12:34:10;0.12123;20.82275;1.55785;42.94194;27.43534;1.00909;;1.0105;0.12047;20.86059;1.0105;0.12047;20.86059;1.44094;39.24315;27.66499;1.00893;0.1093;20.06065;
2026-09-08 19:34:15;2026-09-08 12:34:15;0.12123;20.82275;1.55785;42.94194;27.43534;1.00909;;1.0105;0.12047;20.86059;1.0105;0.12047;20.86059;1.44094;39.24315;27.66499;1.00893;0.1093;20.06065;
2026-09-08 19:34:20;2026-09-08 12:34:20;0.1248;20.81401;1.00911;0.1248;20.81401;1.00911;;1.01048;0.12411;20.85564;1.01048;0.12411;20.85564;1.44559;39.33013;27.66499;1.00891;0.11342;20.05395;
2026-09-08 19:34:25;2026-09-08 12:34:25;0.1248;20.81401;1.00911;0.1248;20.81401;1.00911;;1.01048;0.12411;20.85564;1.01048;0.12411;20.85564;1.44559;39.33013;27.66499;1.00891;0.11342;20.05395;
