Metabolite name	PPI_Ylip_Ctrl_5hr_35	PPI_Ylip_Low_48hr_53	PPI_Ylip_Ctrl_5hr_11	PPI_Ylip_Ctrl_24hr_37	PPI_Ylip_Low_48hr_47	PPI_Ylip_Osc_72hr_06	PPI_Ylip_Low_72hr_54	PPI_Ylip_Low_4hr_34	PPI_Ylip_Osc_47hr_05	PPI_Ylip_Ctrl_4hr_09	PPI_Ylip_Low_4hr_50	PPI_Ylip_Low_24hr_52	PPI_Ylip_Osc_72hr_30	PPI_Ylip_Ctrl_48hr_39	PPI_Ylip_Ctrl_4hr_33	PPI_Ylip_Ctrl_72hr_29	PPI_Ylip_Low_72hr_48	PPI_Ylip_Osc_72hr_18	PPI_Ylip_Low_72hr_42	PPI_Ylip_Low_5hr_36	PPI_Ylip_Osc_3hr_20	PPI_Ylip_Ctrl_72hr_17	PPI_Ylip_Low_48hr_40	PPI_Ylip_Low_5hr_45	PPI_Ylip_Osc_4hr_10	PPI_Ylip_Low_24hr_38	PPI_Ylip_Ctrl_48hr_27	PPI_Ylip_Osc_4hr_02	PPI_Ylip_Osc_3hr_08	PPI_Ylip_Ctrl_3hr_07	PPI_Ylip_Osc_5hr_24	PPI_Ylip_Osc_3hr_01	PPI_Ylip_Ctrl_4hr_21	PPI_Ylip_Low_3hr_32	PPI_Ylip_Osc_24hr_14	PPI_Ylip_Low_3hr_43	PPI_Ylip_Ctrl_24hr_13	PPI_Ylip_Osc_4hr_22	PPI_Ylip_Low_5hr_51	PPI_Ylip_Ctrl_48hr_15	PPI_Ylip_Low_24hr_46	PPI_Ylip_Osc_24hr_26	PPI_Ylip_Osc_48hr_16	PPI_Ylip_Osc_5hr_12	PPI_Ylip_Low_3hr_49	PPI_Ylip_Osc_48hr_28	PPI_Ylip_Ctrl_24hr_25	PPI_Ylip_Osc_24hr_04	PPI_Ylip_Ctrl_3hr_19	PPI_Ylip_Ctrl_5hr_23	PPI_Ylip_Ctrl_72hr_41	PPI_Ylip_Ctrl_3hr_31	PPI_Ylip_Osc_5hr_03	PPI_Ylip_Low_4hr_44
[6]-Gingerol_RP	25.30497063	25.92255454	25.5483786	25.29868076	25.78020317	23.77139717	24.70899089	25.30450784	25.93401584	25.35148389	25.48343164	23.62990571	26.00405936	26.18269147	25.54733729	26.12938971	23.63832274	26.85769292	25.839466	23.46169641	23.20507032	23.69287347	26.18538071	25.53306439	25.33182111	25.80760839	26.12387431	23.47093901	23.43088491	25.93851615	23.58933702	25.20026543	23.73912816	25.37926014	25.65317245	25.65781154	23.11827817	25.05888907	25.87084826	25.63593584	25.78594178	25.58312585	26.22362919	25.71144638	25.60452909	25.85902658	25.12530899	25.51422695	25.26170255	25.42133491	26.25529494	23.35780364	25.79621669	25.20004459
"1-(2-hydroxy-4,6-dimethoxyphenyl)ethanone_RP"	20.99410311	24.75827837	20.99322039	20.87473379	22.33271611	24.63648537	25.89130362	21.14446911	22.05874507	20.67585817	20.39823635	25.1227663	22.07012106	22.1751789	26.49847783	24.85633833	24.88908512	22.23446142	21.86134706	25.69169327	25.46266878	24.88930438	22.92833362	24.75455631	24.80635107	22.0287533	22.35354391	25.25082955	24.79986903	20.47321446	25.49620382	20.97203471	25.78329661	26.36274352	24.75959138	25.50443533	24.00927332	20.95646694	25.01959017	24.79673847	22.31709157	21.53487182	21.85773331	21.2429279	21.37418853	22.29395614	23.95030648	24.49508466	21.73765272	20.31403762	25.08360343	26.93548782	19.51457514	20.82726074
1-Monostearin_RP	27.83011949	21.64245395	21.85433489	21.38873715	26.36314909	29.14534644	23.00805948	22.37357001	26.18729007	27.7152869	28.10479663	29.17504143	29.30130626	28.84238873	20.20821484	22.11123047	29.58408886	22.99611762	28.62264061	23.48068381	28.06749998	23.07897346	29.13196275	23.05308362	27.82087924	28.16787225	22.61827498	22.19062472	21.07463986	27.86341379	21.47535886	28.08532315	19.683128	28.54445209	21.39998672	21.86594067	21.05632473	20.24449631	20.9981238	26.26854476	25.98464546	26.27576752	29.71616742	28.1729045	27.13048798	25.47231248	20.36622169	25.26865738	27.82159552	27.80127851	21.21922618	20.79836763	28.65522872	27.91064111
"1,3-diphenylguanidine_RP"	18.9497898	19.81969208	17.94549671	18.78251162	20.98911865	17.77561163	20.08803756	18.90094588	19.6894605	22.29271218	18.13549145	18.8100588	21.39253822	19.65751986	19.21323993	20.35654224	18.33144291	22.84164424	18.71693742	19.07025059	21.77327445	21.09165374	20.88871411	18.19262703	19.77508208	21.41319368	19.07337946	17.7554353	17.20244777	18.53260691	18.78034432	19.02651303	21.7797409	20.28245769	20.0971666	20.76540514	18.13967243	20.82277872	18.31210758	21.51040603	19.04441605	20.93474641	20.73251059	18.52060632	18.69556198	21.38149924	18.48446552	18.74647347	18.36903768	18.59672102	23.47305905	21.45031664	19.73043456	19.28390734
10-HYDROXYDECANOATE_RP	23.74313965	24.4107365	24.34580282	24.1036205	24.54522281	25.1081044	24.36726011	24.0459747	24.9319185	24.12392979	23.68310542	23.30940843	24.88567776	24.90349513	24.01229843	24.75885987	23.11370285	25.33013067	24.5943245	23.09825707	22.29234681	23.23617765	25.14412299	23.96512866	22.68376306	24.67868901	24.90092912	23.19982388	23.01091812	23.76734047	23.6567162	24.37279615	24.14478194	22.73624284	24.39292112	23.95131304	22.81571569	23.75960527	24.01553982	24.43338594	24.76625936	24.10446806	24.39747361	24.45283862	24.43850503	24.52927205	23.91505102	24.3503149	24.60814124	24.17644883	25.23045595	23.84016666	24.01148002	23.71672476
2-O-Methyladenosine_RP	19.92372302	22.55671043	20.80619645	23.50895925	19.79075609	20.87744176	24.7163014	20.58585753	22.05560092	19.97008729	19.4004631	22.41573686	21.35985568	22.79574601	20.45355988	22.21795051	21.56720909	21.30093253	23.66974922	20.18433499	20.56043149	22.51216025	22.00483867	19.76364739	19.62309544	22.34289989	22.91530284	20.92462684	21.04263329	20.7890261	20.34974468	20.90388016	20.51915712	21.19301254	22.40220594	20.03785098	23.6617479	20.47601985	20.34190685	22.57030717	21.24361691	22.56826906	21.48379024	20.81609132	20.36670557	22.39106215	22.99589404	23.85785187	11.46637911	20.70627507	22.32238272	21.36223041	21.06571995	20.15216802
2-Piperidone; CE10; XUWHAWMETYGRKB-UHFFFAOYSA-N_RP	25.65745412	25.98938296	27.35666346	27.27544563	26.64184554	25.08533018	28.24692118	27.47151115	25.96368989	26.04081966	26.17601616	26.28363394	26.00463038	25.99168057	27.58535741	25.26564915	26.73375565	25.94542753	26.64148396	26.11944838	28.29607392	25.84079994	26.68341643	27.31506962	25.81974773	26.18744605	26.41213847	27.61655652	28.59558823	27.90315887	27.44893467	28.65149187	27.95012052	28.52644816	27.78244533	28.01713518	27.15849709	27.24108057	27.417199	25.8835908	26.56064617	26.51486835	26.46972943	27.1705091	28.91937297	27.16580085	27.21541962	27.64580652	27.73374024	26.89518284	25.597468	28.96140413	26.89612753	27.44224066
"2,2'-(Tetradecylimino)diethanol_RP"	25.39349238	25.85503405	25.87347828	25.44927034	26.1555448	26.27279226	26.47922349	25.45920819	25.91682544	25.78698822	25.50062825	26.19636588	25.94500491	26.1241027	25.89953935	26.30009942	26.45874455	26.83069248	25.77823584	26.10304333	25.63497874	26.38780416	26.53217602	25.84882212	25.84965884	25.78843652	26.12604489	26.10150346	26.04073859	25.37562981	26.48442888	25.5865758	26.39228731	25.65659583	25.70931534	25.6914605	25.98369893	25.20018374	25.60843299	26.17459084	25.97949942	25.499091	25.99583085	25.60384038	25.72923255	26.0653995	25.63327597	25.98591591	25.70062682	25.67550231	26.34835305	26.18691717	25.50258438	25.22754575
"2,2',2''-Nitrilotriethanol_RP"	16.18254547	21.96248866	NA	20.85545381	16.39912045	17.82440033	23.55882631	NA	18.31917964	14.52073882	15.46091615	23.43148258	NA	NA	17.00606931	16.99908087	16.6920242	NA	14.9161154	19.05286891	14.2485639	17.51598803	16.62888991	17.68551646	18.31373455	15.148551	NA	17.6171839	20.10410134	16.45695641	19.76400759	15.65551829	17.82523955	16.86707954	NA	NA	16.4438374	NA	15.11027115	20.60858201	15.51323889	NA	17.14401985	14.73398648	17.22508074	16.48603227	16.2307087	17.69763814	14.79231616	14.31557677	NA	22.41622747	NA	17.57793711
3-Formylindole_RP	26.94057175	22.94846077	23.89014461	24.59206656	23.02273365	23.57444117	25.25507004	23.66661745	23.55907066	27.67131896	27.00641129	22.77134199	23.55004575	24.18192919	23.88032389	27.55976785	23.88746047	23.90774048	23.47906198	23.60092318	22.42111623	24.24883175	23.58676652	23.14808881	22.98717641	23.54069938	23.83732868	22.71283861	23.40211873	24.06429606	22.5094706	24.03026435	22.40947121	23.86180091	23.81956754	23.55551319	25.05636447	23.6699655	23.6095153	23.67234203	23.39919746	23.54386442	23.68443705	24.06583097	23.55643349	24.06030682	24.27345097	23.59903535	24.58470556	23.72779567	24.25642407	22.48632643	23.75261471	23.41632264
