Protein	Biostat2L_29_Oscillation_24	Biostat2L_29_Oscillation_3.5	Biostat2L_29_Oscillation_4.5	Biostat2L_29_Oscillation_48	Biostat2L_29_Oscillation_5.5	Biostat2L_29_Oscillation_72	Biostat2L_30_Control_24	Biostat2L_30_Control_3.5	Biostat2L_30_Control_4.5	Biostat2L_30_Control_48	Biostat2L_30_Control_5.5	Biostat2L_30_Control_72	Biostat2L_30_Oscillation_24	Biostat2L_30_Oscillation_3.5	Biostat2L_30_Oscillation_4.5	Biostat2L_30_Oscillation_48	Biostat2L_30_Oscillation_5.5	Biostat2L_30_Oscillation_72	Biostat2L_31_Control_24	Biostat2L_31_Control_3.5	Biostat2L_31_Control_4.5	Biostat2L_31_Control_48	Biostat2L_31_Control_5.5	Biostat2L_31_Control_72	Biostat2L_31_Oscillation_24	Biostat2L_31_Oscillation_3.5	Biostat2L_31_Oscillation_4.5	Biostat2L_31_Oscillation_48	Biostat2L_31_Oscillation_5.5	Biostat2L_31_Oscillation_72	Biostat2L_32_Control_24	Biostat2L_32_Control_3.5	Biostat2L_32_Control_4.5	Biostat2L_32_Control_48	Biostat2L_32_Control_5.5	Biostat2L_32_Control_72	Biostat2L_32_Low_24	Biostat2L_32_Low_3.5	Biostat2L_32_Low_4.5	Biostat2L_32_Low_48	Biostat2L_32_Low_5.5	Biostat2L_32_Low_72	Biostat2L_33_Low_24	Biostat2L_33_Low_3.5	Biostat2L_33_Low_4.5	Biostat2L_33_Low_48	Biostat2L_33_Low_5.5	Biostat2L_33_Low_72	Biostat2L_34_Low_24	Biostat2L_34_Low_3.5	Biostat2L_34_Low_4.5	Biostat2L_34_Low_48	Biostat2L_34_Low_5.5	Biostat2L_34_Low_72
jgi|YarliW29_1|100	25.77021329	25.36927234	25.51141204	25.64949416	25.66659705	25.4956933	25.45754341	25.62031163	25.62432095	25.45541	25.76428115	25.21717833	25.71524346	25.60581092	25.6622029	25.56622217	25.6951279	25.37481787	25.5855604	25.41107426	25.52454547	25.2010887	25.54087243	25.16740995	25.5700003	25.42557496	25.50635161	25.48202857	25.53356012	25.28883094	25.44412469	25.40724115	25.43548227	25.4094699	25.61944241	24.96225475	26.12100834	25.40724115	25.5560732	26.23822466	25.5634838	26.10203094	26.21577058	25.66252743	25.64708173	26.25431154	25.75260879	26.32929625	26.01006534	25.34843629	25.47442111	26.22729983	25.63696842	26.05967126
jgi|YarliW29_1|1000	17.29395895	18.24594384	18.18662964	16.99613992	18.01189096	16.94073639	17.49551434	18.04293902	18.56649363	17.18743798	18.32649396	17.40663361	17.32779379	18.12889629	18.10066803	17.05697715	17.97157669	17.04631332	17.38395815	18.10925011	18.14603722	17.15866032	18.26883366	17.35438776	17.36851051	18.02329284	18.05762272	16.92462994	18.04545749	16.85042745	17.49324516	18.15892744	18.37814123	17.30662536	18.13283671	17.22918535	17.63768001	18.15892744	18.08875841	17.49602432	17.92966738	17.35352058	17.82496878	18.06768877	18.06181695	17.5504544	18.01243434	17.49287715	17.66852741	18.0182985	18.04632534	17.4669423	18.00395754	17.40251823
jgi|YarliW29_1|1002	22.81796522	23.81327616	25.30212961	22.22112763	25.15573094	22.20402527	22.62683718	24.26918894	25.31209029	22.32965833	25.15416788	22.33126071	22.93277103	24.4866869	25.30031689	22.33759532	25.15466053	22.19484453	22.55679606	24.16394839	25.10707239	22.19797162	24.89683849	22.24894021	22.80261001	23.94645043	25.12492636	22.09981805	24.94780848	21.97775713	22.66434047	24.01312308	25.15989622	22.32274786	24.90226671	22.14047078	23.46871434	24.01312308	25.24954606	22.8781331	25.03187274	22.61289056	23.96211434	25.46487336	25.41049494	23.14852999	25.18665234	22.77032783	23.56394236	24.05559209	25.12511472	22.94788036	25.06905402	22.54337319
jgi|YarliW29_1|1003	21.66117313	22.83445978	22.81193651	21.34335136	22.63891678	21.35149354	21.92531013	22.79537055	22.97019763	21.76607389	22.78098274	21.82910405	21.70758203	22.84554953	22.67004306	21.40220212	22.64255306	21.30842206	21.94329551	22.7762679	22.85062643	21.7679549	22.83141535	21.83211868	21.93109165	22.72608892	22.72527714	21.30286906	22.65619677	21.31330062	21.97473688	22.81849348	22.95835877	21.81908821	22.78478724	21.82022367	21.77750343	22.81849348	22.69258186	21.52727241	22.66405094	21.43070888	21.8649799	22.72472777	22.73040852	21.6464505	22.74065517	21.37149775	21.90315566	22.75734606	22.75282132	21.64412917	22.52136301	21.39150029
jgi|YarliW29_1|1004	24.61230879	23.1804867	23.51487871	26.05778503	23.61823448	26.34707443	25.55681329	23.29858179	23.55967666	26.0049315	23.64334443	26.27854531	24.3275736	23.36016448	23.61535139	25.95340236	23.59054853	26.18690633	25.79654821	23.5456427	23.63545087	26.0824275	23.68029494	26.32466112	24.42026631	23.48406001	23.67915645	26.07009709	23.7053768	26.43949866	25.99554399	23.5416515	23.73960399	26.27277345	23.73405137	26.25604388	24.00298087	23.5416515	23.74957486	24.25321831	23.76540376	24.9493757	23.05691321	23.38376734	23.41823917	23.38793384	23.35279204	24.62646639	23.62201006	23.42020337	23.75278423	24.10421329	23.87657261	24.72799851
jgi|YarliW29_1|1008	19.17014326	19.09985933	19.13030149	19.51635755	19.23300071	19.35171347	18.60004086	19.36440515	19.31540234	18.9393018	19.42374435	18.87953048	18.96055527	19.39932452	19.35137431	19.44822282	19.30379454	19.42413671	18.33599368	18.99564531	19.37132945	18.85680807	19.33137852	19.0158049	18.68576841	18.96072594	19.04528393	19.1917101	19.10207511	19.26336936	18.70019599	18.98876231	19.29421653	18.60635068	19.17437499	18.78288055	18.33857921	18.98876231	18.87390346	18.3328473	18.84954583	18.14208691	19.00142421	19.16456118	19.01402282	19.13137608	19.33602178	19.47005259	18.69914155	18.93379036	18.87591268	18.47505751	19.03298692	18.36734067
jgi|YarliW29_1|1012	19.83280794	19.29107909	19.40321558	19.71864289	19.41652973	19.75674892	19.84733235	19.3571775	19.4691966	19.92376106	19.48023149	19.9675724	19.87960482	19.35922632	19.41161095	19.74489422	19.43616359	19.8137356	19.90754541	19.42982768	19.51262364	19.82036898	19.51846671	19.95272151	19.91874975	19.42777885	19.36046131	19.80564689	19.45392587	19.75214795	19.88191672	19.42880697	19.44066052	19.93683045	19.56267736	19.9966433	19.89516197	19.42880697	19.32569027	19.93288816	19.39700171	19.9563109	19.70159402	19.34021188	19.4671567	19.76348314	19.50764624	19.89532939	19.78937464	19.29112365	19.4333141	19.8652695	19.46413034	20.0162349
jgi|YarliW29_1|1015	21.19114699	20.47304949	20.52145427	20.67066533	20.4933354	20.46571784	21.18827561	20.30994883	20.32563725	21.06282947	20.43772602	21.03339237	21.02149803	20.39618394	20.48198223	20.67818139	20.48499545	20.50553689	21.42106048	20.54000851	20.35932393	21.04800863	20.39781525	21.16550551	21.24851053	20.45377341	20.53460981	20.99758041	20.53476442	20.77413603	21.2281395	20.53949888	20.41075796	21.14442988	20.41924003	20.95484408	20.8105134	20.53949888	20.65067969	20.66553434	20.42224529	20.37002937	20.74260837	20.30662687	20.36741626	20.6073073	20.44728569	20.27293219	20.74728554	20.40604867	20.55546279	20.6337702	20.63193904	20.4943132
jgi|YarliW29_1|1016	20.74690807	19.91228558	20.14091035	20.73669722	20.22939816	20.66410279	20.93595069	19.79170305	20.21399681	20.63809218	20.1492833	20.62284442	20.58964258	19.89000223	20.1132687	20.71557915	20.17426457	20.644213	20.83242239	20.02301567	20.15283165	20.75846779	20.31355134	20.54413126	20.66944743	19.9247165	20.19453608	20.68070636	20.19338651	20.55538842	20.91944548	19.88712766	20.20221271	20.73061971	20.14676225	20.58749356	20.46760478	19.88712766	20.22362344	20.35858964	20.25033761	20.52390073	20.07202078	20.07720498	20.20322917	20.30093715	20.12266053	20.59786078	20.36503826	19.74825672	20.02974068	20.35560016	20.05303601	20.46803113
jgi|YarliW29_1|1017	24.84424513	23.81751203	23.78835878	25.49408572	23.79597133	25.45778572	25.15597673	23.97771973	23.98121613	25.59114195	24.08012192	25.4041452	24.77024255	23.99898262	23.84828218	25.30769354	23.89945389	25.15143028	25.28443729	23.82206879	24.19675327	25.42558974	24.02241701	25.43668896	24.90053214	23.8008059	23.64986622	25.45734494	23.87040353	25.43931926	25.10508569	23.90056244	23.97830266	25.43619214	24.11467976	25.43216046	24.8570221	23.90056244	23.92336767	25.383216	23.90963134	25.3311648	24.74298184	23.92149092	23.87087599	25.06165188	24.1765542	25.28518802	24.79111716	23.87243182	23.88606466	25.22131744	23.83623909	25.30470793
