,#proteinId,ecNum,definition,catalyticActivity,cofactors,associatedDiseases,pathway,pathway_class,pathway_type,gotermId,gotermType,goName,goAcc
0,5,4.2.1.24,Porphobilinogen synthase.,2 5-aminolevulinate = porphobilinogen + 2 H(2)O.,Zinc.,Susceptibility to lead poisoning; MIM:125270. Acute hepatic porphyria; MIM:125270.,Porphyrin and chlorophyll metabolism,Metabolism of Cofactors and Vitamins,METABOLIC,[3028],['molecular_function'],['porphobilinogen synthase activity'],['GO:0004655']
1,11,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,"Valine, leucine and isoleucine biosynthesis",Amino Acid Metabolism,METABOLIC,"[162, 3172, 3736, 3930, 4556, 4561, 3182, 4571]","['molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'biological_process', 'molecular_function', 'biological_process']","['nucleotide binding', 'aminoacyl-tRNA ligase activity', 'ATP binding', 'cytoplasm', 'translation', 'tRNA aminoacylation for protein translation', 'isoleucine-tRNA ligase activity', 'isoleucyl-tRNA aminoacylation']","['GO:0000166', 'GO:0004812', 'GO:0005524', 'GO:0005737', 'GO:0006412', 'GO:0006418', 'GO:0004822', 'GO:0006428']"
2,11,6.1.1.5,Isoleucine--tRNA ligase.,ATP + L-isoleucine + tRNA(Ile) = AMP + diphosphate + L-isoleucyl- tRNA(Ile).,\N,\N,  Aminoacyl-tRNA biosynthesis,TRANSLATION,REGULATORY,"[162, 3172, 3736, 3930, 4556, 4561, 3182, 4571]","['molecular_function', 'molecular_function', 'molecular_function', 'cellular_component', 'biological_process', 'biological_process', 'molecular_function', 'biological_process']","['nucleotide binding', 'aminoacyl-tRNA ligase activity', 'ATP binding', 'cytoplasm', 'translation', 'tRNA aminoacylation for protein translation', 'isoleucine-tRNA ligase activity', 'isoleucyl-tRNA aminoacylation']","['GO:0000166', 'GO:0004812', 'GO:0005524', 'GO:0005737', 'GO:0006412', 'GO:0006418', 'GO:0004822', 'GO:0006428']"
3,12,,,,,,,,,[3737],['molecular_function'],['GTP binding'],['GO:0005525']
4,13,,,,,,,,,"[4604, 5817]","['biological_process', 'molecular_function']","['protein amino acid dephosphorylation', 'protein tyrosine/serine/threonine phosphatase activity']","['GO:0006470', 'GO:0008138']"
5,14,,,,,,,,,"[3737, 2378, 24058]","['molecular_function', 'molecular_function', 'molecular_function']","['GTP binding', 'GTPase activity', 'hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement']","['GO:0005525', 'GO:0003924', 'GO:0050800']"
6,18,,,,,,,,,"[3546, 4927, 9321]","['molecular_function', 'biological_process', 'cellular_component']","['transporter activity', 'transport', 'integral to membrane']","['GO:0005215', 'GO:0006810', 'GO:0016021']"
7,21,,,,,,,,,[3052],['molecular_function'],['protein kinase CK2 activity'],['GO:0004682']
8,25,,,,,,,,,[13917],['molecular_function'],['heat shock protein binding'],['GO:0031072']
9,26,,,,,,,,,"[3736, 3891, 4420, 3727, 24525]","['molecular_function', 'cellular_component', 'biological_process', 'molecular_function', 'biological_process']","['ATP binding', 'chromosome', 'DNA metabolic process', 'protein binding', 'chromosome organization and biogenesis']","['GO:0005524', 'GO:0005694', 'GO:0006259', 'GO:0005515', 'GO:0051276']"
10,32,3.1.4.46,Glycerophosphodiester phosphodiesterase.,A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.,\N,\N,Phospholipid degradation,Metabolism of Complex Lipids,METABOLIC,[6505],['molecular_function'],['glycerophosphodiester phosphodiesterase activity'],['GO:0008889']
11,32,3.1.4.46,Glycerophosphodiester phosphodiesterase.,A glycerophosphodiester + H(2)O = an alcohol + sn-glycerol 3-phosphate.,\N,\N,Glycerolipid metabolism,Metabolism of Complex Lipids,METABOLIC,[6505],['molecular_function'],['glycerophosphodiester phosphodiesterase activity'],['GO:0008889']
12,34,,,,,,,,,"[2378, 3737]","['molecular_function', 'molecular_function']","['GTPase activity', 'GTP binding']","['GO:0003924', 'GO:0005525']"
13,37,1.1.1.-,With NAD(+) or NADP(+) as acceptor.,\N,\N,\N,Bile acid biosynthesis,Lipid Metabolism,METABOLIC,"[247, 248, 2477, 2842, 2886, 6491, 9508, 10761, 10762, 10763, 15277, 16590, 16591, 19178, 22621, 25233]","['molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function', 'molecular_function']","['C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity', '3-keto sterol reductase activity', 'aldo-keto reductase activity', 'isocitrate dehydrogenase activity', 'mevaldate reductase activity', 'gluconate dehydrogenase activity', 'steroid dehydrogenase activity', 'epoxide dehydrogenase activity', '5-exo-hydroxycamphor dehydrogenase activity', '2-hydroxytetrahydrofuran dehydrogenase activity', 'phenylcoumaran benzylic ether reductase activity', 'steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor', 'steroid dehydrogenase activity, acting on the CH-CH group of donors', '(R)-2-hydroxyisocaproate dehydrogenase activity', '3-ketoglucose-reductase activity', '(R)-2-hydroxyglutarate dehydrogenase activity']","['GO:0000252', 'GO:0000253', 'GO:0004033', 'GO:0004448', 'GO:0004495', 'GO:0008875', 'GO:0016229', 'GO:0018451', 'GO:0018452', 'GO:0018453', 'GO:0032442', 'GO:0033764', 'GO:0033765', 'GO:0043713', 'GO:0048258', 'GO:0051990']"
