Entry	Reviewed	Entry Name	Protein names	Gene Names	Length	Gene Names (ordered locus)	Gene Names (primary)	Gene Names (ORF)	Proteomes
A0A0D1CKI0	reviewed	HUM3_MYCMD	Class I hydrophobin hum3 [Cleaved into: Repeat-1; Repeat-2; Repeat-3; Repeat-4; Repeat-5; Repeat-6; Repeat-7; Repeat-8; Repeat-9; Repeat-10; Repeat-11; Repeat-12; Repeat-13; Repeat-14; Repeat-15; Repeat-16; Repeat-17; Linker peptide; Hydrophobin 3]	him3 UMAG_04433	828		him3	UMAG_04433	UP000000561: Chromosome 14
A0A1H6PNB2	unreviewed	A0A1H6PNB2_YARLL	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (ubiquitin carrier protein UBC2) (ubiquitin-protein ligase UBC2)	B0I71DRAFT_13450 YALI1_F34105g	151			B0I71DRAFT_13450 YALI1_F34105g	UP000182444: Chromosome 1f; UP000256601: Unassembled WGS sequence
A0A1H6PSY1	unreviewed	A0A1H6PSY1_YARLL	Cyclin-dependent kinase 1 (EC 2.7.11.22) (Cell division control protein 28)	B0I71DRAFT_127082 YALI1_B14418g	316			B0I71DRAFT_127082 YALI1_B14418g	UP000182444: Chromosome 1b; UP000256601: Unassembled WGS sequence
A0A1H6PWB9	unreviewed	A0A1H6PWB9_YARLL	Pentafunctional AROM polypeptide [Includes: 3-dehydroquinate synthase (DHQS) (EC 4.2.3.4); 3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS); Shikimate kinase (SK) (EC 2.7.1.71); 3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10); Shikimate dehydrogenase (EC 1.1.1.25)]	B0I71DRAFT_117399 YALI1_F16984g	1556			B0I71DRAFT_117399 YALI1_F16984g	UP000182444: Chromosome 1f; UP000256601: Unassembled WGS sequence
A0A248QE08	reviewed	FAP_CHLVA	Fatty acid photodecarboxylase, chloroplastic (CvFAP) (EC 4.1.1.106)	FAP CHLNCDRAFT_28598	654		FAP	CHLNCDRAFT_28598	UP000008141: Unassembled WGS sequence
B9TSP7	reviewed	FACR6_ARATH	Fatty acyl-CoA reductase 6, chloroplastic (AtFAR6) (EC 1.2.1.84)	FAR6 At3g56700 T8M16.30	548	At3g56700	FAR6	T8M16.30	UP000006548: Chromosome 3
P07149	reviewed	FAS1_YEAST	Fatty acid synthase subunit beta (EC 2.3.1.86) [Includes: 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase [NADH] (EC 1.3.1.9); [Acyl-carrier-protein] acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] malonyltransferase (EC 2.3.1.39); S-acyl fatty acid synthase thioesterase (EC 3.1.2.14)]	FAS1 YKL182W	2051	YKL182W	FAS1		UP000002311: Chromosome XI
P09230	reviewed	AEP_YARLI	Alkaline extracellular protease (AEP) (EC 3.4.21.62)	XPR2 YALI0F31889g	454	YALI0F31889g	XPR2		UP000001300: Chromosome F
P13006	reviewed	GOX_ASPNG	Glucose oxidase (GOD) (GOx) (EC 1.1.3.4) (Beta-D-glucose:oxygen 1-oxido-reductase)	gox	605		gox		
P25613	reviewed	ADY2_YEAST	Accumulation of dyads protein 2 (Ammonia transport outward protein 1)	ADY2 ATO1 YCR010C YCR10C	283	YCR010C	ADY2	YCR10C	UP000002311: Chromosome III
