#proteinId	gotermId	goName	gotermType	goAcc
5	3028	porphobilinogen synthase activity	molecular_function	GO:0004655
11	162	nucleotide binding	molecular_function	GO:0000166
11	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
11	3736	ATP binding	molecular_function	GO:0005524
11	3930	cytoplasm	cellular_component	GO:0005737
11	4556	translation	biological_process	GO:0006412
11	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
11	3182	isoleucine-tRNA ligase activity	molecular_function	GO:0004822
11	4571	isoleucyl-tRNA aminoacylation	biological_process	GO:0006428
12	3737	GTP binding	molecular_function	GO:0005525
13	4604	protein amino acid dephosphorylation	biological_process	GO:0006470
13	5817	protein tyrosine/serine/threonine phosphatase activity	molecular_function	GO:0008138
14	3737	GTP binding	molecular_function	GO:0005525
14	2378	GTPase activity	molecular_function	GO:0003924
14	24058	hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement	molecular_function	GO:0050800
18	3546	transporter activity	molecular_function	GO:0005215
18	4927	transport	biological_process	GO:0006810
18	9321	integral to membrane	cellular_component	GO:0016021
21	3052	protein kinase CK2 activity	molecular_function	GO:0004682
25	13917	heat shock protein binding	molecular_function	GO:0031072
26	3736	ATP binding	molecular_function	GO:0005524
26	3891	chromosome	cellular_component	GO:0005694
26	4420	DNA metabolic process	biological_process	GO:0006259
26	3727	protein binding	molecular_function	GO:0005515
26	24525	chromosome organization and biogenesis	biological_process	GO:0051276
32	6505	glycerophosphodiester phosphodiesterase activity	molecular_function	GO:0008889
34	2378	GTPase activity	molecular_function	GO:0003924
34	3737	GTP binding	molecular_function	GO:0005525
37	247	C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity	molecular_function	GO:0000252
37	248	3-keto sterol reductase activity	molecular_function	GO:0000253
37	2477	aldo-keto reductase activity	molecular_function	GO:0004033
37	2842	isocitrate dehydrogenase activity	molecular_function	GO:0004448
37	2886	mevaldate reductase activity	molecular_function	GO:0004495
37	6491	gluconate dehydrogenase activity	molecular_function	GO:0008875
37	9508	steroid dehydrogenase activity	molecular_function	GO:0016229
37	10761	epoxide dehydrogenase activity	molecular_function	GO:0018451
37	10762	5-exo-hydroxycamphor dehydrogenase activity	molecular_function	GO:0018452
37	10763	2-hydroxytetrahydrofuran dehydrogenase activity	molecular_function	GO:0018453
37	15277	phenylcoumaran benzylic ether reductase activity	molecular_function	GO:0032442
37	16590	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0033764
37	16591	steroid dehydrogenase activity, acting on the CH-CH group of donors	molecular_function	GO:0033765
37	19178	(R)-2-hydroxyisocaproate dehydrogenase activity	molecular_function	GO:0043713
37	22621	3-ketoglucose-reductase activity	molecular_function	GO:0048258
37	25233	(R)-2-hydroxyglutarate dehydrogenase activity	molecular_function	GO:0051990
39	9985	hydrolase activity	molecular_function	GO:0016787
39	3087	phosphoprotein phosphatase activity	molecular_function	GO:0004721
39	3089	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
39	3090	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
39	4132	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
39	6080	CTD phosphatase activity	molecular_function	GO:0008420
39	6240	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
39	10186	myosin phosphatase activity	molecular_function	GO:0017018
39	10187	myosin phosphatase regulator activity	molecular_function	GO:0017020
39	10190	myosin phosphatase complex	cellular_component	GO:0017023
40	9985	hydrolase activity	molecular_function	GO:0016787
40	2492	apyrase activity	molecular_function	GO:0004050
40	18750	adenosine-diphosphatase activity	molecular_function	GO:0043262
44	5765	N-acetyltransferase activity	molecular_function	GO:0008080
44	5830	metabolic process	biological_process	GO:0008152
46	9320	membrane	cellular_component	GO:0016020
46	12906	metal ion transport	biological_process	GO:0030001
46	21296	metal ion transmembrane transporter activity	molecular_function	GO:0046873
48	3736	ATP binding	molecular_function	GO:0005524
