YALI0 locus ID,YALI1 Proteins
,YALI1_A00014p
,YALI1_A00019p
,YALI1_A00032p
YALI0A00110g,YALI1_A00058p
YALI0A00132g,YALI1_A00102p
,YALI1_A00135p
YALI0A00154g,YALI1_A00148p
YALI0A00176g,YALI1_A00204p
YALI0A00198g,YALI1_A00241p
YALI0A00212g,YALI1_A00252p
YALI0A00220r,YALI1_A00271r
YALI0A00264g,YALI1_A00309p
YALI0A00286g,YALI1_A00325p
YALI0A00297g,YALI1_A00348p
YALI0A00308t,YALI1_A00358t
YALI0A00330g,YALI1_A00375p
YALI0A00352g,YALI1_A00406p
YALI0A00369g,YALI1_A00447p
YALI0A00374g,YALI1_A00468p
YALI0A00396g,YALI1_A00504p
YALI0A00418g,YALI1_A00538p
YALI0A00440g,YALI1_A00558p
,YALI1_A00574p
YALI0A00462r,YALI1_A00579r
YALI0A00506g,YALI1_A00601p
YALI0A00528g,YALI1_A00661p
YALI0A00550g,YALI1_A00683p
YALI0A00572g,YALI1_A00715p
YALI0A00594g,YALI1_A00746p
YALI0A00616g,YALI1_A00789p
YALI0A00638g,YALI1_A00801p
YALI0A00660g,YALI1_A00829p
YALI0A00682g,YALI1_A00867p
,YALI1_A00905p
,YALI1_A00911p
YALI0A00715r,YALI1_A00921r
YALI0A00759g,YALI1_A00947p
YALI0A00781g,YALI1_A00983p
YALI0A00803g,YALI1_A01061p
,YALI1_A01074p
YALI0A00825g,YALI1_A01093p
YALI0A00847g,YALI1_A01122p
YALI0A00869g,YALI1_A01143p
YALI0A00891g,YALI1_A01173p
YALI0A00913g,YALI1_A01198p
,YALI1_A01230p
YALI0A00935g,YALI1_A01240p
,YALI1_A01241p
YALI0A00957g,YALI1_A01249p
,YALI1_A01260p
YALI0A00979g,YALI1_A01267p
YALI0A01001g,YALI1_A01298p
YALI0A01023g,YALI1_A01394p
,YALI1_A01430p
,YALI1_A01434p
YALI0A01045g,YALI1_A01468p
YALI0A01067g,YALI1_A01505p
YALI0A01089g,YALI1_A01537p
YALI0A01111g,YALI1_A01577p
YALI0A01133g,YALI1_A01602p
,YALI1_A01618p
YALI0A01155g,YALI1_A01628p
YALI0A01177r,YALI1_A01642r
YALI0A01221r,YALI1_A01654r
YALI0A01265g,YALI1_A01670p
YALI0A01287r,YALI1_A01689r
YALI0A01331g,YALI1_A01717p
,YALI1_A01732p
,YALI1_A01736p
YALI0A01353g,YALI1_A01766p
YALI0A01375g,YALI1_A01777p
YALI0A01389r,YALI1_A01786r
YALI0A01397g,YALI1_A01794p
YALI0A01419g,YALI1_A01824p
YALI0A01441g,YALI1_A01842p
,YALI1_A01854p
YALI0A01452g,YALI1_A01864p
,YALI1_A01868p
YALI0A01463g,YALI1_A01888p
YALI0A01485g,YALI1_A01905p
YALI0A01507g,YALI1_A01945p
,YALI1_A02022p
YALI0A01650g,YALI1_A02037p
YALI0A01672r,YALI1_A02057r
YALI0A01716g,YALI1_A02075p
YALI0A01738g,YALI1_A02083p
YALI0A01760g,YALI1_A02096p
